,response,family,alpha,metric_name,metric_value,features,theta,tweedie_power
0,flourishing_scale_raw_class_post,binomial,0.1,logloss,0.383136006798872,wk_9-10,,
1,flourishing_scale_raw_class_post,binomial,0.2,logloss,0.414057067103891,wk_9-10,,
2,flourishing_scale_raw_class_post,binomial,0.30000000000000004,logloss,0.43380675678800296,wk_9-10,,
3,flourishing_scale_raw_class_post,binomial,0.4,logloss,0.4427039330236471,wk_9-10,,
4,flourishing_scale_raw_class_post,binomial,0.5,logloss,0.44697536305598906,wk_9-10,,
5,flourishing_scale_raw_class_post,binomial,0.6000000000000001,logloss,0.45070418036185755,wk_9-10,,
6,flourishing_scale_raw_class_post,binomial,1.0,logloss,0.4510556931392297,wk_9-10,,
7,flourishing_scale_raw_class_post,binomial,0.7000000000000001,logloss,0.45811931581483945,wk_9-10,,
8,flourishing_scale_raw_class_post,binomial,0.9,logloss,0.4683892521075842,wk_9-10,,
9,flourishing_scale_raw_class_post,binomial,0.8,logloss,0.4690295563125062,wk_9-10,,
10,flourishing_scale_raw_class_post,binomial,0.0,logloss,0.4936650434892601,wk_9-10,,
121,flourishing_scale_raw_post,tweedie,0.7000000000000001,mse,155.19226133036085,wk_9-10,,1.9
122,flourishing_scale_raw_post,tweedie,0.8,mse,155.2113376167831,wk_9-10,,1.9
123,flourishing_scale_raw_post,tweedie,0.2,mse,157.82934080816761,wk_9-10,,1.9
124,flourishing_scale_raw_post,tweedie,0.1,mse,161.36144868918282,wk_9-10,,1.9
125,flourishing_scale_raw_post,tweedie,0.9,mse,161.8963209265497,wk_9-10,,1.9
126,flourishing_scale_raw_post,tweedie,1.0,mse,162.1943352069672,wk_9-10,,1.9
127,flourishing_scale_raw_post,tweedie,0.6000000000000001,mse,167.52650846846745,wk_9-10,,1.9
128,flourishing_scale_raw_post,tweedie,0.5,mse,167.75199734439897,wk_9-10,,1.9
129,flourishing_scale_raw_post,tweedie,0.4,mse,168.5240712718856,wk_9-10,,1.9
130,flourishing_scale_raw_post,tweedie,0.30000000000000004,mse,169.3120366371043,wk_9-10,,1.9
11,flourishing_scale_raw_post,gamma,0.2,mse,174.41387527053027,wk_9-10,,
12,flourishing_scale_raw_post,gamma,0.4,mse,174.59859374100049,wk_9-10,,
13,flourishing_scale_raw_post,gamma,0.5,mse,174.64590400334305,wk_9-10,,
14,flourishing_scale_raw_post,gamma,0.1,mse,174.87653304249147,wk_9-10,,
15,flourishing_scale_raw_post,gamma,0.6000000000000001,mse,175.357731554038,wk_9-10,,
16,flourishing_scale_raw_post,gamma,0.30000000000000004,mse,175.43217413362282,wk_9-10,,
17,flourishing_scale_raw_post,gamma,1.0,mse,175.52054954074018,wk_9-10,,
18,flourishing_scale_raw_post,gamma,0.9,mse,175.5626093994584,wk_9-10,,
19,flourishing_scale_raw_post,gamma,0.7000000000000001,mse,176.5822273403503,wk_9-10,,
20,flourishing_scale_raw_post,gamma,0.8,mse,176.60306108668556,wk_9-10,,
110,flourishing_scale_raw_post,poisson,0.1,mse,177.87725473760614,wk_9-10,,
33,flourishing_scale_raw_post,negativebinomial,0.1,mse,178.01137268472644,wk_9-10,0.0001,
34,flourishing_scale_raw_post,negativebinomial,0.1,mse,178.17979274532968,wk_9-10,1e-08,
35,flourishing_scale_raw_post,negativebinomial,0.1,mse,178.17982048034156,wk_9-10,1e-10,
36,flourishing_scale_raw_post,negativebinomial,0.1,mse,180.8098995824477,wk_9-10,0.01,
37,flourishing_scale_raw_post,negativebinomial,0.2,mse,181.2227372296622,wk_9-10,1e-08,
38,flourishing_scale_raw_post,negativebinomial,0.2,mse,181.22283498661707,wk_9-10,1e-10,
111,flourishing_scale_raw_post,poisson,0.2,mse,181.24524493440435,wk_9-10,,
39,flourishing_scale_raw_post,negativebinomial,0.2,mse,181.25670922412777,wk_9-10,0.0001,
40,flourishing_scale_raw_post,negativebinomial,0.2,mse,183.52572554987592,wk_9-10,0.01,
41,flourishing_scale_raw_post,negativebinomial,0.30000000000000004,mse,185.01258842825158,wk_9-10,1e-10,
42,flourishing_scale_raw_post,negativebinomial,0.30000000000000004,mse,185.01259031201909,wk_9-10,1e-08,
43,flourishing_scale_raw_post,negativebinomial,0.30000000000000004,mse,185.02811307853943,wk_9-10,0.0001,
112,flourishing_scale_raw_post,poisson,0.30000000000000004,mse,185.039994807101,wk_9-10,,
44,flourishing_scale_raw_post,negativebinomial,0.4,mse,186.4865065343935,wk_9-10,1e-10,
45,flourishing_scale_raw_post,negativebinomial,0.4,mse,186.4865086413623,wk_9-10,1e-08,
113,flourishing_scale_raw_post,poisson,0.4,mse,186.4876855574036,wk_9-10,,
46,flourishing_scale_raw_post,negativebinomial,0.4,mse,186.5082532915249,wk_9-10,0.0001,
47,flourishing_scale_raw_post,negativebinomial,0.30000000000000004,mse,186.54452185356465,wk_9-10,0.01,
114,flourishing_scale_raw_post,poisson,0.5,mse,187.62471426219568,wk_9-10,,
48,flourishing_scale_raw_post,negativebinomial,0.5,mse,187.6288519245261,wk_9-10,1e-10,
49,flourishing_scale_raw_post,negativebinomial,0.5,mse,187.6288540748033,wk_9-10,1e-08,
50,flourishing_scale_raw_post,negativebinomial,0.5,mse,187.65057785281638,wk_9-10,0.0001,
51,flourishing_scale_raw_post,negativebinomial,0.4,mse,188.07803673605608,wk_9-10,0.01,
52,flourishing_scale_raw_post,negativebinomial,0.1,mse,188.2594162501336,wk_9-10,0.1,
53,flourishing_scale_raw_post,negativebinomial,0.6000000000000001,mse,188.5838849022022,wk_9-10,1e-10,
54,flourishing_scale_raw_post,negativebinomial,0.6000000000000001,mse,188.5838865452798,wk_9-10,1e-08,
