,flourishing_scale_raw_class_post,flourishing_scale_raw_post,panas_neg_raw_class_post,panas_neg_raw_post,panas_pos_raw_class_post,panas_pos_raw_post,panas_pos_imp_class_post,panas_pos_imp_post
Intercept,-16.207889718649536,0.6862428942367254,-3.766069088795455,0.39943808179803486,20.073096637893602,0.713342184203229,22.570901873431158,-0.0076861697690588995
chargetime_count_wk_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chargetime_count_wk_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chargetime_count_wk_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chargetime_count_wk_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chargetime_count_wk_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chargetime_count_wk_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chargetime_count_wk_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chargetime_count_wk_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chargetime_count_wk_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chargetime_count_wk_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chargetime_max_wk_1,0.0,0.0,0.0,0.0,-7.800289936337714e-05,0.0,-8.947139288277025e-05,0.0
chargetime_max_wk_2,0.0,0.0,0.0,0.0,-2.6044474716513505e-05,0.0,-3.670865928658378e-05,0.0
chargetime_max_wk_3,0.0,0.0,0.0,0.0,-3.8411949978269764e-05,0.0,-4.8585719926176226e-05,0.0
chargetime_max_wk_4,0.0,0.0,0.0,7.646611019077503e-07,-2.6712199297097598e-05,0.0,-2.7347615333183727e-05,0.0
chargetime_max_wk_5,0.0,0.0,0.0,0.0,-7.268451670919583e-08,0.0,-9.02013838752552e-07,0.0
chargetime_max_wk_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chargetime_max_wk_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chargetime_max_wk_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chargetime_max_wk_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chargetime_max_wk_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chargetime_mean_wk_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
