,response,family,alpha,best_lambda,metric_name,features,metric_value,theta,tweedie_power
7,flourishing_scale_raw_class_post,binomial,0.1,0.21929332438030247,logloss,all,1.4227602034286062,,
11,flourishing_scale_raw_class_post,binomial,0.1,0.19904910575299012,logloss,wk_10,1.6200123334959866,,
5,flourishing_scale_raw_class_post,binomial,0.2,0.10964666219015123,logloss,all,1.6446816693038284,,
4,flourishing_scale_raw_class_post,binomial,0.30000000000000004,0.07309777479343414,logloss,all,1.8033705342995552,,
22,flourishing_scale_raw_class_post,binomial,0.1,0.19904910575299012,logloss,wk_9-10,1.8172054764048313,,
8,flourishing_scale_raw_class_post,binomial,0.4,0.05482333109507562,logloss,all,1.977777244085319,,
12,flourishing_scale_raw_class_post,binomial,0.2,0.09952455287649506,logloss,wk_10,2.0798567301092272,,
9,flourishing_scale_raw_class_post,binomial,0.5,0.043858664876060494,logloss,all,2.1841164472258026,,
10,flourishing_scale_raw_class_post,binomial,0.0,0.021929332438030247,logloss,all,2.2080552042670853,,
23,flourishing_scale_raw_class_post,binomial,0.2,0.09952455287649506,logloss,wk_9-10,2.2697142817931337,,
6,flourishing_scale_raw_class_post,binomial,0.6000000000000001,0.03654888739671707,logloss,all,2.3780489239022025,,
3,flourishing_scale_raw_class_post,binomial,0.7000000000000001,0.03132761776861464,logloss,all,2.4471026520731436,,
2,flourishing_scale_raw_class_post,binomial,0.8,0.02741166554753781,logloss,all,2.479182556388379,,
13,flourishing_scale_raw_class_post,binomial,0.30000000000000004,0.06634970191766336,logloss,wk_10,2.488024683657787,,
1,flourishing_scale_raw_class_post,binomial,0.9,0.024365924931144717,logloss,all,2.506034231965373,,
0,flourishing_scale_raw_class_post,binomial,1.0,0.021929332438030247,logloss,all,2.5403543680483622,,
24,flourishing_scale_raw_class_post,binomial,0.30000000000000004,0.06634970191766336,logloss,wk_9-10,2.631496280911649,,
25,flourishing_scale_raw_class_post,binomial,0.4,0.04976227643824753,logloss,wk_9-10,2.8569981320152005,,
14,flourishing_scale_raw_class_post,binomial,0.4,0.04976227643824753,logloss,wk_10,2.8790285615393834,,
26,flourishing_scale_raw_class_post,binomial,0.5,0.03980982115059803,logloss,wk_9-10,2.9331854815490277,,
27,flourishing_scale_raw_class_post,binomial,0.6000000000000001,0.03317485095883168,logloss,wk_9-10,3.021990586224083,,
29,flourishing_scale_raw_class_post,binomial,0.7000000000000001,0.028435586536141446,logloss,wk_9-10,3.13457238010076,,
15,flourishing_scale_raw_class_post,binomial,0.5,0.03980982115059803,logloss,wk_10,3.1614070218147936,,
31,flourishing_scale_raw_class_post,binomial,0.8,0.024881138219123765,logloss,wk_9-10,3.2844446110593277,,
32,flourishing_scale_raw_class_post,binomial,0.0,0.019904910575299015,logloss,wk_9-10,3.2990555276676603,,
30,flourishing_scale_raw_class_post,binomial,0.9,0.02211656730588779,logloss,wk_9-10,3.4152301072842013,,
16,flourishing_scale_raw_class_post,binomial,0.6000000000000001,0.03317485095883168,logloss,wk_10,3.444945207758471,,
28,flourishing_scale_raw_class_post,binomial,1.0,0.019904910575299015,logloss,wk_9-10,3.5067060642589434,,
17,flourishing_scale_raw_class_post,binomial,0.7000000000000001,0.028435586536141446,logloss,wk_10,3.728678538166875,,
18,flourishing_scale_raw_class_post,binomial,0.8,0.024881138219123765,logloss,wk_10,4.063101514515977,,
20,flourishing_scale_raw_class_post,binomial,0.0,0.019904910575299015,logloss,wk_10,4.084006951959998,,
19,flourishing_scale_raw_class_post,binomial,0.9,0.02211656730588779,logloss,wk_10,4.16295552027855,,
21,flourishing_scale_raw_class_post,binomial,1.0,0.019904910575299015,logloss,wk_10,4.23393488216067,,
363,flourishing_scale_raw_post,tweedie,0.1,52.27546342882181,mse,all,102.94873911401153,,1.1
33,flourishing_scale_raw_post,gamma,1.0,0.5227546342882183,mse,all,139.2009751177069,,
374,flourishing_scale_raw_post,tweedie,0.7000000000000001,2.489307782324849,mse,all,141.5565004253828,,1.3
364,flourishing_scale_raw_post,tweedie,0.2,26.137731714410904,mse,all,143.64377682088187,,1.1
365,flourishing_scale_raw_post,tweedie,0.30000000000000004,17.425154476273935,mse,all,143.8886863902945,,1.1
375,flourishing_scale_raw_post,tweedie,0.2,8.712577238136973,mse,all,143.99923969888218,,1.3
376,flourishing_scale_raw_post,tweedie,0.1,17.425154476273946,mse,all,144.0291237663343,,1.3
366,flourishing_scale_raw_post,tweedie,0.4,13.068865857205452,mse,all,144.04435617677618,,1.1
367,flourishing_scale_raw_post,tweedie,0.5,10.455092685764363,mse,all,144.07289349767464,,1.1
368,flourishing_scale_raw_post,tweedie,0.6000000000000001,8.712577238136967,mse,all,144.0911144980299,,1.1
369,flourishing_scale_raw_post,tweedie,0.7000000000000001,7.467923346974543,mse,all,144.10413155031026,,1.1
370,flourishing_scale_raw_post,tweedie,0.8,6.534432928602726,mse,all,144.182480109191,,1.1
371,flourishing_scale_raw_post,tweedie,0.9,5.808384825424646,mse,all,144.63008479580446,,1.1
377,flourishing_scale_raw_post,tweedie,0.9,1.9361282751415496,mse,all,145.65038203022627,,1.3
378,flourishing_scale_raw_post,tweedie,0.5,3.4850308952547895,mse,all,147.3139388570722,,1.3
379,flourishing_scale_raw_post,tweedie,0.6000000000000001,2.904192412712324,mse,all,147.71360950317052,,1.3
380,flourishing_scale_raw_post,tweedie,0.8,2.178144309534243,mse,all,147.7433173536534,,1.3
381,flourishing_scale_raw_post,tweedie,1.0,1.7425154476273947,mse,all,147.85079837459585,,1.3
382,flourishing_scale_raw_post,tweedie,0.4,4.356288619068486,mse,all,147.89838455891,,1.3
385,flourishing_scale_raw_post,tweedie,0.5,2.0910185371528733,mse,all,148.74731878484857,,1.5
372,flourishing_scale_raw_post,tweedie,1.0,5.227546342882182,mse,all,148.8945199481293,,1.1
383,flourishing_scale_raw_post,tweedie,0.30000000000000004,5.808384825424648,mse,all,149.18102982818257,,1.3
34,flourishing_scale_raw_post,gamma,0.6000000000000001,0.8712577238136971,mse,all,151.64739753988536,,
386,flourishing_scale_raw_post,tweedie,0.6000000000000001,1.7425154476273943,mse,all,152.52724127212468,,1.5
