uid,chargetime_q3_wk_1,chargetime_q3_wk_2,chargetime_q3_wk_3,chargetime_q3_wk_4,chargetime_q3_wk_5,chargetime_q3_wk_6,chargetime_q3_wk_7,chargetime_q3_wk_8,chargetime_q3_wk_9,chargetime_q3_wk_10
u00,20995.0,21310.0,21088.75,21384.5,22215.5,25906.75,27581.75,32396.5,27080.0,32850.0
u01,30198.5,29485.5,29367.75,31631.0,32167.5,31761.0,32227.5,32358.0,29721.0,9864.0
u02,27662.0,24953.5,23808.25,23808.25,22597.75,19375.0,24080.75,18175.0,15897.5,20869.75
u03,29546.0,29929.0,28900.0,26393.5,23335.0,17054.5,16939.0,8955.0,0.0,0.0
u04,28282.5,28351.5,28193.5,28030.0,28380.5,28139.0,27957.0,27777.25,27348.25,0.0
u05,27643.5,26336.5,19369.0,18231.0,19938.75,18060.0,16830.0,16830.0,16954.5,10687.5
u07,28276.5,28276.5,31035.75,24703.0,24374.75,24192.25,24466.0,20367.5,0.0,0.0
u08,18306.5,18188.5,18024.25,18167.0,17021.5,17021.5,17021.5,13359.0,13066.0,8840.75
u09,31061.0,30221.0,29623.0,28941.5,27923.0,28742.0,28945.0,28742.0,25659.5,10532.5
u10,11797.0,11359.0,11356.0,11285.5,11031.0,11360.0,11797.0,13708.0,12891.0,10847.0
u12,29445.0,29167.0,28804.75,29097.25,29027.5,28832.5,28573.5,28573.5,26077.0,16895.0
u13,10695.0,10736.0,10859.0,10736.0,10736.0,11156.0,11459.75,12437.75,12570.5,10859.0
u14,24096.0,23199.0,18634.0,19765.5,19765.5,19902.0,23964.5,22961.25,17106.25,19752.0
u15,13635.25,11592.5,11309.0,10741.25,10741.25,9104.25,9374.0,10110.25,10691.5,10691.5
u16,19046.5,15436.0,15616.0,15186.75,13620.0,15207.5,15207.5,15706.0,26797.5,9842.0
u17,19998.0,20518.5,20518.5,21107.75,18933.75,17678.25,19153.75,22083.5,14202.5,9656.5
u18,18524.0,18341.0,18341.0,16283.25,14186.5,16955.0,13678.0,13638.5,13111.5,5308.0
u19,10797.0,10939.5,10950.5,10930.0,9825.25,9098.5,7643.0,8883.0,8778.0,10729.5
u20,22003.0,22003.0,23017.0,24264.25,23017.0,18670.75,18961.0,24561.0,0.0,0.0
u22,17415.5,15606.25,15802.0,22612.0,25918.25,27271.25,27938.5,23436.0,26665.0,30053.25
u23,17975.0,17858.5,17110.5,17440.5,18089.25,18547.0,21032.0,21502.0,25604.5,0.0
u24,27606.25,27607.0,27374.0,28118.0,27861.0,0.0,0.0,0.0,0.0,0.0
u25,9242.5,9088.0,9242.5,10059.25,9444.0,7407.0,11185.0,11185.0,11185.0,7839.25
u27,17106.0,16718.0,17292.75,16411.5,15575.25,16785.0,22411.5,20713.5,14378.25,11244.25
u30,30396.25,30191.0,29027.5,26694.0,26267.25,26571.0,26571.0,18301.5,17015.0,22187.0
u31,12887.0,12712.5,12737.0,12029.0,12326.5,13358.0,14337.0,14591.0,15328.5,8233.0
u32,29767.0,28751.5,27966.25,27876.0,27349.0,28348.75,27612.5,20640.0,20882.0,15863.5
u33,27014.0,26894.25,26790.5,26047.0,24929.5,23812.0,24929.5,24366.5,0.0,0.0
u34,15087.5,15032.0,15226.25,15143.0,15392.75,13794.0,15143.0,13038.0,13038.0,16329.0
u35,20317.25,19485.5,19128.0,19088.0,19088.0,16842.75,13896.0,18516.5,15860.5,11366.5
u36,25737.0,25588.0,25440.25,25588.0,25292.5,24997.0,25662.5,25886.0,25886.0,21441.25
u39,22789.0,22789.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u41,14869.0,13796.0,14243.5,13574.75,13501.0,17324.0,16007.5,16665.75,13798.5,16665.75
u42,23347.0,23347.0,24296.5,18301.0,18080.5,17446.75,17162.0,26280.0,34259.0,0.0
u43,13531.0,13531.0,12906.0,12211.0,10446.5,11150.5,12906.0,8768.0,11040.0,7221.0
u44,11218.5,11218.5,12173.5,12185.25,10954.75,11152.25,11251.0,11251.0,12681.0,8836.25
u45,14431.0,14431.0,14351.25,14191.75,14277.5,9814.0,9666.0,10019.5,9520.0,9225.0
u46,25715.0,25931.0,26926.5,27540.0,28271.5,28906.0,29252.25,29056.0,30731.5,0.0
u47,13689.5,14714.0,15578.0,13390.75,15583.0,15583.0,18274.0,17290.0,17290.0,12125.0
u49,11942.5,12420.75,12001.0,11942.5,12437.0,13038.75,13038.75,13038.75,13094.0,17694.0
u50,19829.5,20881.0,16466.0,17546.0,17546.0,17978.25,17978.25,15188.75,4403.0,4403.0
u51,33637.0,33667.0,33902.0,32732.75,33902.0,32126.0,32284.0,33616.5,32600.0,30652.0
u52,20864.0,20130.0,15746.25,13730.75,13730.75,13282.25,14174.75,15340.25,15816.0,16003.25
u53,22400.0,22461.5,22523.0,20421.0,18442.0,22400.0,23756.25,24925.75,5539.75,4312.0
u54,14097.25,13563.0,12691.75,11479.25,10749.75,10749.75,8110.25,7061.0,7061.0,7061.0
u56,29244.0,30224.5,32401.0,30691.5,31663.0,32401.0,32401.0,32401.0,30294.25,28098.5
u57,25994.0,25287.0,25146.0,24389.0,23983.0,23697.0,26447.25,24793.5,23536.0,13622.5
u58,31071.0,30624.0,30445.0,30624.0,31063.0,30266.0,30624.0,30445.0,30624.0,23310.5
u59,16353.75,15381.0,15255.5,13333.0,13273.0,13846.0,13018.75,13102.0,19026.0,19181.0
