uid,locktime_min_wk_1,locktime_min_wk_2,locktime_min_wk_3,locktime_min_wk_4,locktime_min_wk_5,locktime_min_wk_6,locktime_min_wk_7,locktime_min_wk_8,locktime_min_wk_9,locktime_min_wk_10
u00,3616,3616,3616,3616,3616,3616,3616,3616,3616,3616
u01,3622,3622,3622,3629,3629,3629,3973,3973,3973,3973
u02,3612,3612,3612,3626,3660,3660,3826,3826,3826,3826
u03,3793,3793,3793,3793,3812,3812,4541,4541,5735,0
u04,3654,3654,3654,3659,3769,3769,3769,4730,15377,0
u05,3623,3623,3623,3623,3623,3623,3623,3918,3918,4548
u07,3645,3645,3699,3699,3699,4418,5286,5286,0,0
u08,3617,3617,3617,3617,3617,3626,3685,3731,3731,3902
u09,3605,3605,3614,3614,3614,3614,3614,3947,4301,4301
u10,3601,3601,3601,3601,3601,3601,3601,3668,3672,3672
u12,3610,3610,3610,3610,3620,3620,3620,3620,3623,3623
u13,3601,3601,3601,3601,3601,3601,3601,3601,3601,3601
u14,3603,3603,3603,3603,3603,3603,3610,3629,3629,3785
u15,3637,3637,3637,4052,4122,4122,4122,4122,4122,4122
u16,3617,3617,3617,3617,3640,3640,3763,3763,3769,3769
u17,3600,3600,3600,3600,3612,3612,3612,3830,3830,4401
u18,3663,3663,3663,3663,3675,3675,3795,3795,3795,4089
u19,3613,3613,3613,3613,3613,3613,3619,3619,3673,3673
u20,3681,3681,3681,3681,3681,3681,3713,3713,15959,0
u22,3663,3663,3663,3663,3663,3663,3663,3663,4264,4591
u23,3709,3709,3709,3709,3709,3709,3709,3737,3790,0
u24,3600,3600,3600,3600,3612,0,0,0,0,0
u25,3603,3892,3892,3892,4376,4396,4503,4503,4503,4863
u27,3627,3627,3627,3647,3647,3647,3847,3847,3882,4089
u30,3622,3622,3622,3622,3622,3622,3622,3622,3622,3758
u31,3610,3610,3610,3610,3610,3610,3610,3641,3641,3748
u32,3604,3604,3604,3604,3679,3765,3822,3822,3822,3908
u33,3601,3601,3601,3601,3601,3601,3601,3816,7821,7821
u34,3918,3918,3918,3918,3918,3918,3918,3918,3918,3918
u35,3613,3706,3736,3736,3749,3749,3833,4373,4373,4373
u36,3608,3608,3608,3608,3608,3608,3637,3637,3637,3637
u39,3984,3984,3984,3984,3984,0,0,0,0,0
u41,3772,3772,3772,3772,3928,3928,3928,3928,3928,11161
u42,3632,3632,3632,3632,3632,3632,3632,4018,4953,0
u43,3606,3606,3606,3606,3750,3750,4057,4057,4057,4057
u44,3606,3606,3606,3642,3642,3648,3648,3648,3648,3836
u45,3613,3613,3613,3613,3613,3613,3613,3908,3908,5453
u46,3601,3601,3601,3669,3713,3713,3713,4062,4062,0
u47,3644,3644,3644,3644,3644,3787,3787,3787,3787,6696
u49,3600,3600,3600,3636,3636,3636,3636,3636,3659,3659
u50,3768,3768,3845,3874,3874,3874,3874,3874,3989,3989
u51,3650,3650,3650,3650,3650,3650,3650,3667,3667,3667
u52,3620,3620,3661,3661,3661,3661,3694,3729,3729,3751
u53,3607,3607,3607,3607,3607,3607,3623,3652,3652,4280
u54,3602,3602,3602,3613,3616,3732,3732,3944,3944,3944
u56,3645,3645,3737,3737,3737,3737,3737,3737,5125,5125
u57,3603,3603,3603,3604,3604,3604,3604,3610,3610,3610
u58,3671,3671,3683,3683,3683,3683,3734,3851,4064,4404
u59,3659,3659,3719,3719,3719,3719,3724,3724,3724,3724
