uid,chargetime_mean_wk_1,chargetime_mean_wk_2,chargetime_mean_wk_3,chargetime_mean_wk_4,chargetime_mean_wk_5,chargetime_mean_wk_6,chargetime_mean_wk_7,chargetime_mean_wk_8,chargetime_mean_wk_9,chargetime_mean_wk_10
u00,14838.68,15517.63076923077,15461.5,15792.68085106383,16702.58064516129,19191.444444444445,19401.75,20640.0,19552.333333333332,32850.0
u01,22644.977272727272,22159.333333333332,21698.583333333332,22954.793103448275,23523.130434782608,21983.736842105263,21886.416666666668,22655.4,17739.4,8579.666666666666
u02,14817.8,14033.357142857143,13710.352272727272,13850.631578947368,14047.693548387097,13948.57142857143,15300.421052631578,13612.933333333332,12486.105263157895,15266.75
u03,20112.23404255319,20224.731707317074,19778.864864864863,17911.333333333332,16188.714285714286,14891.5,12361.5,8955.0,,
u04,23650.183333333334,23407.333333333332,23160.67391304348,22726.926829268294,23990.516129032258,23652.91304347826,25537.0,25239.625,26666.5,
u05,15222.027777777777,14533.10294117647,13455.737704918032,12425.0625,13044.605263157895,12932.103448275862,11392.888888888889,11543.5,12217.1,10354.5
u07,18623.875,18358.227272727272,17852.91176470588,16652.7,15684.227272727272,15568.666666666666,18670.4,16269.0,,
u08,12210.757009345794,12154.588235294117,12026.195652173914,12063.911392405063,11831.91935483871,12027.94,12149.105263157895,10373.785714285714,9892.823529411764,7173.333333333333
u09,18094.197183098593,17294.761194029852,16842.725806451614,16691.01851851852,15696.347826086956,16979.176470588234,18226.92,19363.777777777777,16360.545454545454,9545.57142857143
u10,9573.341176470589,9532.128205128205,9458.463768115942,9495.238095238095,9593.529411764706,10117.837837837838,11079.137931034482,11921.058823529413,13463.444444444445,9791.8
u12,19890.63829787234,19973.317647058822,20132.98611111111,20871.793103448275,20921.68085106383,20493.46153846154,19743.064516129034,18919.956521739132,15384.866666666667,13171.6
u13,8909.79381443299,8956.197916666666,9044.393258426966,8781.6,8525.316666666668,9107.565217391304,9055.2,9544.70588235294,10926.3125,9014.2
u14,15722.0,14699.888888888889,13132.10909090909,13284.458333333334,13615.275,13608.925925925925,15698.625,15535.1,14001.5,15614.0
u15,10845.533333333333,10080.115384615385,9133.636363636364,8026.5,8226.833333333334,7857.125,7798.571428571428,7909.666666666667,8330.333333333334,8330.333333333334
u16,13092.512195121952,12282.671052631578,12484.42857142857,12209.290322580646,12050.358490566037,12377.53488372093,12690.516129032258,13254.84,14631.894736842105,11573.142857142857
u17,13266.481481481482,13790.92,14015.597014925374,14474.6,14472.833333333334,14874.375,15748.25,16545.733333333334,13147.9,8014.333333333333
u18,12938.085714285715,12834.196721311475,12964.035087719298,12093.022727272728,11448.333333333334,12358.826086956522,11824.176470588236,12644.57142857143,10295.90909090909,5308.0
u19,8492.15238095238,8632.530612244898,8797.896551724138,8774.113924050633,8484.485714285714,8128.464285714285,7618.040816326531,7743.628571428571,6977.791666666667,8307.3
u20,14903.70588235294,15000.9,15967.809523809523,16590.777777777777,15553.64705882353,14777.7,14964.8,17692.333333333332,,
u22,13271.949152542373,12553.314814814816,12909.591836734693,13694.634146341463,15486.0,16058.708333333334,15719.478260869566,13768.882352941177,15591.818181818182,18583.25
u23,12769.81884057971,12724.161538461538,12635.321739130435,12666.410526315789,13078.368421052632,13509.142857142857,15361.944444444445,15635.388888888889,23508.25,
u24,18863.5,18467.84,17455.222222222223,19533.153846153848,17033.0,,,,,
u25,8953.357142857143,8195.148148148148,8769.8,9798.357142857143,7846.2,7458.571428571428,9000.0,9000.0,9000.0,6633.5
u27,13034.684931506848,13047.910447761195,13112.75,12851.212765957447,12603.315789473685,13292.483870967742,15256.0,14311.722222222223,11820.583333333334,9571.5
u30,18880.78787878788,18193.737704918032,17338.09259259259,15808.695652173914,14908.361111111111,15058.068965517241,14359.64,12165.0,12103.466666666667,14136.333333333334
u31,9567.858407079646,9376.028301886792,9175.988636363636,9581.101449275362,9634.2,10109.878048780487,10364.727272727272,10806.47619047619,11780.333333333334,9650.8
