uid,chargetime_median_wk_1,chargetime_median_wk_2,chargetime_median_wk_3,chargetime_median_wk_4,chargetime_median_wk_5,chargetime_median_wk_6,chargetime_median_wk_7,chargetime_median_wk_8,chargetime_median_wk_9,chargetime_median_wk_10
u00,11779.0,12241.0,12710.0,12241.0,12241.0,19106.0,19106.0,21310.0,21310.0,32850.0
u01,25876.0,25120.0,25060.0,26743.0,27694.0,26743.0,28429.0,28429.0,10567.0,9161.0
u02,9519.0,8386.0,8208.5,8386.0,9649.0,11127.0,13005.0,12040.5,11127.0,14852.5
u03,20085.0,20598.0,19128.0,16873.0,14868.0,12848.0,12848.0,8955.0,,
u04,25414.0,25614.0,25614.0,25303.0,26004.0,26004.0,26206.0,25855.5,26666.5,
u05,9338.5,9128.0,7998.0,7145.0,7060.5,6870.0,6729.0,7132.5,7132.5,7132.5
u07,17081.0,16967.5,14392.0,12692.5,9111.5,13768.5,17537.0,16269.0,,
u08,9214.0,9196.5,9196.5,8992.0,9085.5,9196.5,9878.0,9196.5,9214.0,6138.5
u09,14355.0,14021.0,13133.5,13133.5,10794.5,13287.5,14355.0,23554.0,11668.0,8947.0
u10,7732.0,7640.0,7548.0,7548.0,7548.0,8260.0,9495.0,10830.0,10847.0,10830.0
u12,22293.0,21049.0,20992.0,23740.5,23944.0,23944.0,23944.0,19686.0,14488.0,14488.0
u13,6490.0,6528.5,6875.0,6528.5,6275.0,6275.0,6275.0,7125.0,10523.5,7215.0
u14,12831.0,11294.0,10007.0,9970.0,9970.0,10007.0,13838.0,13838.0,12389.0,15614.0
u15,8336.0,8190.0,7622.5,7622.5,7622.5,6362.5,5593.0,5491.0,5389.0,5389.0
u16,8806.0,8419.0,8428.0,7917.0,7555.0,7555.0,7555.0,9125.0,9518.0,8111.0
u17,9901.0,10240.0,10269.0,11592.5,11980.5,12413.5,12634.5,14117.0,12634.5,6775.0
u18,10148.5,10080.0,10569.0,9932.0,9932.0,10080.0,10080.0,10324.5,10080.0,5308.0
u19,6847.0,6849.0,6851.0,6847.0,6685.5,6510.5,5994.0,6266.0,5338.5,6918.5
u20,12530.0,14495.0,15733.0,16698.5,15733.0,15579.5,15426.0,18961.0,,
u22,9011.0,8952.0,9011.0,8923.0,9683.0,9683.0,8500.0,8140.0,8500.0,19017.0
u23,10816.5,10816.5,10922.0,11024.0,11026.0,11522.5,14381.5,13003.0,22403.5,
u24,19762.0,17233.0,14219.0,21925.0,14155.0,,,,,
u25,6824.5,6455.0,6909.5,7347.0,6112.0,5752.0,7086.5,7086.5,7086.5,6633.5
u27,10104.0,10104.0,10174.0,10104.0,9877.5,10244.0,14245.0,12801.0,10174.0,6950.0
u30,20451.0,18145.0,13979.0,11310.0,9996.0,9035.0,8473.0,6048.0,6375.0,7705.0
u31,7922.0,7642.5,7453.0,8233.0,8412.0,8412.0,8233.0,8412.0,8544.0,7014.0
u32,14538.0,12181.0,12079.0,11571.0,11571.0,13359.5,12181.0,8940.0,7849.5,8240.0
u33,17843.0,17122.0,17605.0,15642.0,15492.0,15492.0,20304.0,14456.0,,
u34,9248.0,9248.0,9351.0,9248.0,9351.0,9351.0,9454.0,9454.0,9747.0,16329.0
u35,11815.5,11744.0,11546.0,11267.5,11267.5,10799.5,10610.0,10989.0,10989.0,8393.0
u36,19579.0,19579.0,19153.5,19180.0,19180.0,19180.0,20544.5,20833.0,20256.0,16238.5
u39,22789.0,22789.0,,,,,,,,
u41,10392.5,10375.0,10375.0,9064.5,9030.0,10588.0,10588.0,9297.5,7738.5,12639.5
u42,14295.0,14295.0,14281.5,14268.0,12775.5,10590.0,9924.0,18301.0,34259.0,
u43,7157.0,7157.0,6915.0,6562.0,6538.0,6418.0,6915.0,6381.0,6114.0,5847.0
u44,9325.5,9325.5,9407.0,9465.5,8979.5,9221.0,9304.0,9304.0,10856.0,8368.5
u45,9225.0,9225.0,8855.0,8855.0,8855.0,8093.0,7510.0,7954.0,8093.0,8224.0
u46,15948.0,18886.0,15948.0,15948.0,19134.5,23517.0,24315.5,26547.0,29006.0,
u47,9128.0,9956.0,10272.0,9542.0,9047.5,9542.0,9965.0,9965.0,9965.0,12074.0
u49,7427.0,7646.5,7475.0,7609.0,7475.0,7449.5,7449.5,7542.0,7794.0,8763.0
u50,11068.0,13314.5,8114.0,8964.0,8964.0,12262.5,12262.5,11593.5,4403.0,4403.0
u51,28406.0,28882.0,27769.0,26595.0,25112.0,24037.0,22388.0,26230.0,25133.5,23436.5
u52,9509.0,9509.0,9091.0,8936.5,8936.5,8981.0,9356.0,10572.0,12123.0,11201.5
u53,12856.0,12980.0,9905.0,9741.0,9741.0,12856.0,17216.5,15649.0,5130.5,4312.0
u54,7943.5,7199.0,7023.5,7333.5,6809.5,7503.0,4929.0,4788.0,4788.0,4788.0
u56,12842.0,14265.0,27526.0,26443.5,23210.0,27526.0,28402.0,28402.0,25806.0,23210.0
u57,10572.0,9560.0,9880.5,10201.0,9493.0,9560.0,11600.5,11583.0,11835.0,10572.0
u58,21737.5,20275.0,20015.0,20797.0,23914.0,23914.0,25208.0,26118.5,25208.0,21216.5
u59,8495.5,8549.0,8420.5,8226.0,8112.0,8092.5,7739.0,7974.0,9535.0,9617.0
