uid,chargetime_min_wk_1,chargetime_min_wk_2,chargetime_min_wk_3,chargetime_min_wk_4,chargetime_min_wk_5,chargetime_min_wk_6,chargetime_min_wk_7,chargetime_min_wk_8,chargetime_min_wk_9,chargetime_min_wk_10
u00,3843,3843,3843.0,3843.0,4497.0,4497.0,4497.0,4497.0,4497.0,32850.0
u01,4030,4030,4030.0,4030.0,4192.0,4192.0,4192.0,6011.0,6011.0,6011.0
u02,3691,3691,3691.0,3721.0,3721.0,3721.0,3721.0,3721.0,3721.0,6008.0
u03,4143,4143,4143.0,4143.0,4143.0,6863.0,6863.0,8955.0,,
u04,5300,5300,5300.0,5300.0,5347.0,5347.0,19044.0,19044.0,25303.0,
u05,3641,3641,3641.0,3641.0,3641.0,3641.0,3641.0,4078.0,4581.0,6588.0
u07,3940,3940,3940.0,3940.0,3940.0,3940.0,8072.0,8072.0,,
u08,3615,3615,3615.0,3615.0,3615.0,3615.0,3615.0,3669.0,3669.0,3669.0
u09,3714,3714,3714.0,3714.0,3714.0,3714.0,3714.0,3714.0,3714.0,3714.0
u10,3606,3637,3637.0,3637.0,3637.0,3674.0,4035.0,4124.0,6843.0,6843.0
u12,3937,3937,3937.0,3937.0,3943.0,3943.0,3943.0,3943.0,3943.0,4166.0
u13,3630,3630,3630.0,3630.0,3630.0,3746.0,3746.0,3746.0,3746.0,5800.0
u14,3603,3603,3603.0,3603.0,3603.0,3603.0,3915.0,3915.0,7338.0,7338.0
u15,3608,3608,3608.0,3608.0,3608.0,3608.0,3608.0,3608.0,3608.0,3608.0
u16,3650,3650,3650.0,3650.0,3732.0,3732.0,3785.0,3785.0,3785.0,4658.0
u17,3676,3714,3714.0,3714.0,3714.0,3740.0,4730.0,4730.0,4730.0,4730.0
u18,3687,3687,3687.0,3687.0,3687.0,4016.0,4016.0,5308.0,5308.0,5308.0
u19,3665,3665,3665.0,3665.0,3665.0,3665.0,3665.0,3699.0,3699.0,3919.0
u20,3797,3797,3797.0,3955.0,3955.0,3955.0,3955.0,3955.0,,
u22,3698,3698,3698.0,3698.0,3698.0,3698.0,3698.0,3698.0,4661.0,5768.0
u23,3609,3609,3609.0,3665.0,3665.0,3665.0,3776.0,3776.0,18838.0,
u24,3880,3885,3885.0,3885.0,3885.0,,,,,
u25,3611,3611,3611.0,4222.0,4222.0,4222.0,4222.0,4222.0,4222.0,4222.0
u27,3818,3818,3818.0,3818.0,3818.0,3818.0,3818.0,3818.0,3818.0,3818.0
u30,3610,3610,3610.0,3610.0,3610.0,3610.0,3610.0,3610.0,3610.0,3610.0
u31,3609,3609,3609.0,3609.0,3609.0,3609.0,3609.0,3609.0,6018.0,6018.0
u32,3622,3622,3622.0,3622.0,3622.0,3847.0,3847.0,3847.0,3847.0,3847.0
u33,3729,3729,3729.0,3729.0,4426.0,4426.0,4426.0,5822.0,,
u34,4005,4005,4005.0,4005.0,4005.0,4005.0,4005.0,4005.0,4774.0,16329.0
u35,3699,3699,3999.0,3999.0,3999.0,3999.0,3999.0,3999.0,3999.0,3999.0
u36,4178,4178,4178.0,4178.0,4178.0,4178.0,4178.0,4178.0,4178.0,6782.0
u39,22789,22789,,,,,,,,
u41,3656,3656,3656.0,3656.0,3656.0,3656.0,3656.0,4083.0,4083.0,4083.0
u42,5096,5096,5096.0,5096.0,5096.0,5096.0,5096.0,17162.0,34259.0,
u43,3603,3603,3603.0,3603.0,3617.0,3617.0,3769.0,3769.0,3769.0,4768.0
u44,3726,3726,3726.0,3726.0,3726.0,3726.0,3726.0,3726.0,4672.0,7433.0
u45,3796,3796,3796.0,3796.0,3796.0,3796.0,3796.0,3796.0,3911.0,3911.0
u46,3612,3628,3628.0,3628.0,3681.0,3681.0,3710.0,3710.0,3710.0,
u47,4026,4026,4026.0,4026.0,4036.0,4036.0,4036.0,4036.0,4036.0,8462.0
u49,3605,3605,3605.0,3605.0,3605.0,3704.0,3704.0,3704.0,3724.0,3948.0
u50,3926,4403,4403.0,4403.0,4403.0,4403.0,4403.0,4403.0,4403.0,4403.0
u51,3617,3617,3617.0,3617.0,3617.0,3617.0,3617.0,3617.0,7143.0,7143.0
u52,3631,3631,3631.0,3631.0,3631.0,3631.0,3644.0,3644.0,3720.0,5407.0
u53,3616,3616,3616.0,3628.0,3628.0,3754.0,4312.0,4312.0,4312.0,4312.0
u54,3611,3611,3611.0,3611.0,3611.0,3958.0,3958.0,3958.0,3958.0,3958.0
u56,3697,3697,4276.0,4276.0,4276.0,4482.0,4482.0,4482.0,5291.0,5291.0
u57,3668,3668,3668.0,3668.0,3776.0,3776.0,3776.0,3776.0,4154.0,4154.0
u58,4905,4905,5648.0,5648.0,5648.0,5648.0,6809.0,6809.0,10023.0,12927.0
u59,3618,3618,3707.0,3707.0,3707.0,3747.0,3798.0,3798.0,3950.0,3974.0
