uid,chargetime_q1_wk_1,chargetime_q1_wk_2,chargetime_q1_wk_3,chargetime_q1_wk_4,chargetime_q1_wk_5,chargetime_q1_wk_6,chargetime_q1_wk_7,chargetime_q1_wk_8,chargetime_q1_wk_9,chargetime_q1_wk_10
u00,7027.5,7367.0,7827.25,7685.5,9741.5,10927.0,10120.0,9403.0,12903.5,32850.0
u01,11378.5,11108.0,10215.5,11649.0,11108.0,9864.0,10215.5,10837.5,9161.0,7586.0
u02,5776.0,5730.25,5705.5,5705.5,6204.75,5847.0,6325.75,5887.25,5591.5,9249.5
u03,11506.0,10382.0,10382.0,9311.75,7534.0,7720.75,7889.25,8955.0,,
u04,22305.5,21892.25,22188.5,22130.0,22573.0,22573.0,23194.0,23996.0,25984.75,
u05,5949.0,5949.0,5739.0,4942.5,5004.0,5124.0,4856.75,5347.75,5490.0,6799.5
u07,8204.0,8071.5,8070.5,8070.5,7982.0,6028.5,11139.0,12170.5,,
u08,5627.5,5599.75,5655.25,5587.0,5412.25,5412.25,5882.0,5464.75,5195.0,3870.5
u09,6909.0,6624.0,6580.0,6314.75,6314.75,6314.75,6536.0,9059.5,7594.0,5794.5
u10,5042.0,5039.75,5042.0,5109.0,5283.5,5503.0,6843.0,6922.0,7548.0,7548.0
u12,8630.75,9127.0,10838.25,11816.75,13418.5,12277.5,10038.0,6032.0,4299.5,6365.0
u13,4770.0,4773.75,4807.0,4773.75,4667.5,4848.25,4994.75,5104.0,6149.5,6130.0
u14,7330.0,6838.5,5894.5,6484.0,6484.0,6134.5,9252.0,7986.75,9284.25,11476.0
u15,5290.75,5290.75,5290.75,5356.25,5542.0,5356.25,5323.5,5290.75,4498.5,4498.5
u16,5288.25,5248.5,5196.75,5017.5,4701.0,4929.0,5550.0,6148.0,6303.0,6303.0
u17,4823.0,4940.0,5605.5,6048.0,6640.25,8657.25,9672.25,11095.0,10498.0,5752.5
u18,5624.75,5588.0,5735.0,5518.0,5735.75,5735.5,5735.0,6862.75,5865.5,5308.0
u19,4875.0,4863.0,4991.0,5020.5,5018.25,4948.75,4755.0,4681.0,4482.75,4545.75
u20,6965.0,7064.0,7034.0,7477.75,7034.0,6499.25,6321.0,11458.0,,
u22,6470.5,6066.5,5891.0,5768.0,5688.5,5860.25,5829.5,5768.0,6456.0,7547.0
u23,5983.25,5994.25,5984.5,6057.5,6388.0,6388.0,7596.25,6905.0,20307.25,
u24,8700.5,8062.0,7909.0,10616.0,7659.0,,,,,
u25,4572.25,4455.5,5142.25,5298.25,5284.0,4908.5,4901.5,4901.5,4901.5,5427.75
u27,6723.0,7488.5,6236.5,6156.0,6143.5,6095.5,8220.0,7932.5,6175.25,5855.25
u30,5993.25,5771.0,5733.5,5640.0,5559.0,4367.0,4324.0,4316.5,4249.5,5641.5
u31,4641.0,4589.25,4486.0,4882.0,5075.5,5304.0,5304.0,6894.0,7196.0,6018.0
u32,6569.0,6722.5,6558.5,6527.0,6049.0,6491.5,6456.0,5578.0,4759.75,5469.0
u33,8781.5,8957.25,8099.5,8902.0,8661.0,8902.0,12841.5,10100.0,,
u34,6676.0,6650.0,6349.25,5447.0,5747.75,7076.5,6650.0,6565.0,7260.5,16329.0
u35,6577.0,6688.0,6688.0,6799.0,6799.0,6919.5,6910.0,6929.0,6929.0,5570.0
u36,9239.5,9065.0,8397.5,7340.0,7061.0,6782.0,7200.5,6754.0,6782.0,10861.25
u39,22789.0,22789.0,,,,,,,,
u41,5928.25,5980.0,5876.5,5346.5,5441.0,5773.0,5876.5,5824.75,5595.5,8652.25
u42,9924.0,9924.0,9040.5,8746.0,6984.25,6984.25,6736.0,17731.5,34259.0,
u43,5175.0,5175.0,5274.0,5274.0,5307.75,4626.5,4768.0,4485.0,4931.5,5469.5
u44,6762.5,6762.5,7275.5,7240.25,6566.5,6762.5,6615.0,6615.0,8368.5,7900.75
u45,6870.0,6870.0,6580.75,6660.25,6779.0,6282.0,5939.75,5779.25,6361.5,7815.0
u46,5255.0,5502.0,5520.0,4965.0,6844.75,7073.0,14925.25,12876.75,22607.0,
u47,6141.5,6551.5,7035.5,6159.25,7015.5,7368.75,7993.0,7729.0,7729.0,9956.0
u49,5311.5,5327.0,5327.0,5311.5,5004.5,5189.75,5189.75,5189.75,4851.0,5579.0
u50,6368.5,7182.0,6368.5,6334.0,6790.0,6668.25,6668.25,7998.25,4403.0,4403.0
u51,11555.0,12998.5,12917.0,10874.0,10193.0,10193.0,12236.0,20691.0,20667.0,14848.5
u52,6280.25,6308.75,5996.75,5532.0,5532.0,5363.75,5996.75,6655.5,7653.0,7091.5
u53,7164.0,7070.0,6368.5,6368.5,5949.0,6788.0,12118.25,7675.75,4721.25,4312.0
u54,4885.5,4711.0,4752.25,4904.5,4885.5,4752.25,4648.75,4435.0,4435.0,4435.0
u56,5658.5,6071.75,11422.0,9497.5,7073.5,11422.0,11422.0,11422.0,14369.0,14250.5
u57,6164.0,6164.0,6227.25,6093.0,5900.0,5959.0,6598.0,5926.25,6858.0,6408.5
u58,9445.0,9070.0,9195.0,10023.0,10697.0,10906.5,12927.0,20485.75,19755.0,18048.0
u59,5297.75,5324.0,5438.25,5289.0,5324.0,6009.75,5655.5,5823.5,6252.0,6252.0
