,activity_stationary_ratio_wk_1,activity_stationary_ratio_wk_2,activity_stationary_ratio_wk_3,activity_stationary_ratio_wk_4,activity_stationary_ratio_wk_5,activity_stationary_ratio_wk_6,activity_stationary_ratio_wk_7,activity_stationary_ratio_wk_8,activity_stationary_ratio_wk_9,activity_stationary_ratio_wk_10,activity_running_ratio_wk_1,activity_running_ratio_wk_2,activity_running_ratio_wk_3,activity_running_ratio_wk_4,activity_running_ratio_wk_5,activity_running_ratio_wk_6,activity_running_ratio_wk_7,activity_running_ratio_wk_8,activity_running_ratio_wk_9,activity_running_ratio_wk_10
u00,0.8687625276927946,0.8834973881525177,0.9169057994119105,0.8733779939432872,0.8860725720384205,0.7933568748620613,0.8817082526577285,0.8770281124497992,0.8923701298701299,0.8161854214344841,0.028568414389703554,0.03262144202409296,0.011407517624969,0.014811415986051207,0.02847232809879555,0.026749062017214744,0.008804296204288898,0.0040696117804551535,0.00487012987012987,0.04036616837902322
u01,0.9185225526617782,0.915106315455411,0.9422998924295061,0.9148466878796645,0.9171225827419967,0.929892118211546,0.9139760988454527,0.9363364420200598,0.9232665227277069,0.9345805971998513,0.01845836656098652,0.020011283895765012,0.01617084310578941,0.026558432166618455,0.019283895780293592,0.025549341401546407,0.02272635203564918,0.018177019180010558,0.020329785811185202,0.022921571056870278
u02,0.9158847576406463,0.9189457375137092,0.9374178049764155,0.9318428897071717,0.9207706851535068,0.9330968825835355,0.8967493523545903,0.8961968026863275,0.9372676001209814,0.9158623136976579,0.0020439945493478683,0.000905245199589158,0.0002805590138350664,0.001122216377345257,0.0009363464481858287,0.0019227179391450439,0.001330778239114234,0.0013687130447477918,0.001957051612788443,0.0009226401703335699
u03,0.9865436006292289,0.9789975704130298,0.9913230981542177,0.9812800197052424,0.9651510242286784,0.9880452008544064,0.9961712495649148,0.9846645745751673,0.9859341825902336,,0.0014972613384379204,0.001457752182129038,0.000552009660169053,0.00024631553019417875,0.0013680383050725421,0.0011541376696754635,0.00023815194093831864,0.002664456154893718,0.0015923566878980893,
u04,0.865860063413021,0.8373402794888943,0.8563483177003983,0.8398516818221947,0.8847883365536624,0.8239208537599774,0.8982125561327815,0.871754896121641,0.9310692457942159,,0.03797000525199868,0.034883311626597205,0.0466418252904789,0.027332921338394985,0.03082733181099596,0.039590818186644956,0.031645681077749406,0.0325123497880391,0.004095520131056644,
u05,0.9110451761102604,0.9045486111111111,0.9176638872413914,0.9369274136715997,0.946040019590009,0.9509559144478393,0.9598049945279077,0.9528347378814669,0.9505517079469421,0.9310009718172984,0.0062787136294027565,0.00546875,0.004779681122003977,0.004098512666444123,0.0006121877842300427,0.0016237450894805762,0.0015122873345935729,0.0005051780752715333,0.0007923465195445474,0.0010932944606413995
u07,0.9118281660025269,0.8406723785027261,0.9443242767959201,0.9123348017621146,0.9641916063170753,0.9520047333983015,0.9574102485424977,0.9755799755799756,,,0.019826999708426475,0.02579383049251001,0.012415369735338081,0.008088105726872246,0.010801849751330599,0.012146735347347904,0.005891377723227984,0.0029304029304029304,,
u08,0.9310185095829071,0.914203393447871,0.9379601159624,0.9285092472506973,0.921575623505905,0.9122254823508491,0.9160561499674976,0.9273349044066835,0.9328873052575717,0.9307039770849399,0.020806392464920578,0.02212499555365845,0.011631380128261443,0.019631531259438235,0.014682270667570557,0.010936249666577753,0.016233595108838875,0.012137427574109183,0.009002691330882074,0.020160846094524624
u09,0.9039894679925712,0.8973530286507386,0.9157963189216884,0.9100493415214227,0.9262045495253448,0.9319226585254589,0.9194740703120592,0.9209844559585493,0.897381236791326,0.9408728536385936,0.006347415191480358,0.008902547833845543,0.0072518030977811055,0.0090341130950268,0.005713773956654128,0.010457241113099624,0.01079698286402197,0.00858160621761658,0.0062298998437930716,0.0031684382665576453
u10,0.9609753307660045,0.9562414669132261,0.9602398507904966,0.9492737116924532,0.9562633290214313,0.9407407407407408,0.9493487950968101,0.949358710623759,0.9417560018118677,0.9429730467683426,0.00038128646051778704,0.0011060608679121372,0.0016210845578622601,0.01335178987576878,0.008548054399888124,0.0129979035639413,0.01332010029251985,0.011162191653399638,0.014268458402536615,0.00920544525490502
u12,0.9367459362998022,0.8973361666603423,0.9400652158502871,0.9614866872956767,0.9481564764250277,0.9594649158225514,0.9196816208393632,0.9162374770706928,0.9354248993610813,0.9035546165536158,0.008903285875004848,0.01392630820020491,0.007602608634011483,0.007971888603346095,0.010743477174572582,0.007636535997050717,0.01138329038862024,0.015750670241286863,0.011799682387265946,0.021387004707364987
u13,0.9738336596049851,0.9520886438121001,0.9485820940453971,0.9272099049812842,0.9450069423859967,0.9014334589233901,0.9062451052784677,0.9387911964305801,0.9204548140793797,,0.003818347450235497,0.005011357921933794,0.007104581853212114,0.007236778961512621,0.008674082278974711,0.004547226192022866,0.014857577588328747,0.012279254621124067,0.00981017894711959,
u14,0.8560826010882732,0.8655059430443724,0.8777869056034235,0.8906469021586768,0.8828833762298524,0.8902781901053036,0.9054520842085609,0.9569814276124413,0.9722843282008016,0.981852594077043,0.006345055663442865,0.008417860504025933,0.006572034464971438,0.012685730305578917,0.004508697953744775,0.01075738260307703,0.009639172851608084,0.0029928395614231373,0.00037966673697532166,0.002449343130705856
u15,0.9294058218096862,0.8877363831955611,0.9401367275344068,0.9205607476635514,0.929876753081173,0.9258021390374331,0.9552231159383165,0.970713242130429,0.9710492868238949,0.9563825530212084,0.0005261939340363284,0.005616577963990488,0.0002698569758028245,0.00303274122671288,0.0046217594560136,0.0037600267379679143,0.003330088631589733,0.004183822552795856,0.004095466741985595,0.001800720288115246
u16,0.9347346617824744,0.9334481678672095,0.9426683032763667,0.9305461196759864,0.957881442575627,0.9477893601725378,0.9235664170851539,0.9571550810854861,0.9342627826982834,0.9582813582813583,0.0049289426746706045,0.005930942687128093,0.004966480974412237,0.008849403362076473,0.004731070705450755,0.0036843997124370955,0.006472198553273264,0.003259718034390025,0.005234384087472374,0.00887040887040887
u17,0.9611709503998784,0.9444233948746211,0.9617316555331158,0.9489316396211176,0.9450869557678636,0.9583854383771016,0.9431568187373613,0.9702046168179151,0.9535314298161224,0.8854547283027723,0.0032674151326912483,0.003651143565720584,0.0026237205047209707,0.002092664659666642,0.005149723440778181,0.0047241906349868,0.009133130374880559,0.0014492253545426313,0.0030858034887731207,0.00043578827394321343
u18,0.9612084615237622,0.9337478732885036,0.9421473215062937,0.9489047278810797,0.9103960957893542,0.9837909761703157,0.9479531273778725,0.9758024197580242,0.9861353635538171,0.9760479041916168,0.005178574840916474,0.003848335088714251,0.006459026097250997,0.005158322151159751,0.0031021828774637763,0.00022464531960116816,0.0007609191903819814,0.0005399460053994601,0.00013969406998672905,0.002619760479041916
u19,0.9178566883034237,0.9414583333333333,0.9446919079435783,0.9458983523668382,0.9495113721788081,0.9537988034720061,0.9555282214753473,0.9438411796489637,0.9708833400692334,0.9106461139523158,0.0002545500827287769,0.00043402777777777775,0.0005126029624916039,0.000836893034609014,0.0010664149228160346,0.0004841442749939482,0.00015591975330030145,0.00045317483833859135,0.0005974450438419231,0.003277389613195995
u20,0.9317026276436658,0.9792735446013417,0.9782085329229853,0.9878938594813216,0.9482552187266827,0.9734308461396037,0.983487468167806,0.9712573249259152,,,0.0022003845332193976,0.00030883791156941133,0.0010175969819562682,0.0002186210477413713,0.000728799736243905,0.005400234524470777,0.0004825090470446321,0.00037877943896080747,,
u22,0.9514757856528799,0.9296340023612751,0.9258651129943503,0.9478869495880217,0.9333845035145835,0.9750746006670177,0.9591076682432684,0.8753817959682346,0.9054704498999978,0.9465721753116204,0.0149393447320661,0.02245027699573154,0.02067443502824859,0.015646318773810577,0.009049042578977136,0.007986659645427418,0.011172768239544151,0.012083842394624313,0.015143189960218906,0.003116204262163249
u23,0.9516260320167448,0.9626345391593163,0.9703985677287028,0.9684296914561107,0.9633735616053887,0.9632080605241448,0.9746246010568723,0.9960880703454961,0.9775929007210206,,0.00339160432574906,0.003728712654122734,0.0017381933218612573,0.000995302868916866,0.0012805220319955094,0.0038793027787042077,0.0014649714853764454,,0.007432057681641708,
u24,0.9311801286890254,0.9386042402826855,0.9393768205490335,0.9376779619467859,0.9181079242310309,,,,,,0.008339623997986987,0.010618374558303887,0.011616206196486891,0.014934660858743,0.01328463494109643,,,,,
u25,0.877998006865242,0.8327482702482703,0.8559701700197568,0.9050192583032527,0.9371930130496702,0.7637659252861153,0.9907914385266302,0.865533230293663,0.9486169628137021,,0.012977521869117483,0.018722018722018723,0.015276734284998747,0.013995039222408195,0.005841834510419391,0.05412797811847693,,0.005078383749172003,0.0038468583989741713,
u27,0.9428464108494949,0.9656024835198528,0.9431613938117234,0.9150895587592836,0.9540887629839471,0.953755748594788,0.9750760733822313,0.9672179924739651,0.9652403535244665,0.9733599571421614,0.004329517822193227,0.0031810516633450866,0.0067062211313607635,0.0031105286151157712,0.0020396600566572236,0.003138915249288269,0.0016357975832409898,0.0027303754266211604,0.0013293094776173026,0.005211123557200604
u30,0.8360554363246153,0.8585811116131947,0.8516683589510171,0.8840617685078433,0.8849488226410873,0.9341144164759725,0.8784519811370004,0.9651521688626332,0.9425003766762091,0.9534741208635806,0.012058491870066567,0.014460009037505649,0.003991456881761843,0.0068127030709569224,0.005779592445513358,0.0039176201372997715,0.005638018340960899,0.0016594205303508015,0.004953292150067802,0.005279532384274536
u31,0.9154715018206138,0.929935853012776,0.9046418400478877,0.93218493395216,0.9438330305944367,0.9180130385487528,0.8854409965521076,0.9276717381281696,0.8976362528295316,0.9791427916571167,0.004700156052612024,0.008529239298470067,0.004299007781748263,0.004123527311674402,0.0025465683655661216,0.005243764172335601,0.008823638453268083,0.004610419548178884,0.01105693888211736,0.00011460004584001834
u32,0.8936445649095838,0.9405214841704772,0.8977286276380112,0.9070490151953535,0.8826740461343089,0.9105435736387567,0.8960995763453661,0.8650405522349011,0.8558296335869425,0.9012307158953025,0.005380476556495004,0.000645746797444937,0.0014605937760820318,0.0021432092415182495,0.005534600731628727,0.007343093335796426,0.008753194916144392,0.02105093682706434,0.022493229924654128,0.02267290691627665
u33,0.9257068209386955,0.9468624275040494,0.9476854059591303,0.9364023510364974,0.9191919191919192,0.9372661467986152,0.9218681798341336,0.9631980254748997,0.9083109919571045,0.7733605164797825,0.0044042175982084535,0.002838880470940662,0.0030025256539324254,0.005472846936261571,0.004865408006769263,0.004773227960974928,0.008048886948930597,0.004583718982766979,0.0021447721179624667,0.0003397893306150187
u34,0.9096861978059358,0.7973689831956707,0.893749531027238,0.8481899648651849,0.9281603392568659,0.8178694158075601,0.9552937522186723,0.9073735527117611,0.9311021941432597,0.897997603970563,0.005215863026901381,0.02002634577043577,0.0021260098546809734,0.0036319134657139475,0.0022213247172859453,,0.001996805111821086,0.004341864716636197,0.0026039443353538805,0.006503508471675509
u35,0.97153738224093,0.9366520541299187,0.9350420797686049,0.9089119947054008,0.9392602706156243,0.9668319578334142,0.9628257272852613,0.9800489531423339,0.9745910359394996,0.9263793531309454,0.009287098282889022,0.01812416613241384,0.01756372950462616,0.02537575979239598,0.011045178455775526,0.003606352729038075,0.002895353646766855,0.0008276250682350456,0.0017268228002281874,0.007320704772934073
u36,0.9282220844527106,0.9340040102330084,0.9403034530868504,0.82454580810045,0.8975201986639152,0.8821358966110996,0.9224307260610313,0.9305082630631273,0.9325531039172528,0.918070157531217,0.009345365204013686,0.01574707875267925,0.015660969654691315,0.023723540196677592,0.029344898744360113,0.029991106738065054,0.020115748860049104,0.01934287700782629,0.014351926415060575,0.023272430335817086
u39,0.9845624959460336,0.9914237717721258,0.9905951313400845,1.0,0.9701019034801,,,,,,0.0003891807744697412,0.00011788629866493767,0.00041556396404278124,,0.0002884060757546626,,,,,
u41,0.9558786141863314,0.96675877763329,0.9649605958257557,0.9531539503885401,0.962239004886717,0.941789101729589,0.9628502669359077,0.9899696048632218,0.9664932951208294,0.976208614122473,0.010146300875956272,0.0016796705678370177,0.005230795877717156,0.0034567628107629767,0.003198578409595735,0.0033475915938255534,0.00691543802384443,0.00011398176291793312,0.0037858684499168524,0.006152944623498389
u42,0.919495722647456,0.9075113156024389,0.9518761043550567,0.9212644846513519,0.9640611743207084,0.9461540032262675,0.9633073285580319,0.9784364210895898,,,0.0023412877082395317,0.003665881120712228,0.0022000485050064095,0.003923561699532425,0.0016316052820501664,0.005472403160925408,0.003032781978890241,0.0018432910059102347,,
u43,0.9301113327755969,0.894922167796817,0.9208407029691792,0.8700210906899668,0.8768670649738611,0.944548663640948,0.9343513663710827,0.9169462819160835,0.9335807443537271,0.8772635814889336,0.0014801467275886479,0.008384611361932819,0.013604034170022202,0.018680325399216633,0.015179238237490665,0.004498234997478568,0.007272815135187378,0.00533665676029783,0.004368571731523698,0.002012072434607646
u44,0.9913589414703301,0.966251638269987,0.9699821085415148,0.9565262592483496,0.9661266823921187,0.9815118428855478,0.9836805118711694,0.9788091792433327,0.9802789258147917,0.9848768643773846,,0.0008794923087535352,0.0011264992379563978,0.0016287491553029646,0.0036249479672540584,0.0014650992430320577,0.0024083826093208,0.002515333195506857,0.0014531317820679764,0.003954214360041623
u45,0.8474512743628186,0.8903624161073825,0.8663154428712545,0.922798711119879,0.9425876630845575,0.8982447132817765,0.953499285424799,0.9259341226808306,0.9271533807315155,,0.0007496251874062968,0.0028456375838926172,0.0011471422350154547,0.004011310580653646,0.002859114660356896,0.00715592208709046,0.00226104391971161,0.00011065619121389841,0.00035307900945288803,
u46,0.9074498466311745,0.8705921490352628,0.8561347720451622,0.8538465784679927,0.8303347029959708,0.8369980614788147,0.8482478267970891,0.8319309285139387,0.9014955134596211,,0.016606141804463563,0.025631277128283118,0.029601972273831642,0.02743481700921854,0.034667092192922966,0.03910274162281916,0.031976480409415094,0.02921270212921636,0.007244931871053506,
u47,0.9543957706616352,0.9692427219962525,0.9468511974319624,0.9607154652436163,0.975284179789342,0.9543560308224563,0.9451242829827916,0.9025865980940856,0.9113039357953031,0.6228936664729808,0.0031328432332366186,,0.0006054035789206921,5.214761250847399e-05,0.00031285848367921577,0.00047177229124076113,,0.010682952654666464,0.006929842745876151,0.026147588611272515
u49,0.9328072256181006,0.9107926885276018,0.9305296878492141,0.9432037877293352,0.9445887281757692,0.9437579797018026,0.912096466026013,0.9368254622946312,0.9450593966154562,0.9442452806538143,0.003147523036219323,0.00574997703683292,0.005699173061163674,0.004359834286841586,0.005364827207067165,0.005301767977321417,0.009383359044397582,0.010095355939859961,0.006137143898808017,0.011607210007771566
u50,0.9746427008896019,0.9690785193302058,0.8998588591689903,0.9759810296029986,0.9932359888340133,,0.9806603523995978,,0.9887005649717514,0.9675691758405236,0.00040105002187545573,0.0005821319727425264,0.00012048607525216015,0.0003059741451847319,,,0.0001322821313297,,,
u51,0.9086135716862399,0.8944373113092966,0.9144702391342293,0.9410559221952066,0.9288002909645128,0.9006560122827831,0.8963178294573644,0.9119777642664814,0.8976808120682362,0.9078535456648973,0.013547637179846887,0.014730888017489676,0.023477046604992145,0.010837096213963181,0.018947331959334245,0.010817223811850095,0.020824524312896407,0.0331451402762095,0.011948399830819117,0.02092690894242548
