,conversation_hours_wk_1,conversation_hours_wk_2,conversation_hours_wk_3,conversation_hours_wk_4,conversation_hours_wk_5,conversation_hours_wk_6,conversation_hours_wk_7,conversation_hours_wk_8,conversation_hours_wk_9,conversation_hours_wk_10,conversation_freq_wk_1,conversation_freq_wk_2,conversation_freq_wk_3,conversation_freq_wk_4,conversation_freq_wk_5,conversation_freq_wk_6,conversation_freq_wk_7,conversation_freq_wk_8,conversation_freq_wk_9,conversation_freq_wk_10
u00,49.01138888888888,51.153611111111125,47.50027777777779,45.65944444444445,55.89194444444445,50.01472222222226,47.11249999999999,34.83194444444446,32.956666666666685,31.58861111111112,165,227,263.0,189,247.0,306.0,225.0,157.0,208.0,124.0
u01,45.26888888888894,66.1669444444445,65.36472222222226,61.7202777777778,48.74222222222224,16.497500000000006,67.1191666666667,49.76583333333336,34.61,7.192500000000001,218,257,262.0,334,288.0,90.0,314.0,249.0,117.0,50.0
u02,38.56972222222222,34.28361111111112,48.77916666666666,55.817500000000024,27.372222222222227,31.37472222222221,24.805833333333332,24.199999999999992,38.69972222222219,26.138888888888886,158,146,172.0,223,126.0,158.0,108.0,90.0,194.0,108.0
u03,11.717222222222224,12.398611111111121,7.649722222222225,9.376666666666669,12.494444444444452,8.394444444444447,4.043055555555556,2.9524999999999992,,,42,63,60.0,88,92.0,85.0,25.0,23.0,,
u04,41.86583333333331,77.15722222222226,55.4336111111111,51.12277777777778,49.22027777777779,45.02000000000002,60.39444444444449,51.60277777777782,9.512499999999998,,243,333,332.0,325,328.0,358.0,379.0,357.0,82.0,
u05,46.88861111111114,42.41583333333334,28.193333333333328,36.027777777777786,32.54583333333335,29.43722222222224,27.43611111111113,24.98250000000001,32.601388888888884,0.30916666666666665,203,172,142.0,208,218.0,182.0,180.0,152.0,182.0,1.0
u07,38.06027777777777,72.3608333333333,35.962777777777795,35.55111111111113,3.079722222222221,21.3275,15.853055555555567,2.4338888888888888,,,222,345,263.0,201,40.0,137.0,155.0,10.0,,
u08,31.25444444444446,52.503611111111155,40.68777777777779,44.502500000000026,47.275000000000006,44.989444444444466,46.568888888888935,42.10111111111115,59.7305555555556,8.981944444444446,175,242,242.0,304,347.0,280.0,306.0,314.0,300.0,50.0
u09,37.441111111111105,54.64333333333334,59.10583333333335,57.34583333333331,41.809722222222234,51.299722222222215,44.8233333333333,53.69638888888887,57.200277777777806,18.908333333333335,170,243,251.0,285,210.0,252.0,244.0,245.0,253.0,116.0
u10,28.41249999999999,36.36416666666669,30.522222222222236,32.924722222222215,32.31333333333334,28.435555555555567,30.640833333333344,26.55805555555557,53.593055555555566,20.87,209,246,267.0,223,244.0,225.0,233.0,197.0,297.0,119.0
u12,38.95499999999998,46.230833333333365,32.205555555555556,29.932500000000005,27.129166666666684,33.26055555555557,42.341388888888915,42.06750000000001,45.78638888888891,21.55638888888888,209,206,120.0,151,164.0,145.0,224.0,242.0,208.0,127.0
u13,18.76666666666667,23.034166666666668,30.274444444444466,27.514722222222236,32.64972222222223,6.5580555555555575,28.235555555555575,32.52083333333334,23.24472222222222,,139,217,266.0,254,293.0,56.0,240.0,252.0,198.0,
u14,50.43416666666669,62.797777777777775,55.78444444444445,56.465277777777814,58.118055555555536,61.23611111111109,46.05277777777777,24.28750000000002,21.550000000000008,18.063888888888897,206,201,213.0,193,246.0,234.0,209.0,138.0,140.0,99.0
u15,49.232500000000016,59.8461111111111,30.980833333333354,27.285000000000004,23.077777777777783,15.69555555555556,11.770555555555552,10.51361111111111,3.953611111111111,5.370277777777778,220,186,160.0,141,89.0,55.0,67.0,62.0,38.0,34.0
u16,44.40000000000002,40.882777777777804,33.3288888888889,40.69055555555557,28.72250000000002,31.557777777777776,27.229166666666668,15.712499999999993,16.17666666666667,7.014444444444444,216,243,243.0,253,232.0,166.0,155.0,113.0,73.0,29.0
u17,25.264722222222236,55.22611111111113,24.380000000000013,32.54833333333334,27.38555555555555,24.91861111111113,17.836111111111123,20.51777777777778,28.295277777777773,9.392777777777782,133,120,156.0,182,173.0,154.0,108.0,143.0,173.0,54.0
u18,40.661944444444465,36.38666666666668,13.80638888888889,33.693888888888914,19.880555555555556,17.866111111111127,4.412222222222221,26.031388888888905,22.505277777777792,0.5688888888888889,181,157,50.0,161,130.0,84.0,26.0,153.0,107.0,2.0
u19,29.707222222222228,70.93166666666664,47.78416666666667,26.498888888888892,21.644722222222235,9.876111111111118,17.445555555555558,19.89777777777778,47.91222222222224,22.0725,159,242,239.0,158,166.0,65.0,150.0,106.0,247.0,154.0
u20,23.977222222222238,49.6947222222223,24.56805555555555,8.165000000000001,18.313055555555575,11.263611111111112,5.2524999999999995,13.843888888888888,,,172,208,179.0,92,177.0,78.0,39.0,107.0,,
u22,27.206388888888902,34.22444444444445,,25.155277777777776,7.678333333333331,5.673055555555557,13.056388888888888,27.021388888888907,30.191111111111127,10.044444444444448,141,161,,117,36.0,49.0,131.0,207.0,182.0,85.0
u23,21.501111111111108,51.12861111111116,21.87111111111113,22.240277777777774,27.094444444444456,23.44777777777779,16.947500000000005,8.422222222222226,3.063055555555555,,146,192,163.0,163,171.0,202.0,146.0,111.0,21.0,
u24,46.4286111111111,81.94444444444441,51.5255555555556,38.35833333333334,18.680833333333332,,,,,,234,269,227.0,238,80.0,,,,,
u25,47.499444444444464,47.50861111111112,48.22194444444443,56.15527777777777,32.635277777777794,18.717499999999998,0.5905555555555555,7.404444444444445,10.875,,209,197,178.0,203,128.0,91.0,5.0,25.0,85.0,
u27,39.138611111111125,36.13194444444447,26.998888888888903,19.21805555555557,22.86111111111111,37.637222222222235,25.166111111111125,30.764444444444447,34.217222222222226,9.989166666666678,243,243,196.0,126,220.0,273.0,243.0,262.0,314.0,92.0
