uid,speed_mean_wk_1,speed_mean_wk_2,speed_mean_wk_3,speed_mean_wk_4,speed_mean_wk_5,speed_mean_wk_6,speed_mean_wk_7,speed_mean_wk_8,speed_mean_wk_9,speed_mean_wk_10,speed_max_wk_1,speed_max_wk_2,speed_max_wk_3,speed_max_wk_4,speed_max_wk_5,speed_max_wk_6,speed_max_wk_7,speed_max_wk_8,speed_max_wk_9,speed_max_wk_10,speed_sd_wk_1,speed_sd_wk_2,speed_sd_wk_3,speed_sd_wk_4,speed_sd_wk_5,speed_sd_wk_6,speed_sd_wk_7,speed_sd_wk_8,speed_sd_wk_9,speed_sd_wk_10,travelstate_time_stationary_wk_1,travelstate_time_stationary_wk_2,travelstate_time_stationary_wk_3,travelstate_time_stationary_wk_4,travelstate_time_stationary_wk_5,travelstate_time_stationary_wk_6,travelstate_time_stationary_wk_7,travelstate_time_stationary_wk_8,travelstate_time_stationary_wk_9,travelstate_time_stationary_wk_10,travelstate_time_moving_wk_1,travelstate_time_moving_wk_2,travelstate_time_moving_wk_3,travelstate_time_moving_wk_4,travelstate_time_moving_wk_5,travelstate_time_moving_wk_6,travelstate_time_moving_wk_7,travelstate_time_moving_wk_8,travelstate_time_moving_wk_9,travelstate_time_moving_wk_10,outdoor_time_wk_1,outdoor_time_wk_2,outdoor_time_wk_3,outdoor_time_wk_4,outdoor_time_wk_5,outdoor_time_wk_6,outdoor_time_wk_7,outdoor_time_wk_8,outdoor_time_wk_9,outdoor_time_wk_10,indoor_time_wk_1,indoor_time_wk_2,indoor_time_wk_3,indoor_time_wk_4,indoor_time_wk_5,indoor_time_wk_6,indoor_time_wk_7,indoor_time_wk_8,indoor_time_wk_9,indoor_time_wk_10,indoor_dist_wk_1,indoor_dist_wk_2,indoor_dist_wk_3,indoor_dist_wk_4,indoor_dist_wk_5,indoor_dist_wk_6,indoor_dist_wk_7,indoor_dist_wk_8,indoor_dist_wk_9,indoor_dist_wk_10,outdoors_dist_wk_1,outdoors_dist_wk_2,outdoors_dist_wk_3,outdoors_dist_wk_4,outdoors_dist_wk_5,outdoors_dist_wk_6,outdoors_dist_wk_7,outdoors_dist_wk_8,outdoors_dist_wk_9,outdoors_dist_wk_10,altitude_mean_wk_1,altitude_mean_wk_2,altitude_mean_wk_3,altitude_mean_wk_4,altitude_mean_wk_5,altitude_mean_wk_6,altitude_mean_wk_7,altitude_mean_wk_8,altitude_mean_wk_9,altitude_mean_wk_10,altitude_sd_wk_1,altitude_sd_wk_2,altitude_sd_wk_3,altitude_sd_wk_4,altitude_sd_wk_5,altitude_sd_wk_6,altitude_sd_wk_7,altitude_sd_wk_8,altitude_sd_wk_9,altitude_sd_wk_10,altitude_max_wk_1,altitude_max_wk_2,altitude_max_wk_3,altitude_max_wk_4,altitude_max_wk_5,altitude_max_wk_6,altitude_max_wk_7,altitude_max_wk_8,altitude_max_wk_9,altitude_max_wk_10,altitude_min_wk_1,altitude_min_wk_2,altitude_min_wk_3,altitude_min_wk_4,altitude_min_wk_5,altitude_min_wk_6,altitude_min_wk_7,altitude_min_wk_8,altitude_min_wk_9,altitude_min_wk_10,location_count_wk_1,location_count_wk_2,location_count_wk_3,location_count_wk_4,location_count_wk_5,location_count_wk_6,location_count_wk_7,location_count_wk_8,location_count_wk_9,location_count_wk_10,location_1_time_wk_1,location_1_time_wk_2,location_1_time_wk_3,location_1_time_wk_4,location_1_time_wk_5,location_1_time_wk_6,location_1_time_wk_7,location_1_time_wk_8,location_1_time_wk_9,location_1_time_wk_10,location_2_time_wk_1,location_2_time_wk_2,location_2_time_wk_3,location_2_time_wk_4,location_2_time_wk_5,location_2_time_wk_6,location_2_time_wk_7,location_2_time_wk_8,location_2_time_wk_9,location_2_time_wk_10,location_3_time_wk_1,location_3_time_wk_2,location_3_time_wk_3,location_3_time_wk_4,location_3_time_wk_5,location_3_time_wk_6,location_3_time_wk_7,location_3_time_wk_8,location_3_time_wk_9,location_3_time_wk_10,location_4_time_wk_1,location_4_time_wk_2,location_4_time_wk_3,location_4_time_wk_4,location_4_time_wk_5,location_4_time_wk_6,location_4_time_wk_7,location_4_time_wk_8,location_4_time_wk_9,location_4_time_wk_10,location_5_time_wk_1,location_5_time_wk_2,location_5_time_wk_3,location_5_time_wk_4,location_5_time_wk_5,location_5_time_wk_6,location_5_time_wk_7,location_5_time_wk_8,location_5_time_wk_9,location_5_time_wk_10,bearing_north_time_wk_1,bearing_north_time_wk_2,bearing_north_time_wk_3,bearing_north_time_wk_4,bearing_north_time_wk_5,bearing_north_time_wk_6,bearing_north_time_wk_7,bearing_north_time_wk_8,bearing_north_time_wk_9,bearing_north_time_wk_10,bearing_east_time_wk_1,bearing_east_time_wk_2,bearing_east_time_wk_3,bearing_east_time_wk_4,bearing_east_time_wk_5,bearing_east_time_wk_6,bearing_east_time_wk_7,bearing_east_time_wk_8,bearing_east_time_wk_9,bearing_east_time_wk_10,bearing_south_time_wk_1,bearing_south_time_wk_2,bearing_south_time_wk_3,bearing_south_time_wk_4,bearing_south_time_wk_5,bearing_south_time_wk_6,bearing_south_time_wk_7,bearing_south_time_wk_8,bearing_south_time_wk_9,bearing_south_time_wk_10,bearing_west_time_wk_1,bearing_west_time_wk_2,bearing_west_time_wk_3,bearing_west_time_wk_4,bearing_west_time_wk_5,bearing_west_time_wk_6,bearing_west_time_wk_7,bearing_west_time_wk_8,bearing_west_time_wk_9,bearing_west_time_wk_10
u00,0.03419980296052631,0.025259269739478958,0.035420423138833,0.9743481639004149,0.06820110757238307,0.13249984882943144,0.18670825426829268,1.1826776580976863,0.13859067037815126,0.11523277853288365,1.75,5.900212,11.75,33.25,3.25,16.25,13.75,34,22.005682,11.305419,0.21074230922223436,0.3146574126634164,0.5410357467504412,4.931384439475845,0.3524832986316246,1.2436087641770461,1.1077340414093457,5.5979925185286215,1.37480703503669,0.8359412680715398,229839,402327,412257,400041,383477,227991,268201,337551,267846,245168,107528,180789,161578,122986,94058,90302,94991,88112,44493,94067,23739,10326,14247,49645,48804,32769,29266,35563,15807,14868,339167,588477,576235,528427,489443,329680,366192,431674,321301,348710,0.5168025284036895,0.9385022204227295,0.7016811490794138,0.6572072960621514,0.37638100501981636,0.38018921363026587,0.3357033828085573,0.31142330690663594,0.4354888623639303,0.7246327814619256,0.5168025284036895,0.9385022204227295,0.7016811490794138,0.6572072960621514,0.37638100501981636,0.38018921363026587,0.3357033828085573,0.31142330690663594,0.4354888623639303,0.7246327814619256,14.243749969878289,4.17715435754509,6.490543296402414,11.641701336226888,18.402227168097994,11.936789292553511,8.588109696780489,7.07120816811527,4.900840294460568,7.361045580089376,57.81001158931095,32.742530765284144,38.034975261108336,48.301499321881316,61.06534979796849,40.273136822924094,35.71641346576551,33.84582207936709,31.78773775731106,37.65866755680725,371.299987793,391.200012207,298,333.700012207,364,251,273.899993896,303,280.299987793,275.5,0,0,0,-11.6000003815,0,0,0,-7.09999990463,-5.19999980927,0,181,218,201,194,296,96,150,234,57,184,7229,12711,22116,15000,7788,120,5833,4323,10287,4980,66538,54863,46139,51973,55612,69959,33665,53081,12622,76698,368,606,1130,431,725,308,277,29,NA,NA,NA,1533,109,1800,77,14,NA,71,NA,2223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14760,5645,7833,23552,32212,24072,10059,18337,11040,5893,NA,2394,2311,5093,1200,NA,8079,7216,711,2530,5410,1082,3456,11283,8390,3292,8146,7010,2438,5239,3569,1205,647,9717,7002,5405,2982,3000,1618,1206
u01,0.055935169345238095,0.08491678158536585,0.05874290783783784,0.045977150310559003,0.09496354844720496,0.021308761381074168,0.01240642890453834,0.039766149843260185,0.04442548652173913,0.0217133286908078,2.6925824,4.924429,2.9154758,6.1846585,32.75,2.3584952,3.0413814,20.25,19.525623,2.236068,0.2680707342034964,0.40463143158706305,0.3183705205186214,0.36093323039190683,1.5171610099250363,0.17684891917679638,0.15756347385256175,0.6777810757703648,0.8648445877606173,0.16623704943161666,219256,317690,417635,378217,397765,331439,286882,426800,420592,176002,82349,161963,105608,162771,158549,117225,97268,129338,102782,23944,103932,109334,52121,38114,23825,20935,5854,29121,29232,17855,301605,482053,524443,544588,558114,448664,389563,556738,529379,199946,0.13601749577661562,0.18966553142722653,0.19692517913697366,0.19083399471292706,0.17932764848510677,0.13530954844067095,0.2011201024405601,0.20570728662785712,0.18050778263437775,0.06964703758397821,0.13601749577661562,0.18966553142722653,0.19692517913697366,0.19083399471292706,0.17932764848510677,0.13530954844067095,0.2011201024405601,0.20570728662785712,0.18050778263437775,0.06964703758397821,39.168154875446426,27.028048678133537,14.30311846187526,10.435610769204969,5.571428516138095,6.69769819801023,2.7298904442816903,6.31786827158673,7.845543504799783,12.46406689062479,66.69051298769853,57.60131464902924,45.01085652994379,38.266830888861236,28.332900143226546,29.898794498938965,19.865249706832287,30.251088139507406,33.20825683647275,42.40539695363655,256.899993896,199.899993896,192.5,183.699996948,220.5,182,174.399993896,220.899993896,216,215.300003052,0,0,0,0,0,0,0,0,0,0,208,228,232,362,212,167,213,286,141,82,7738,6063,4974,1185,4112,7734,3400,3981,8170,11978,NA,NA,1696,10149,4075,NA,101,3033,3155,50911,264,266,644,401,455,121,1528,83,NA,NA,NA,36,NA,NA,NA,1210,1149,180,NA,NA,238,87,NA,77,16,43,260,288,NA,NA,86008,81146,29993,28573,16879,15136,4648,22122,26826,16049,3594,12595,7200,3440,1201,4171,NA,1794,1113,NA,8304,6000,10129,5754,4642,533,578,2820,1293,1806,6026,9593,4799,347,1103,1095,628,2385,NA,NA
u02,0.11015527536231885,0.08281917755511023,0.07880355277777779,0.015295051924603174,0.018187874574898785,0.03775303387211368,0.025526781407185627,0.018512180102564103,0.0039075365,0.01428746708737864,35.00357,30.316044,8.265138,2.6925824,1.9525625,6.946222,3.2015622,3.363406,2.6575365,3.0413814,1.8876038543943543,1.368079425497088,0.6495833877454151,0.15288540199565778,0.15038210771282806,0.3590407372902223,0.21976983663495261,0.19468256221149668,0.09283506749656094,0.15938389060748517,351114,428810,472802,513906,499997,437777,471273,453218,504064,353566,53431,136961,69836,59002,70467,72481,101225,116826,95562,64654,8573,32694,60962,29485,16786,48873,26911,13699,2174,8014,405745,566971,543838,575309,577640,525057,577029,578441,602626,430267,0.2914972449756494,0.32713135632746076,0.2949121226326013,0.26149341492439127,0.33285134668756095,0.21743488549183773,0.34215875896554326,0.40260676693578784,0.38423629596655384,0.22841475956959878,0.2914972449756494,0.32713135632746076,0.2949121226326013,0.26149341492439127,0.33285134668756095,0.21743488549183773,0.34215875896554326,0.40260676693578784,0.38423629596655384,0.22841475956959878,3.2823188450028984,7.479959935129659,14.07817462134127,6.709325457380952,3.7959514417168014,13.17424518050444,6.580239530095809,3.3046154002666666,0.53299998474,2.3765603434535367,24.43202629849016,31.187145325724753,42.58632073238488,29.620043022411917,22.58150598998836,41.346415755828644,29.91628899546607,21.901688427589967,8.442276882130585,18.346725248423493,306.100006104,172.199996948,195,168.600006104,166,209.600006104,177.100006104,179,142.899993896,162.899993896,0,0,0,0,0,0,0,0,0,0,176,279,277,304,333,223,346,355,282,224,9685,468,102,5698,5938,303,11401,8534,901,3647,10988,43456,34629,53772,94669,79549,42877,29183,101746,100651,180,320,330,331,676,156,1559,NA,348,161,NA,NA,445,NA,NA,882,682,NA,96,NA,41,NA,NA,NA,16,68,104,341,15,59,7369,25533,45424,22408,9510,40375,19735,6901,1137,4194,NA,1198,3611,4672,3593,3601,3008,1596,1037,1208,1204,3621,5917,NA,1204,1809,1510,3398,NA,853,NA,2342,6010,2405,2479,3088,2658,1804,NA,1759
u03,0.00883851356115108,0.011438517573221757,0.0022316047904191614,0.06298162089201878,0.04842174569958848,0.053176018,0.0015337423312883436,0.004098360655737705,0.0125,NA,0.70710677,2.1213202,1.118034,5.550901,3.535534,19.80688,0.75,1,1.25,NA,0.06826320934235598,0.13250495831111128,0.049950075377835995,0.46777997642564006,0.29705771604618236,0.9091619518640235,0.03391617237346037,0.06401843996644795,0.1250000000000003,NA,284367,526900,568800,448387,495603,562058,558544,278401,113402,NA,21652,38404,32401,30207,17343,16288,9599,7801,NA,NA,29981,5152,1199,29730,67854,21329,16258,3916,2534,NA,306019,568304,601201,481596,515946,578346,571142,289202,117602,NA,0.042984952523422534,0.059535514216501426,0.05438447137601428,0.06086160965398792,0.06513186582425683,0.036144010313282536,0.029144533181809786,0.021744716688011565,0.007574599410673547,NA,0.042984952523422534,0.059535514216501426,0.05438447137601428,0.06086160965398792,0.06513186582425683,0.036144010313282536,0.029144533181809786,0.021744716688011565,0.007574599410673547,NA,11.503597067410071,1.7315899517740585,0.23373253188423154,7.687793409319014,15.3045267489714,5.1453999023356,4.061349693251533,2.303688487065574,2.95,NA,37.633476184898484,15.572148482365636,5.231642106162047,31.671078470215143,43.860360207584336,26.162522953898144,24.03749542221448,17.88781963429296,20.75485339756092,NA,148.699996948,165.300003052,117.099998474,199.100006104,183.800003052,179.699996948,211.199996948,145.800003052,148.800003052,NA,0,0,0,0,0,0,0,0,0,NA,26,50,60,79,58,34,23,81,14,NA,NA,1904,NA,1893,2024,2863,NA,NA,NA,NA,17751,29937,48142,20554,12313,2863,11019,6594,2984,NA,39,226,118,317,229,132,269,16,69,NA,319612,520088,544042,466315,552989,591783,575638,283789,118144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27593,1556,NA,20257,50910,19856,16258,3916,2534,NA,NA,1199,1199,2391,4892,NA,NA,NA,NA,NA,1192,1199,NA,2395,3622,1473,NA,NA,NA,NA,1196,1198,NA,4687,8430,NA,NA,NA,NA,NA
u04,0.043769871641791046,0.02272778103448276,0.007826886140724947,0.01963871737804878,0.00903695055785124,0.14026572110552762,0.01654065201612903,0.04339774625,0,NA,4.366062,2.6925824,1.8027756,1.8200275,2.1360009,28.320707,1.8027756,5.2974052,0,NA,0.33332027408503534,0.2127055982047525,0.10371073430921858,0.17757281016638313,0.11452913090322327,1.884483242626274,0.14857435385135095,0.3653084524249675,0,NA,166803,313881,285601,222600,334429,311508,344395,259198,200402,NA,222072,223728,265316,160722,234786,153426,239242,202859,94201,NA,9284,16303,5548,7281,12018,15087,12761,12449,NA,NA,391276,538809,560525,385122,570358,467334,584870,466309,295801,NA,0.3247594128885559,0.4300198860112238,0.5292317217367152,0.3375848582589524,0.43311545923229766,0.3601038441243878,0.4064700118226905,0.32999091219813675,0.18740034293646385,NA,0.3247594128885559,0.4300198860112238,0.5292317217367152,0.3375848582589524,0.43311545923229766,0.3601038441243878,0.4064700118226905,0.32999091219813675,0.18740034293646385,NA,3.5271641517722387,4.5357759163338365,1.9601278894712155,2.2649389941496954,2.7805785502316116,3.380653227990201,3.483669373298387,3.078750019075,0,NA,21.569672669477946,31.001594649366293,17.602685143377375,18.82723026115984,20.033769804985326,20.847617749025027,23.522477580258396,21.088577439990683,0,NA,169.300003052,446.100006104,192.899993896,165,228.800003052,188.899993896,220.800003052,185.5,0,NA,0,-29.5,0,-20.2000007629,0,0,0,0,0,NA,401,507,601,376,551,512,549,468,227,NA,505,959,8012,1189,707,128,854,2262,656,NA,1518,2867,1927,7881,17702,14507,9377,6456,16348,NA,283,564,287,386,126,NA,72,3179,NA,NA,52,16,243,NA,NA,489,NA,NA,NA,NA,82,29,103,NA,292,123,NA,28,40,NA,1493,11947,3304,2480,7776,9294,5867,3487,NA,NA,2397,NA,NA,2400,NA,NA,NA,7800,NA,NA,2221,1955,1040,1202,699,NA,5692,NA,NA,NA,3173,2401,1204,1199,3543,5793,1202,1162,NA,NA
u05,0.104229325,0.005612244897959183,0.0010706638115631692,0.0030153805970149256,0.02233528857715431,0.030274852564102565,0.024736601164144355,0.04258253581885856,0.013592986468646864,0.0067545985855263155,20.024984,1.5,0.5,1.4142135,1.5206907,2.5495098,4.031129,14.758472,3.7831864,1.3462912,1.2804384560018303,0.08811902072166938,0.02313724066913738,0.06530231196471188,0.16692389572531693,0.20669206282132577,0.25881741722592766,0.5925662651942584,0.1815931743298028,0.08709901236502213,228607,432607,403200,438002,433278,462552,445971,426000,301202,154801,80998,154802,154213,123003,140405,98998,63272,50443,54586,27095,8279,2394,1419,1199,18069,25893,8948,10161,4212,1105,309605,587409,557413,564010,576682,561550,511649,481847,364204,184896,0.1568091603688012,0.27917124719214725,0.28203859506261997,0.20829888185097004,0.19772063202379977,0.15395212239865955,0.18560727115704873,0.15573441530469573,0.1648455770799824,0.0777659447720576,0.1568091603688012,0.27917124719214725,0.28203859506261997,0.20829888185097004,0.19772063202379977,0.15395212239865955,0.18560727115704873,0.15573441530469573,0.1648455770799824,0.0777659447720576,1.0238636535690946,0.5993877800163265,0.2610278405267666,0.26908314914285714,4.599599222861723,6.897115365051443,2.8689173564097787,2.0821340007169975,1.5356435492475249,1.053289463644737,10.064654231696638,9.390955639685744,5.6408593457505525,5.827374417401634,25.529062192114896,30.07412274485093,21.13671844669711,17.385075506133408,14.362551599484668,12.981484134319336,115.900001526,156.100006104,121.900001526,126.199996948,187.899993896,171.199996948,226,192.100006104,161,168.300003052,-1.20000004768,0,0,0,0,0,0,0,0,0,190,250,239,228,188,180,203,184,150,113,1324,5327,47,1206,22,13512,210,3699,291,NA,8604,41249,3913,15677,62624,84898,84860,138235,69395,66086,81,121,8398,128,164,103,173,NA,NA,20,46,19,58,1900,236,377,742,1134,NA,NA,201964,350346,383369,401293,349586,401393,318088,289938,229444,28388,2879,1195,NA,NA,13271,15569,4473,6561,1807,597,1800,1199,NA,NA,2396,2447,NA,529,598,NA,1800,NA,1419,NA,2402,2361,3256,1200,NA,NA,1800,NA,NA,1199,NA,5516,1219,1871,1807,508
u07,0.0945665515625,0.08242096372239748,0.09293145391498882,0.017662564347826086,0.052563771200000005,0.04213940054989817,0.06350704052132701,0.01585331891891892,NA,NA,10.262188,9.263504,9.75,2.0155644,11.011357,11,9.263504,1.3462912,NA,NA,0.8088476184981617,0.7480915956485706,0.7527261360221718,0.1537936782277679,0.6252150105495217,0.5187860974600558,0.6140390803256895,0.13740311348518602,NA,NA,279869,258050,432016,430722,517898,494691,437514,146959,NA,NA,85246,108956,84266,108050,70463,76235,49228,27629,NA,NA,23900,21225,19646,13339,13516,18239,17464,4211,NA,NA,366920,367006,518082,541777,588361,574876,490947,174588,NA,NA,0.20643397102604838,0.21569073510651493,0.23403362311233863,0.2673969597825924,0.18234991349483945,0.20565734760202986,0.1343305058625243,0.0697966841438427,NA,NA,0.20643397102604838,0.21569073510651493,0.23403362311233863,0.2673969597825924,0.18234991349483945,0.20565734760202986,0.1343305058625243,0.0697966841438427,NA,NA,10.03062496185,8.209148202403785,5.788143200630873,3.129999973461087,2.91700004578,3.991853391568228,5.395497525464455,3.4790540128108107,NA,NA,38.08640551356296,35.11744392105311,29.76913217271182,20.683418384729887,19.6078116220154,22.798494907437178,27.330126106690805,21.093430523910566,NA,NA,203.300003052,228.199996948,240.899993896,177.699996948,171.100006104,161.300003052,173.399993896,141,NA,NA,0,0,0,0,0,0,0,0,NA,NA,385,522,359,377,342,383,313,126,NA,NA,2431,3673,452,2307,584,958,13424,6292,NA,NA,14,2258,16,39349,8810,5496,NA,501,NA,NA,312,138,82,199,59,170,249,NA,NA,NA,3290,4127,2076,7591,1102,7939,1270,2538,NA,NA,41,126,68,53,147,82,51,NA,NA,NA,16029,16529,9282,7452,6528,11051,11970,3582,NA,NA,1207,1903,3006,5282,1642,1126,NA,629,NA,NA,3807,1596,323,605,1211,6062,2166,NA,NA,NA,2857,1197,7035,NA,4135,NA,3328,NA,NA,NA
u08,0.005028735632183908,0.035592001440329216,0.003143417097415507,0.040755467196819085,0.001984126984126984,0.020284022504537206,0.003102521393034826,0.0065962912,0.0054256824786324785,0.0014044943820224719,1,6.75,1.5811388,17.75,1,3.4003677,1.25,1.75,1.75,0.5,0.06691427938576816,0.39359390832502605,0.07049949458901841,0.7962680794978692,0.0445435403187375,0.19346503515880306,0.0557038113558542,0.09200518404684586,0.0878893691208682,0.026499947000158973,264003,318028,397200,376707,452427,378390,456519,488394,440963,207986,147651,253762,203397,216536,145330,196907,144175,103996,109658,4382,3544,10527,2402,7549,5843,16017,4106,5211,2692,600,414056,574792,601861,595648,598957,578297,600694,597790,562560,212968,0.20135083165175002,0.2883020829640057,0.2437730027117076,0.2979375207902153,0.25403514745201156,0.3319101843550421,0.3385247342966171,0.2596123475718401,0.2391812225768655,0.058738223078284225,0.20135083165175002,0.2883020829640057,0.2437730027117076,0.2979375207902153,0.25403514745201156,0.3319101843550421,0.3385247342966171,0.2596123475718401,0.2391812225768655,0.058738223078284225,1.239080451,2.7386831275720165,0.5922465390775348,1.7751490932326044,1.3426587241035715,4.956079860348457,1.0517413087164178,1.3655000152599999,0.7389957232350427,0.5210674157303371,13.309333217315519,21.493553696769748,9.445168096133981,15.761772177154867,13.895989109249776,26.3937161198815,12.638209404995978,14.364831108625847,10.133130155801876,9.83148033705889,146.5,201.199996948,166.100006104,162.100006104,189.5,176,181.100006104,168.600006104,162.899993896,185.5,0,0,0,0,0,0,0,0,0,0,209,281,262,346,310,310,339,316,269,96,765,1042,NA,10574,333,6484,1482,551,56,NA,45664,29183,49455,58894,144042,93022,34577,170847,16041,9413,306,341,151,190,163,328,NA,24,NA,NA,NA,31,NA,16,NA,NA,NA,NA,NA,NA,75,416,126,80,370,495,417,198,83,171,3544,1205,1201,5855,4676,9263,2244,2266,543,600,NA,4741,NA,1116,NA,4547,NA,605,968,NA,NA,1576,1201,578,1167,2207,1862,1773,603,NA,NA,3005,NA,NA,NA,NA,NA,567,578,NA
u09,0.07480237185344828,0.17607531830238726,0.0451504351565762,0.14943291407673862,0.022784292630480166,0.09432090050526315,0.025727327199558985,0.04165922514551804,0.09824065492957747,0.014684997566909976,2.1360009,30.254131,4.776243,22.051077,1.9525625,3.8160844,3.2015622,5.8523498,25.75,3.535534,0.31001932800262755,1.640676827328556,0.2911653336289112,1.1595271204931281,0.1584531643228957,0.41168761996040804,0.21311746305287324,0.34869338539587647,1.3117241258569925,0.18910165586621414,167804,262316,380402,317406,480125,378421,439121,392467,205867,212311,67802,137161,169483,126118,64659,110555,132767,101032,36094,31816,41900,38979,27468,47305,26338,88480,23913,33607,17551,4169,236806,418687,549885,460328,550793,488976,571888,499505,246174,248934,0.12582452507833886,0.24088521761247636,0.21262647026451514,0.17891411645114097,0.2131330537447765,0.2748541375192596,0.27134264432582594,0.2476767612286333,0.06914705131795203,0.053789861420098964,0.12582452507833886,0.24088521761247636,0.21262647026451514,0.17891411645114097,0.2131330537447765,0.2748541375192596,0.27134264432582594,0.2476767612286333,0.06914705131795203,0.053789861420098964,16.60431038511651,12.098673731955968,5.890396739352818,9.80023986487434,5.285177465770355,18.20273681640358,4.3530320038234835,5.533410948286379,7.957042192624414,2.1355231069294405,48.831387565435826,42.14097812543131,27.09283844545011,33.07527744247287,26.279710703255034,45.64991075470612,24.94850521311814,26.397142440151892,32.81538861214283,17.61660942870539,193.699996948,270.299987793,158.300003052,171.5,187.100006104,193.899993896,318.600006104,186.600006104,281.399993896,166,-35.4000015259,0,0,0,0,0,0,0,0,0,167,265,232,206,262,331,295,309,177,60,192484,290635,442697,296962,385264,316788,370048,359528,178494,140717,NA,3002,3133,1862,22380,35700,19286,9248,13110,76374,298,548,325,402,141,508,604,89,23,109,173,1868,15,NA,NA,178,252,1031,125,NA,362,NA,433,27,346,3434,168,1132,23,29,27497,22308,11122,20027,10640,46480,11345,14726,9801,2744,5399,6515,7675,2397,6000,14826,4785,6001,NA,600,6599,7797,1201,11082,7232,13293,3594,8280,4253,NA,2405,2359,7470,13799,2466,13881,4189,4600,3497,825
u10,0.13773708773006135,0.00929709381237525,0,0.013117106639839034,0.00693918003992016,0.008066669246031746,0.009335475502008032,0.004306453427419355,0,0,5.5226803,2.0615528,0,6.519202,2.3584952,1.4142135,1.8027756,2.1360009,0,0,0.5946398573062843,0.12313972169656523,0,0.29242617502653395,0.1165193148928215,0.09554909772852398,0.12093780607193538,0.0959092716934903,0,0,149098,459598,459600,449078,478813,470484,433200,458397,410406,289201,31800,138201,144001,147152,121254,127922,164402,133826,142802,83400,18191,2241,NA,1200,2364,4597,1684,1176,NA,NA,180898,599599,603601,596230,600067,598406,597602,597631,564019,385218,0.07480681661973958,0.24936656447710012,0.2749218475834404,0.2784276224305835,0.24299961824669294,0.25126626778453903,0.2573650888885642,0.18269454433817156,0.17093663996974706,0.1381387618748534,0.07480681661973958,0.24936656447710012,0.2749218475834404,0.2784276224305835,0.24299961824669294,0.25126626778453903,0.2573650888885642,0.18269454433817156,0.17093663996974706,0.1381387618748534,11.759509221177915,0.9497006048942116,0,0.3559356014004024,0.47624751717365266,1.1938492154325397,0.8251004199919678,0.4848790322580645,0,0,40.51910345372723,12.250011708084413,0,7.935049194245801,7.545044571890843,13.644450874150753,10.61091449733055,10.798768784359813,0,0,187.800003052,162.300003052,0,176.899993896,126.800003052,201.600006104,139.100006104,240.5,0,0,0,0,0,0,0,0,0,0,0,0,244,231,246,279,250,265,243,211,184,179,NA,689,361,NA,NA,NA,NA,107,NA,NA,3317,21982,10049,25421,32562,6126,19026,NA,3414,2484,395,785,689,709,566,690,726,391,332,302,NA,NA,NA,NA,NA,31,NA,1840,NA,NA,NA,43,NA,37,NA,NA,16,19,16,NA,6842,NA,NA,NA,NA,2330,470,1176,NA,NA,2705,204,NA,1200,NA,2267,NA,NA,NA,NA,7200,2037,NA,NA,NA,NA,1214,NA,NA,NA,1444,NA,NA,NA,2364,NA,NA,NA,NA,NA
