uid,locktime_count_wk_1,locktime_count_wk_2,locktime_count_wk_3,locktime_count_wk_4,locktime_count_wk_5,locktime_count_wk_6,locktime_count_wk_7,locktime_count_wk_8,locktime_count_wk_9,locktime_count_wk_10
u00,226,204,176,150,124,94,70,40,24,15
u01,216,193,165,131,101,72,51,41,22,11
u02,156,148,129,103,85,70,56,40,25,11
u03,102,77,65,53,39,25,11,5,1,0
u04,241,212,174,141,113,79,53,24,3,0
u05,180,154,116,89,70,48,28,19,12,4
u07,153,133,99,85,52,28,11,3,0,0
u08,276,250,225,185,163,139,116,82,41,11
u09,219,205,175,149,121,97,74,45,28,12
u10,301,270,223,188,159,130,101,71,40,20
u12,339,314,277,248,205,174,135,100,56,21
u13,197,193,156,129,108,84,67,59,40,9
u14,217,185,151,123,96,71,49,26,15,6
u15,58,44,31,25,18,16,11,7,3,3
u16,242,219,198,170,139,116,86,59,35,11
u17,229,204,173,150,128,93,67,49,30,8
u18,164,141,123,92,62,40,28,23,15,5
u19,254,245,224,200,175,149,119,83,48,20
u20,110,100,80,60,55,33,24,19,2,0
u22,212,184,156,128,101,90,85,55,36,15
u23,214,195,169,147,115,94,67,43,10,0
u24,126,107,82,55,23,0,0,0,0,0
u25,104,82,57,36,13,7,4,4,4,2
u27,147,136,117,101,82,68,50,30,19,8
u30,236,213,171,136,95,71,57,41,34,16
u31,208,192,174,154,137,103,69,48,27,9
u32,228,207,181,153,127,97,81,54,35,14
u33,186,170,147,123,98,80,56,21,1,1
u34,40,32,17,15,12,12,11,8,3,3
u35,104,87,60,46,30,25,18,11,7,5
u36,333,318,281,242,205,172,142,100,64,24
u39,13,12,7,6,4,0,0,0,0,0
u41,68,56,46,31,23,18,16,10,8,4
u42,98,98,67,51,40,30,22,16,2,0
u43,162,162,137,112,88,57,36,24,21,7
u44,225,225,198,163,134,101,69,53,29,5
u45,184,184,153,125,110,97,87,46,36,9
u46,164,163,123,94,72,54,41,19,5,0
u47,85,78,73,61,47,43,39,38,35,9
u49,279,268,239,217,201,175,155,126,75,35
u50,101,88,67,48,32,16,16,11,4,4
u51,316,293,256,217,185,150,120,93,63,26
u52,316,299,253,206,177,145,110,80,52,15
u53,241,219,192,170,142,106,77,47,23,13
u54,165,150,130,93,65,33,11,4,4,4
u56,137,122,98,71,56,38,24,24,13,7
u57,292,272,237,201,165,136,111,79,50,26
u58,266,238,212,188,157,125,100,74,42,12
u59,145,128,95,79,70,56,39,29,21,9
