uid,locktime_max_wk_1,locktime_max_wk_2,locktime_max_wk_3,locktime_max_wk_4,locktime_max_wk_5,locktime_max_wk_6,locktime_max_wk_7,locktime_max_wk_8,locktime_max_wk_9,locktime_max_wk_10
u00,35851,35851,35851,35851,35851,35851,35043,35043,34950,34950
u01,35668,35667,35667,35667,35667,35175,35067,35067,33206,12281
u02,31048,31048,31048,31048,31048,31048,29837,29837,22782,22782
u03,35573,35573,35573,32437,32437,32437,32437,32437,5735,0
u04,35135,35135,35135,33268,31795,31132,31132,31132,28000,0
u05,35835,35835,35835,35835,35835,35835,35776,35776,35776,20534
u07,35886,35878,35878,35878,35828,35828,35828,19382,0,0
u08,33658,33658,33658,33658,33658,33658,27405,27405,20892,14085
u09,35904,35904,35904,35904,35904,35904,35904,35904,35904,35904
u10,34480,33010,33010,32958,32958,32019,32019,32019,31708,31708
u12,35230,35230,35230,35230,35230,35230,31938,31938,31938,19014
u13,35999,35999,35333,28930,28930,28930,28930,28930,27162,21604
u14,35522,35522,35522,35522,35522,35522,32734,27681,27681,7321
u15,35647,35647,35647,35647,35647,35647,34275,33892,5159,5159
u16,35885,35885,35885,35885,35885,35885,33788,33788,32421,32421
u17,34359,34359,34359,34359,34359,34359,34359,34359,34359,34359
u18,34325,34280,34280,34280,34280,34280,34280,34280,34280,34280
u19,33291,33291,33291,33291,33291,33291,33291,33291,31076,27890
u20,34149,34149,34149,33646,33646,33646,33646,33646,32111,0
u22,35647,35647,35647,35647,35647,34702,34702,33441,28933,28933
u23,30446,30446,30446,30446,30446,30446,30446,26913,22829,0
u24,34078,34078,29922,27838,26964,0,0,0,0,0
u25,35025,33952,33952,33952,33762,32975,32975,32975,32975,32975
u27,35629,35629,35629,35629,35629,35629,35629,29456,29456,26202
u30,35912,35912,35253,35253,35253,35253,34850,34850,34376,33827
u31,30241,24990,24990,24990,24990,24990,24990,24990,21572,21402
u32,35524,35524,35524,35524,35283,35283,35283,35186,34320,34320
u33,34879,34879,34879,32784,32784,32784,32784,27388,7821,7821
u34,35812,35812,28894,28894,28894,28894,28894,28894,6613,6613
u35,34554,34554,34554,34554,34554,30331,30331,30106,21935,21935
u36,34027,34027,34027,34027,34027,34027,34027,34027,34027,34027
u39,34571,34571,34571,34571,18505,0,0,0,0,0
u41,35885,35885,35885,35885,35885,35885,35885,35885,35885,35885
u42,34715,34715,34715,34715,34715,34715,34715,34049,26937,0
u43,34427,34427,34427,33029,33029,33029,32899,32899,32899,16531
u44,35660,35660,35660,35122,34641,33634,33634,33634,33634,33634
u45,32699,32699,27895,27895,27895,27895,27895,27895,27895,27895
u46,33583,33583,33583,33583,33583,33583,33583,33583,21659,0
u47,34456,31604,31604,31604,28489,25020,25020,25020,25020,22284
u49,33475,33475,33475,33475,33475,33475,33475,30670,30670,30571
u50,34950,34950,34950,34950,33701,33701,33701,7711,5459,5459
u51,35948,35948,35948,35948,35948,35730,35730,35722,35722,32720
u52,35377,35377,35377,35377,35377,35377,35377,35377,32511,27477
u53,35180,35180,35180,35180,33577,33577,33577,30552,30552,30552
u54,35902,35902,30380,25428,20852,20852,18211,18211,18211,18211
u56,35525,35525,35525,35525,35525,35313,33494,33494,32956,32956
u57,31100,31100,31100,29250,29250,29250,29250,26981,26981,17293
u58,35732,35732,35693,35266,35266,35266,35266,35266,35266,25206
u59,35948,35948,31183,31183,31183,31183,26585,26585,26585,24192
