uid,locktime_mean_wk_1,locktime_mean_wk_2,locktime_mean_wk_3,locktime_mean_wk_4,locktime_mean_wk_5,locktime_mean_wk_6,locktime_mean_wk_7,locktime_mean_wk_8,locktime_mean_wk_9,locktime_mean_wk_10
u00,9457.805309734513,9590.509803921568,9547.761363636364,9621.066666666668,9677.185483870968,9942.31914893617,9880.828571428572,10592.55,9804.375,8782.066666666668
u01,14280.356481481482,14368.652849740933,14408.115151515152,15249.045801526718,15779.277227722772,15296.472222222223,13971.392156862745,14354.975609756097,11773.954545454546,7593.272727272727
u02,10340.108974358975,10047.405405405405,10144.31007751938,10089.611650485436,10410.070588235294,10683.4,9523.214285714286,9931.4,10391.88,10278.545454545454
u03,14850.039215686274,16093.311688311689,16060.953846153847,15116.207547169812,15225.692307692309,13630.92,12957.09090909091,14068.0,5735.0,
u04,14496.551867219918,14835.518867924528,15207.775862068966,15260.425531914894,15332.079646017699,15603.645569620254,15934.792452830188,18406.0,22889.666666666668,
u05,13357.544444444444,13429.51948051948,14030.844827586207,14378.943820224718,15460.3,15705.916666666666,12978.75,13360.157894736842,14180.666666666666,11380.75
u07,15476.071895424837,15999.624060150376,17099.030303030304,16645.576470588236,18309.923076923078,21028.10714285714,23510.81818181818,10103.666666666666,,
u08,8540.22463768116,8489.444,8391.395555555555,8496.881081081081,8403.564417177915,8234.791366906475,8303.663793103447,8164.5609756097565,8120.926829268293,7638.181818181818
u09,14803.744292237443,14851.970731707317,15528.171428571428,15790.335570469799,15468.96694214876,16071.536082474227,16261.5,16447.222222222223,14890.42857142857,11720.666666666666
u10,9943.016611295681,9874.303703703703,9930.421524663678,9636.68085106383,9439.119496855346,9228.276923076923,9407.079207920791,10046.915492957747,10827.55,11028.5
u12,9373.533923303834,9338.388535031847,9459.696750902527,9430.709677419354,9643.970731707317,9238.379310344828,9004.007407407407,8947.05,9162.214285714286,7976.9047619047615
u13,10137.340101522843,10089.886010362694,9974.916666666666,9550.968992248061,9693.25925925926,9191.77380952381,9872.059701492537,10004.93220338983,8435.55,12634.555555555555
u14,11295.138248847927,11388.832432432433,11452.205298013245,11375.121951219513,11009.90625,10359.25352112676,10550.061224489797,9359.038461538461,8488.6,5016.666666666667
u15,15342.689655172413,16112.25,14059.354838709678,12827.12,15220.444444444445,15554.125,12064.363636363636,9908.142857142857,4767.333333333333,4767.333333333333
u16,10656.037190082645,10602.639269406392,10883.70707070707,11150.029411764706,10857.568345323742,11247.48275862069,11203.755813953489,11578.440677966102,11833.8,11919.09090909091
u17,13126.231441048036,13251.906862745098,13157.300578034683,12979.66,12996.859375,14186.31182795699,14282.910447761195,14128.510204081633,13314.2,17515.0
u18,12377.0,12385.354609929078,12218.30081300813,12085.923913043478,12513.548387096775,12368.125,12844.535714285714,13890.91304347826,13691.666666666666,13125.2
u19,11370.472440944883,11156.967346938776,10929.910714285714,10778.805,10629.605714285713,10459.255033557047,9586.302521008403,9561.253012048193,9696.479166666666,8618.85
u20,12518.536363636364,12734.82,12914.0625,12602.183333333332,12554.254545454545,13722.969696969696,15165.958333333334,14513.684210526315,24035.0,
u22,11841.61320754717,11881.592391304348,12124.685897435897,12249.609375,12134.554455445545,12028.777777777777,12213.141176470588,11687.363636363636,11294.222222222223,11761.2
u23,10393.163551401869,10366.76923076923,10306.491124260356,10069.224489795919,10342.252173913044,10088.0,10280.074626865671,10069.162790697674,10406.5,
u24,11099.849206349207,10898.140186915887,9859.817073170732,9787.818181818182,10774.565217391304,,,,,
u25,12007.98076923077,12247.719512195123,13069.052631578947,14440.194444444445,15730.846153846154,13782.0,14764.0,14764.0,14764.0,18919.0
u27,11037.612244897959,11170.882352941177,10867.726495726496,11003.247524752474,10933.780487804877,11615.382352941177,12466.34,12496.666666666666,13442.78947368421,12221.0
