uid,locktime_min_wk_1,locktime_min_wk_2,locktime_min_wk_3,locktime_min_wk_4,locktime_min_wk_5,locktime_min_wk_6,locktime_min_wk_7,locktime_min_wk_8,locktime_min_wk_9,locktime_min_wk_10
u00,3616,3616,3616,3616,3616,3616.0,3616.0,3616.0,3616.0,3616.0
u01,3622,3622,3622,3629,3629,3629.0,3973.0,3973.0,3973.0,3973.0
u02,3612,3612,3612,3626,3660,3660.0,3826.0,3826.0,3826.0,3826.0
u03,3793,3793,3793,3793,3812,3812.0,4541.0,4541.0,5735.0,
u04,3654,3654,3654,3659,3769,3769.0,3769.0,4730.0,15377.0,
u05,3623,3623,3623,3623,3623,3623.0,3623.0,3918.0,3918.0,4548.0
u07,3645,3645,3699,3699,3699,4418.0,5286.0,5286.0,,
u08,3617,3617,3617,3617,3617,3626.0,3685.0,3731.0,3731.0,3902.0
u09,3605,3605,3614,3614,3614,3614.0,3614.0,3947.0,4301.0,4301.0
u10,3601,3601,3601,3601,3601,3601.0,3601.0,3668.0,3672.0,3672.0
u12,3610,3610,3610,3610,3620,3620.0,3620.0,3620.0,3623.0,3623.0
u13,3601,3601,3601,3601,3601,3601.0,3601.0,3601.0,3601.0,3601.0
u14,3603,3603,3603,3603,3603,3603.0,3610.0,3629.0,3629.0,3785.0
u15,3637,3637,3637,4052,4122,4122.0,4122.0,4122.0,4122.0,4122.0
u16,3617,3617,3617,3617,3640,3640.0,3763.0,3763.0,3769.0,3769.0
u17,3600,3600,3600,3600,3612,3612.0,3612.0,3830.0,3830.0,4401.0
u18,3663,3663,3663,3663,3675,3675.0,3795.0,3795.0,3795.0,4089.0
u19,3613,3613,3613,3613,3613,3613.0,3619.0,3619.0,3673.0,3673.0
u20,3681,3681,3681,3681,3681,3681.0,3713.0,3713.0,15959.0,
u22,3663,3663,3663,3663,3663,3663.0,3663.0,3663.0,4264.0,4591.0
u23,3709,3709,3709,3709,3709,3709.0,3709.0,3737.0,3790.0,
u24,3600,3600,3600,3600,3612,,,,,
u25,3603,3892,3892,3892,4376,4396.0,4503.0,4503.0,4503.0,4863.0
u27,3627,3627,3627,3647,3647,3647.0,3847.0,3847.0,3882.0,4089.0
u30,3622,3622,3622,3622,3622,3622.0,3622.0,3622.0,3622.0,3758.0
u31,3610,3610,3610,3610,3610,3610.0,3610.0,3641.0,3641.0,3748.0
u32,3604,3604,3604,3604,3679,3765.0,3822.0,3822.0,3822.0,3908.0
u33,3601,3601,3601,3601,3601,3601.0,3601.0,3816.0,7821.0,7821.0
u34,3918,3918,3918,3918,3918,3918.0,3918.0,3918.0,3918.0,3918.0
u35,3613,3706,3736,3736,3749,3749.0,3833.0,4373.0,4373.0,4373.0
u36,3608,3608,3608,3608,3608,3608.0,3637.0,3637.0,3637.0,3637.0
u39,3984,3984,3984,3984,3984,,,,,
u41,3772,3772,3772,3772,3928,3928.0,3928.0,3928.0,3928.0,11161.0
u42,3632,3632,3632,3632,3632,3632.0,3632.0,4018.0,4953.0,
u43,3606,3606,3606,3606,3750,3750.0,4057.0,4057.0,4057.0,4057.0
u44,3606,3606,3606,3642,3642,3648.0,3648.0,3648.0,3648.0,3836.0
u45,3613,3613,3613,3613,3613,3613.0,3613.0,3908.0,3908.0,5453.0
u46,3601,3601,3601,3669,3713,3713.0,3713.0,4062.0,4062.0,
u47,3644,3644,3644,3644,3644,3787.0,3787.0,3787.0,3787.0,6696.0
u49,3600,3600,3600,3636,3636,3636.0,3636.0,3636.0,3659.0,3659.0
u50,3768,3768,3845,3874,3874,3874.0,3874.0,3874.0,3989.0,3989.0
u51,3650,3650,3650,3650,3650,3650.0,3650.0,3667.0,3667.0,3667.0
u52,3620,3620,3661,3661,3661,3661.0,3694.0,3729.0,3729.0,3751.0
u53,3607,3607,3607,3607,3607,3607.0,3623.0,3652.0,3652.0,4280.0
u54,3602,3602,3602,3613,3616,3732.0,3732.0,3944.0,3944.0,3944.0
u56,3645,3645,3737,3737,3737,3737.0,3737.0,3737.0,5125.0,5125.0
u57,3603,3603,3603,3604,3604,3604.0,3604.0,3610.0,3610.0,3610.0
u58,3671,3671,3683,3683,3683,3683.0,3734.0,3851.0,4064.0,4404.0
u59,3659,3659,3719,3719,3719,3719.0,3724.0,3724.0,3724.0,3724.0
