uid,type,panas_pos_raw,panas_neg_raw,flourishing_scale_raw,panas_pos_imp,panas_neg_imp,flourishing_scale_imp,panas_pos_raw_class,panas_neg_raw_class,flourishing_scale_raw_class,panas_pos_imp_class,panas_neg_imp_class,flourishing_scale_imp_class
u00,pre,32,NA,NA,32,33,49,1,NA,NA,1,1,1
u01,pre,30,19,45,30,19,45,1,1,1,1,1,1
u02,pre,23,15,46,23,15,46,0,0,1,0,0,1
u03,pre,30,27,34,30,27,34,1,1,0,1,1,0
u04,pre,27,14,27,27,14,27,0,0,0,0,0,0
u05,pre,32,27,48,32,27,48,1,1,1,1,1,1
u07,pre,30,21,49,30,21,49,1,1,1,1,1,1
u08,pre,30,26,NA,30,26,38,1,1,NA,1,1,0
u09,pre,28,11,46,28,11,46,0,0,1,0,0,1
u10,pre,33,20,39,33,20,39,1,1,0,1,1,0
u12,pre,42,18,49,42,18,49,1,0,1,1,0,1
u13,pre,13,21,44,13,21,44,0,1,0,0,1,0
u14,pre,40,43,52,40,43,52,1,1,1,1,1,1
u15,pre,30,25,43,30,25,43,1,1,0,1,1,0
u16,pre,18,20,42,18,20,42,0,1,0,0,1,0
u17,pre,31,17,37,31,17,37,1,0,0,1,0,0
u18,pre,16,28,37,16,28,37,0,1,0,0,1,0
u19,pre,31,22,42,31,22,42,1,1,0,1,1,0
u20,pre,29,13,45,29,13,45,1,0,1,1,0,1
u22,pre,26,15,46,26,15,46,0,0,1,0,0,1
u23,pre,NA,NA,35,29,28,35,NA,NA,0,1,1,0
u24,pre,26,15,41,26,15,41,0,0,0,0,0,0
u27,pre,23,18,31,23,18,31,0,0,0,0,0,0
u30,pre,34,33,52,34,33,52,1,1,1,1,1,1
u31,pre,31,17,16,31,17,16,1,0,0,1,0,0
u32,pre,29,14,54,29,14,54,1,0,1,1,0,1
u33,pre,19,34,31,19,34,31,0,1,0,0,1,0
u34,pre,28,10,49,28,10,49,0,0,1,0,0,1
u35,pre,27,12,48,27,12,48,0,0,1,0,0,1
u36,pre,32,11,46,32,11,46,1,0,1,1,0,1
u39,pre,20,10,15,20,10,15,0,0,0,0,0,0
u42,pre,24,29,45,24,29,45,0,1,1,0,1,1
u43,pre,31,18,47,31,18,47,1,0,1,1,0,1
u44,pre,32,11,48,32,11,48,1,0,1,1,0,1
u45,pre,27,23,48,27,23,48,0,1,1,0,1,1
u46,pre,34,19,42,34,19,42,1,1,0,1,1,0
u47,pre,34,31,NA,34,31,56,1,1,NA,1,1,1
u49,pre,35,18,51,35,18,51,1,0,1,1,0,1
u50,pre,25,NA,48,25,13,48,0,NA,1,0,0,1
u51,pre,24,14,NA,24,14,40,0,0,NA,0,0,0
u52,pre,40,35,34,40,35,34,1,1,0,1,1,0
u53,pre,28,17,50,28,17,50,0,0,1,0,0,1
u56,pre,22,9,46,22,9,46,0,0,1,0,0,1
u57,pre,35,12,50,35,12,50,1,0,1,1,0,1
u58,pre,28,15,51,28,15,51,0,0,1,0,0,1
u59,pre,34,21,43,34,21,43,1,1,0,1,1,0
u00,post,31,24,45,31,24,45,1,1,1,1,1,1
u01,post,27,17,46,27,17,46,0,0,1,0,0,1
u02,post,28,13,44,28,13,44,0,0,0,0,0,0
u03,post,25,20,31,25,20,31,0,1,0,0,1,0
u04,post,34,19,33,34,19,33,1,1,0,1,1,0
u05,post,33,17,50,33,17,50,1,0,1,1,0,1
u07,post,16,17,47,16,17,47,0,0,1,0,0,1
u09,post,32,12,47,32,12,47,1,0,1,1,0,1
u10,post,43,28,39,43,28,39,1,1,0,1,1,0
u14,post,36,12,53,36,12,53,1,0,1,1,0,1
u15,post,33,25,48,33,25,48,1,1,1,1,1,1
u16,post,17,33,41,17,33,41,0,1,0,0,1,0
u17,post,27,37,38,27,37,38,0,1,0,0,1,0
u18,post,17,35,NA,17,35,NA,0,1,NA,0,1,NA
u19,post,34,15,42,34,15,42,1,0,0,1,0,0
u20,post,25,26,45,25,26,45,0,1,1,0,1,1
u23,post,28,24,42,28,24,42,0,1,0,0,1,0
u24,post,22,18,43,22,18,43,0,0,0,0,0,0
u27,post,19,23,31,19,23,31,0,1,0,0,1,0
u30,post,34,21,56,34,21,56,1,1,1,1,1,1
u31,post,20,37,36,20,37,36,0,1,0,0,1,0
u32,post,41,15,56,41,15,56,1,0,1,1,0,1
u33,post,26,28,28,26,28,28,0,1,0,0,1,0
u34,post,24,14,23,24,14,23,0,0,0,0,0,0
u35,post,20,15,44,20,15,44,0,0,0,0,0,0
u36,post,32,19,46,32,19,46,1,1,1,1,1,1
u42,post,36,21,16,36,21,16,1,1,0,1,1,0
u43,post,32,21,42,32,21,42,1,1,0,1,1,0
u44,post,28,22,41,28,22,41,0,1,0,0,1,0
u45,post,27,18,49,27,18,49,0,0,1,0,0,1
u46,post,31,34,44,31,34,44,1,1,0,1,1,0
u47,post,35,11,52,35,11,52,1,0,1,1,0,1
u49,post,NA,16,55,38,16,55,NA,0,1,1,0,1
u51,post,26,12,48,26,12,48,0,0,1,0,0,1
u52,post,26,39,37,26,39,37,0,1,0,0,1,0
u53,post,33,17,49,33,17,49,1,0,1,1,0,1
u54,post,21,26,NA,21,26,NA,0,1,NA,0,1,NA
u56,post,29,15,48,29,15,48,1,0,1,1,0,1
u59,post,37,29,50,37,29,50,1,1,1,1,1,1
