uid,panas_pos_raw_post,panas_neg_raw_post,flourishing_scale_raw_post,panas_pos_imp_post,panas_neg_imp_post,flourishing_scale_imp_post,panas_pos_raw_class_post,panas_neg_raw_class_post,flourishing_scale_raw_class_post,panas_pos_imp_class_post,panas_neg_imp_class_post,flourishing_scale_imp_class_post
u00,31,24,45,31,24,45,1,1,1,1,1,1
u01,27,17,46,27,17,46,0,0,1,0,0,1
u02,28,13,44,28,13,44,0,0,0,0,0,0
u03,25,20,31,25,20,31,0,1,0,0,1,0
u04,34,19,33,34,19,33,1,1,0,1,1,0
u05,33,17,50,33,17,50,1,0,1,1,0,1
u07,16,17,47,16,17,47,0,0,1,0,0,1
u09,32,12,47,32,12,47,1,0,1,1,0,1
u10,43,28,39,43,28,39,1,1,0,1,1,0
u14,36,12,53,36,12,53,1,0,1,1,0,1
u15,33,25,48,33,25,48,1,1,1,1,1,1
u16,17,33,41,17,33,41,0,1,0,0,1,0
u17,27,37,38,27,37,38,0,1,0,0,1,0
u18,17,35,NA,17,35,NA,0,1,NA,0,1,NA
u19,34,15,42,34,15,42,1,0,0,1,0,0
u20,25,26,45,25,26,45,0,1,1,0,1,1
u23,28,24,42,28,24,42,0,1,0,0,1,0
u24,22,18,43,22,18,43,0,0,0,0,0,0
u27,19,23,31,19,23,31,0,1,0,0,1,0
u30,34,21,56,34,21,56,1,1,1,1,1,1
u31,20,37,36,20,37,36,0,1,0,0,1,0
u32,41,15,56,41,15,56,1,0,1,1,0,1
u33,26,28,28,26,28,28,0,1,0,0,1,0
u34,24,14,23,24,14,23,0,0,0,0,0,0
u35,20,15,44,20,15,44,0,0,0,0,0,0
u36,32,19,46,32,19,46,1,1,1,1,1,1
u42,36,21,16,36,21,16,1,1,0,1,1,0
u43,32,21,42,32,21,42,1,1,0,1,1,0
u44,28,22,41,28,22,41,0,1,0,0,1,0
u45,27,18,49,27,18,49,0,0,1,0,0,1
u46,31,34,44,31,34,44,1,1,0,1,1,0
u47,35,11,52,35,11,52,1,0,1,1,0,1
u49,NA,16,55,38,16,55,NA,0,1,1,0,1
u51,26,12,48,26,12,48,0,0,1,0,0,1
u52,26,39,37,26,39,37,0,1,0,0,1,0
u53,33,17,49,33,17,49,1,0,1,1,0,1
u54,21,26,NA,21,26,NA,0,1,NA,0,1,NA
u56,29,15,48,29,15,48,1,0,1,1,0,1
u59,37,29,50,37,29,50,1,1,1,1,1,1
