,Rank,CV score (mean),CV score (standard deviation),Target imputation,PCA prop. var.,Imputer strategy,Feature subset,SVM kernel,SVM gamma,SVM degree,SVM C
6117,1,0.5103020290757618,0.14273529930458945,No Imputation,0.95,median,wk_10,poly,0.01,4,1000
9096,2,0.5375395965157758,0.13311018199584945,KNN Imputation,0.9,median,wk_10,linear,100,6,0.01
5302,3,0.5421690457684999,0.15986052240710302,KNN Imputation,0.95,median,wk_10,linear,100,6,0.01
9872,4,0.551876182824697,0.12170798197356783,KNN Imputation,0.6,most_frequent,wk_10,linear,1,6,1
6194,5,0.5542593957127742,0.1267177092225998,KNN Imputation,0.6,most_frequent,wk_10,linear,10,4,1
2903,6,0.5584971891109027,0.16280511033785044,KNN Imputation,0.95,median,wk_10,linear,100,3,0.01
1789,7,0.5588080171026086,0.12680741747323931,No Imputation,0.6,most_frequent,wk_10,linear,0.1,4,1
1636,8,0.5638995059859353,0.14937516510183424,No Imputation,0.9,most_frequent,wk_9_10,linear,0.1,2,0.1
3129,9,0.5640978074124419,0.15592645013590478,No Imputation,0.7,most_frequent,wk_9_10,linear,10,5,0.1
156,10,0.565822143363702,0.13958914339050868,KNN Imputation,0.6,most_frequent,wk_10,linear,100,4,1
2643,11,0.5710475034933447,0.1145124721066578,KNN Imputation,0.6,most_frequent,wk_10,linear,0.01,4,1
5898,12,0.5711103615849629,0.15403171125467077,No Imputation,0.85,median,wk_10,poly,10,6,0.1
5191,13,0.5714791977138953,0.09055180274690347,No Imputation,0.6,most_frequent,wk_10,linear,100,5,10
357,14,0.5723564531430827,0.17008560984188148,No Imputation,0.95,most_frequent,wk_10,linear,10,4,0.1
588,15,0.573068676990014,0.10002426636770881,No Imputation,0.85,mean,wk_10,poly,0.01,6,1000
8970,16,0.5736128876043092,0.1688441005781536,KNN Imputation,0.95,most_frequent,wk_10,linear,0.01,2,0.1
4732,17,0.5741015015289466,0.12507123741641632,No Imputation,0.6,most_frequent,wk_9_10,linear,1,2,1
3293,18,0.574270642314522,0.13708574597237635,KNN Imputation,0.7,most_frequent,wk_9_10,linear,0.01,2,0.1
6962,19,0.574402336670703,0.13863922337865617,No Imputation,0.7,most_frequent,wk_9_10,linear,1,2,0.1
5444,20,0.5745945150147727,0.15610937718308973,KNN Imputation,0.7,most_frequent,wk_9_10,linear,100,3,0.1
1050,21,0.5748854403773578,0.14163611439532614,No Imputation,0.6,most_frequent,wk_10,linear,10,2,1
4552,22,0.575037897564441,0.2923529922478509,No Imputation,0.95,most_frequent,wk_10,poly,0.01,5,100
4250,23,0.5754342665024278,0.1602565588961275,KNN Imputation,0.9,most_frequent,wk_9_10,linear,0.1,6,0.1
9077,24,0.5775638101229555,0.1775255649967329,KNN Imputation,0.95,most_frequent,wk_10,linear,10,3,0.1
4180,25,0.5777814439209445,0.16263621376008305,No Imputation,0.95,most_frequent,wk_10,linear,100,5,0.1
5216,26,0.5778964065660442,0.13841402582972326,No Imputation,0.8,median,wk_10,poly,1,5,0.1
8630,27,0.5783236894867051,0.16408489766205547,KNN Imputation,0.95,most_frequent,wk_10,linear,10,2,0.1
1456,28,0.5784793109729304,0.12865528478360821,KNN Imputation,0.7,most_frequent,wk_9_10,linear,10,5,0.1
6397,29,0.5786836853196109,0.13763210122584169,KNN Imputation,0.95,median,wk_10,linear,0.01,3,1
1690,30,0.5791724747209549,0.17387015007660497,KNN Imputation,0.6,most_frequent,wk_9_10,linear,10,5,0.1
2242,31,0.5808117058851682,0.15498355015331286,KNN Imputation,0.7,most_frequent,wk_9_10,linear,100,4,0.1
8309,32,0.5811613880760533,0.12816907711767517,KNN Imputation,0.6,most_frequent,wk_10,linear,1,4,1
4639,33,0.5818076446131897,0.10831407692715438,No Imputation,0.6,most_frequent,wk_10,linear,1,3,1
4907,34,0.5819345525188268,0.15297268842641404,No Imputation,0.6,most_frequent,wk_10,linear,1,4,1
6237,35,0.5820138637460425,0.15219622032431515,KNN Imputation,0.9,most_frequent,wk_9_10,linear,0.01,2,0.1
8552,36,0.5820417353694671,0.1645231290850926,KNN Imputation,0.9,most_frequent,wk_9_10,linear,1,2,0.1
9840,37,0.5821838645807551,0.10966081313743133,No Imputation,0.6,most_frequent,wk_10,linear,0.01,6,1
1785,38,0.5823070745311407,0.17236536559932172,No Imputation,0.85,median,wk_10,rbf,0.01,3,1000
1839,39,0.5828639343772342,0.17043813848940467,No Imputation,0.95,most_frequent,wk_10,linear,0.1,5,0.1
2062,40,0.5829014419922683,0.14840337666875328,KNN Imputation,0.95,most_frequent,wk_10,linear,0.01,3,0.1
4764,41,0.5832308136754611,0.09604423388606347,KNN Imputation,0.7,median,wk_9_10,poly,1,5,0.1
9979,42,0.5832316226856069,0.12718158245918953,KNN Imputation,0.9,most_frequent,wk_9_10,linear,0.1,5,0.1
4432,43,0.5832792558997048,0.12364849215208223,No Imputation,0.7,most_frequent,wk_9_10,linear,0.01,6,1
8157,44,0.5835174269733974,0.10577905949164826,No Imputation,0.7,most_frequent,wk_9_10,linear,10,3,0.1
865,45,0.583573957360655,0.0879755398512384,KNN Imputation,0.7,most_frequent,wk_9_10,linear,10,4,1
4499,46,0.5838728202038028,0.16274346988004165,KNN Imputation,0.7,most_frequent,wk_9_10,linear,0.01,3,0.1
7222,47,0.5846324148298829,0.11544423450570573,No Imputation,0.7,most_frequent,wk_9_10,linear,100,3,1
9941,48,0.5847771395238629,0.12988972888900577,KNN Imputation,0.7,most_frequent,wk_9_10,linear,100,5,0.1
1564,49,0.5849137208338574,0.11996059481425457,No Imputation,0.8,median,wk_10,poly,0.1,3,0.1
308,50,0.5850763375262223,0.06734401760374507,KNN Imputation,0.6,most_frequent,wk_10,linear,1,6,10
548,51,0.5854817446799989,0.17603143804565788,No Imputation,0.95,most_frequent,wk_10,linear,1,6,0.1
5977,52,0.5856306213616896,0.11114601043325317,KNN Imputation,0.95,mean,wk_10,linear,10,4,0.1
6285,53,0.5858944641747799,0.07522061786352653,No Imputation,0.6,most_frequent,wk_10,linear,0.01,3,10
7564,54,0.5859567492239196,0.12141213955736874,KNN Imputation,0.7,median,wk_10,poly,0.1,6,100
980,55,0.5859746942405011,0.16209615210790057,KNN Imputation,0.95,most_frequent,wk_10,linear,0.1,5,0.1
7292,56,0.5860785837197744,0.12635333379206684,No Imputation,0.6,most_frequent,wk_9_10,linear,1,5,0.1
5932,57,0.5861624031744243,0.1772188704414417,KNN Imputation,0.85,mean,wk_10,poly,100,4,1
7162,58,0.5862876397230014,0.17786576380524607,KNN Imputation,0.85,median,wk_10,poly,1,4,0.01
651,59,0.5867981225504137,0.13214092815935052,No Imputation,0.8,most_frequent,wk_10,poly,10,2,10
3904,60,0.5869604975834938,0.12530614517572744,No Imputation,0.9,most_frequent,wk_9_10,linear,0.01,4,0.1
5714,61,0.5870757162556608,0.12495296162496654,No Imputation,0.6,most_frequent,wk_10,linear,0.1,6,1
4398,62,0.5875499057579845,0.18472646821942665,No Imputation,0.9,mean,wk_10,poly,1,2,1000
4273,63,0.5878702255563739,0.16627745140973194,KNN Imputation,0.9,most_frequent,wk_9_10,linear,10,5,10
1123,64,0.5884657674468305,0.13313050137340934,No Imputation,0.7,most_frequent,wk_9_10,linear,0.01,3,1
1200,65,0.5885179088310196,0.12446120953873623,No Imputation,0.6,most_frequent,wk_10,linear,10,6,1
270,66,0.5887676940787094,0.13998129450864533,KNN Imputation,0.7,most_frequent,wk_9_10,linear,100,2,0.1
7067,67,0.5891420028347112,0.11483478278045268,KNN Imputation,0.7,most_frequent,wk_9_10,linear,10,5,1
4475,68,0.5894507511058336,0.23888193880768707,No Imputation,0.8,most_frequent,wk_10,poly,10,2,1
8624,69,0.5898460273315019,0.12353996342307595,KNN Imputation,0.6,most_frequent,wk_9_10,linear,100,4,0.1
