,rank_test_score,mean_test_score,std_test_score,param_pca__n_components,param_imputer__strategy,param_df_selector__attribute_names,param_SVM__kernel,param_SVM__gamma,param_SVM__degree,param_SVM__C
9096,1,-0.5375395965157758,0.13311018199584945,0.9,median,wk_10,linear,100,6,0.01
5302,2,-0.5421690457684999,0.15986052240710302,0.95,median,wk_10,linear,100,6,0.01
9872,3,-0.551876182824697,0.12170798197356783,0.6,most_frequent,wk_10,linear,1,6,1
6194,4,-0.5542593957127742,0.1267177092225998,0.6,most_frequent,wk_10,linear,10,4,1
2903,5,-0.5584971891109027,0.16280511033785044,0.95,median,wk_10,linear,100,3,0.01
156,6,-0.565822143363702,0.13958914339050868,0.6,most_frequent,wk_10,linear,100,4,1
2643,7,-0.5710475034933447,0.1145124721066578,0.6,most_frequent,wk_10,linear,0.01,4,1
8970,8,-0.5736128876043092,0.1688441005781536,0.95,most_frequent,wk_10,linear,0.01,2,0.1
3293,9,-0.574270642314522,0.13708574597237635,0.7,most_frequent,wk_9_10,linear,0.01,2,0.1
5444,10,-0.5745945150147727,0.15610937718308973,0.7,most_frequent,wk_9_10,linear,100,3,0.1
4250,11,-0.5754342665024278,0.1602565588961275,0.9,most_frequent,wk_9_10,linear,0.1,6,0.1
9077,12,-0.5775638101229555,0.1775255649967329,0.95,most_frequent,wk_10,linear,10,3,0.1
8630,13,-0.5783236894867051,0.16408489766205547,0.95,most_frequent,wk_10,linear,10,2,0.1
1456,14,-0.5784793109729304,0.12865528478360821,0.7,most_frequent,wk_9_10,linear,10,5,0.1
6397,15,-0.5786836853196109,0.13763210122584169,0.95,median,wk_10,linear,0.01,3,1
1690,16,-0.5791724747209549,0.17387015007660497,0.6,most_frequent,wk_9_10,linear,10,5,0.1
2242,17,-0.5808117058851682,0.15498355015331286,0.7,most_frequent,wk_9_10,linear,100,4,0.1
8309,18,-0.5811613880760533,0.12816907711767517,0.6,most_frequent,wk_10,linear,1,4,1
6237,19,-0.5820138637460425,0.15219622032431515,0.9,most_frequent,wk_9_10,linear,0.01,2,0.1
8552,20,-0.5820417353694671,0.1645231290850926,0.9,most_frequent,wk_9_10,linear,1,2,0.1
2062,21,-0.5829014419922683,0.14840337666875328,0.95,most_frequent,wk_10,linear,0.01,3,0.1
4764,22,-0.5832308136754611,0.09604423388606347,0.7,median,wk_9_10,poly,1,5,0.1
9979,23,-0.5832316226856069,0.12718158245918953,0.9,most_frequent,wk_9_10,linear,0.1,5,0.1
865,24,-0.583573957360655,0.0879755398512384,0.7,most_frequent,wk_9_10,linear,10,4,1
4499,25,-0.5838728202038028,0.16274346988004165,0.7,most_frequent,wk_9_10,linear,0.01,3,0.1
9941,26,-0.5847771395238629,0.12988972888900577,0.7,most_frequent,wk_9_10,linear,100,5,0.1
308,27,-0.5850763375262223,0.06734401760374507,0.6,most_frequent,wk_10,linear,1,6,10
5977,28,-0.5856306213616896,0.11114601043325317,0.95,mean,wk_10,linear,10,4,0.1
7564,29,-0.5859567492239196,0.12141213955736874,0.7,median,wk_10,poly,0.1,6,100
980,30,-0.5859746942405011,0.16209615210790057,0.95,most_frequent,wk_10,linear,0.1,5,0.1
5932,31,-0.5861624031744243,0.1772188704414417,0.85,mean,wk_10,poly,100,4,1
7162,32,-0.5862876397230014,0.17786576380524607,0.85,median,wk_10,poly,1,4,0.01
4273,33,-0.5878702255563739,0.16627745140973194,0.9,most_frequent,wk_9_10,linear,10,5,10
270,34,-0.5887676940787094,0.13998129450864533,0.7,most_frequent,wk_9_10,linear,100,2,0.1
7067,35,-0.5891420028347112,0.11483478278045268,0.7,most_frequent,wk_9_10,linear,10,5,1
8624,36,-0.5898460273315019,0.12353996342307595,0.6,most_frequent,wk_9_10,linear,100,4,0.1
4683,37,-0.5906562325457416,0.16990870938283115,0.95,most_frequent,wk_10,linear,0.01,5,0.1
7952,38,-0.5907525573059159,0.1198217738376056,0.6,most_frequent,wk_9_10,linear,1,5,0.1
935,39,-0.5913554338248382,0.16128900616296843,0.9,most_frequent,wk_9_10,linear,10,2,0.1
1784,40,-0.5913827695263412,0.106060543298795,0.6,most_frequent,wk_10,linear,0.01,2,10
1875,41,-0.5918182840571591,0.14620983463338752,0.6,most_frequent,wk_10,linear,0.1,3,1
4274,42,-0.592163822012406,0.1164789124591399,0.85,median,wk_9_10,linear,1,5,100
8769,43,-0.5926198627320389,0.13446914109989894,0.6,most_frequent,wk_10,linear,100,2,1
948,44,-0.5926587140076708,0.14523446070762996,0.95,most_frequent,wk_9_10,linear,10,4,1000
6567,45,-0.5931669427366946,0.09995488238855235,0.6,most_frequent,wk_9_10,linear,100,3,10
5684,46,-0.5933947571045126,0.17039236189373658,0.6,most_frequent,wk_9_10,linear,0.01,3,0.1
4047,47,-0.5938115717834457,0.11468030493398737,0.7,most_frequent,wk_9_10,linear,1,6,1
7022,48,-0.5941432119883332,0.15213006385732397,0.95,median,wk_10,linear,100,4,0.1
1451,49,-0.5941546170129877,0.12239764612158333,0.8,most_frequent,wk_10,poly,1,2,1
9004,50,-0.5942544468518987,0.13112007741782736,0.7,most_frequent,wk_9_10,linear,100,6,0.1
6457,51,-0.5942627326486538,0.13653059735213455,0.6,most_frequent,wk_10,linear,0.01,4,10
322,52,-0.5942924783766137,0.19141566075142719,0.95,most_frequent,wk_10,linear,10,6,0.1
8988,53,-0.5946012000503293,0.11682055418734369,0.6,most_frequent,wk_10,linear,100,4,10
4060,54,-0.5946401336658751,0.09641557695061108,0.6,most_frequent,wk_10,linear,10,6,1
5982,55,-0.5946823962973078,0.16631402786214017,0.7,most_frequent,wk_9_10,linear,0.01,6,0.1
8225,56,-0.5951203043776626,0.07899240785715368,0.6,most_frequent,wk_9_10,linear,100,6,10
6661,57,-0.5952380210904138,0.12464170050775875,0.9,most_frequent,wk_9_10,linear,0.01,4,0.1
6525,58,-0.5954195125412798,0.20374532232028902,0.95,median,wk_10,poly,10,4,1
2318,59,-0.5955440969818377,0.15354806656526815,0.95,mean,wk_10,poly,0.1,2,1000
9345,60,-0.5958042770790895,0.11248426524282312,0.7,most_frequent,wk_9_10,linear,1,5,1
0,61,-0.5963143515667266,0.16601845359856937,0.6,most_frequent,wk_10,linear,100,4,100
4146,62,-0.5967854166020805,0.14099325713779962,0.6,most_frequent,wk_9_10,linear,10,4,0.1
4857,63,-0.5972672004582186,0.172491022991077,0.95,most_frequent,wk_10,linear,1,5,0.1
9701,64,-0.5981121637949915,0.21210934120977581,0.9,most_frequent,wk_9_10,linear,0.1,3,0.1
9111,65,-0.5982880463330067,0.1808274732415312,0.9,most_frequent,wk_9_10,linear,0.1,2,1000
4987,66,-0.5990117491616936,0.15451386448936857,0.6,most_frequent,wk_9_10,linear,0.1,5,0.1
6197,67,-0.5992772896558686,0.12956275983974294,0.7,median,wk_10,poly,1,4,100
5210,68,-0.5992897454932885,0.15251915297206003,0.6,most_frequent,wk_10,linear,0.01,2,1
4411,69,-0.5995670267888997,0.1726113360072069,0.9,most_frequent,wk_9_10,linear,100,4,0.1
3666,70,-0.6001660271235855,0.19477278692125355,0.9,median,wk_10,poly,0.1,6,1000
903,71,-0.6004394098434616,0.1316678808819741,0.6,most_frequent,wk_10,linear,0.01,3,10
6679,72,-0.6007021083308326,0.10617380151470976,0.6,most_frequent,wk_9_10,linear,1,2,1
9985,73,-0.6008161592011618,0.1058148770337916,0.6,most_frequent,wk_9_10,linear,0.01,5,10
6120,74,-0.6009216815918673,0.14819086853174646,0.95,median,wk_10,linear,1,4,0.1
