,rank_test_score,mean_test_score,std_test_score,param_pca__n_components,param_imputer__strategy,param_df_selector__attribute_names,param_SVM__kernel,param_SVM__gamma,param_SVM__degree,param_SVM__C
3059,1,-76.71637004080434,74.41566004156428,0.7,most_frequent,wk_9_10,linear,0.01,4,0.01
7372,1,-76.71637004080434,74.41566004156428,0.7,most_frequent,wk_9_10,linear,0.1,3,0.01
1927,1,-76.71637004080434,74.41566004156428,0.7,most_frequent,wk_9_10,linear,100,4,0.01
3765,1,-76.71637004080434,74.41566004156428,0.7,most_frequent,wk_9_10,linear,0.1,5,0.01
9925,1,-76.71637004080434,74.41566004156428,0.7,most_frequent,wk_9_10,linear,100,3,0.01
4648,1,-76.71637004080434,74.41566004156428,0.7,most_frequent,wk_9_10,linear,100,2,0.01
450,1,-76.71637004080434,74.41566004156428,0.7,most_frequent,wk_9_10,linear,1,3,0.01
6813,1,-76.71637004080434,74.41566004156428,0.7,most_frequent,wk_9_10,linear,0.01,2,0.01
4128,1,-76.71637004080434,74.41566004156428,0.7,most_frequent,wk_9_10,linear,0.1,6,0.01
7485,1,-76.71637004080434,74.41566004156428,0.7,most_frequent,wk_9_10,linear,100,5,0.01
3941,1,-76.71637004080434,74.41566004156428,0.7,most_frequent,wk_9_10,linear,10,5,0.01
7735,1,-76.71637004080434,74.41566004156428,0.7,most_frequent,wk_9_10,linear,1,4,0.01
672,13,-78.41526926376713,78.155192465894,0.6,most_frequent,wk_10,rbf,0.01,3,10
6871,14,-78.4321670970273,79.95751346287923,0.6,most_frequent,wk_10,rbf,0.01,3,1
3481,15,-78.533102807744,74.97991168227082,0.8,most_frequent,wk_9_10,linear,0.01,2,0.01
3729,15,-78.533102807744,74.97991168227082,0.8,most_frequent,wk_9_10,linear,1,5,0.01
638,15,-78.533102807744,74.97991168227082,0.8,most_frequent,wk_9_10,linear,10,5,0.01
1684,15,-78.533102807744,74.97991168227082,0.8,most_frequent,wk_9_10,linear,100,6,0.01
2708,15,-78.533102807744,74.97991168227082,0.8,most_frequent,wk_9_10,linear,1,3,0.01
4319,15,-78.533102807744,74.97991168227082,0.8,most_frequent,wk_9_10,linear,10,6,0.01
