,Rank,CV score (mean),CV score (standard deviation),Target imputation,PCA prop. var.,Imputer strategy,Feature subset,SVM kernel,SVM gamma,SVM degree,SVM C
1927,1,76.71637004080434,74.41566004156428,KNN Imputation,0.7,most_frequent,wk_9_10,linear,100,4,0.01
7735,2,76.71637004080434,74.41566004156428,KNN Imputation,0.7,most_frequent,wk_9_10,linear,1,4,0.01
9452,3,76.71637004080434,74.41566004156428,No Imputation,0.7,most_frequent,wk_9_10,linear,1,5,0.01
6813,4,76.71637004080434,74.41566004156428,KNN Imputation,0.7,most_frequent,wk_9_10,linear,0.01,2,0.01
3941,5,76.71637004080434,74.41566004156428,KNN Imputation,0.7,most_frequent,wk_9_10,linear,10,5,0.01
4784,6,76.71637004080434,74.41566004156428,No Imputation,0.7,most_frequent,wk_9_10,linear,100,2,0.01
2804,7,76.71637004080434,74.41566004156428,No Imputation,0.7,most_frequent,wk_9_10,linear,0.01,2,0.01
4648,8,76.71637004080434,74.41566004156428,KNN Imputation,0.7,most_frequent,wk_9_10,linear,100,2,0.01
4910,9,76.71637004080434,74.41566004156428,No Imputation,0.7,most_frequent,wk_9_10,linear,0.1,2,0.01
9925,10,76.71637004080434,74.41566004156428,KNN Imputation,0.7,most_frequent,wk_9_10,linear,100,3,0.01
7372,11,76.71637004080434,74.41566004156428,KNN Imputation,0.7,most_frequent,wk_9_10,linear,0.1,3,0.01
4667,12,76.71637004080434,74.41566004156428,No Imputation,0.7,most_frequent,wk_9_10,linear,10,6,0.01
7834,13,76.71637004080434,74.41566004156428,No Imputation,0.7,most_frequent,wk_9_10,linear,100,4,0.01
876,14,76.71637004080434,74.41566004156428,No Imputation,0.7,most_frequent,wk_9_10,linear,10,3,0.01
3059,15,76.71637004080434,74.41566004156428,KNN Imputation,0.7,most_frequent,wk_9_10,linear,0.01,4,0.01
8068,16,76.71637004080434,74.41566004156428,No Imputation,0.7,most_frequent,wk_9_10,linear,1,4,0.01
450,17,76.71637004080434,74.41566004156428,KNN Imputation,0.7,most_frequent,wk_9_10,linear,1,3,0.01
3765,18,76.71637004080434,74.41566004156428,KNN Imputation,0.7,most_frequent,wk_9_10,linear,0.1,5,0.01
7485,19,76.71637004080434,74.41566004156428,KNN Imputation,0.7,most_frequent,wk_9_10,linear,100,5,0.01
4128,20,76.71637004080434,74.41566004156428,KNN Imputation,0.7,most_frequent,wk_9_10,linear,0.1,6,0.01
1700,21,78.41526926376713,78.155192465894,No Imputation,0.6,most_frequent,wk_10,rbf,0.01,5,10
6202,22,78.41526926376713,78.155192465894,No Imputation,0.6,most_frequent,wk_10,rbf,0.01,2,10
9117,23,78.41526926376713,78.155192465894,No Imputation,0.6,most_frequent,wk_10,rbf,0.01,3,10
5946,24,78.41526926376713,78.155192465894,No Imputation,0.6,most_frequent,wk_10,rbf,0.01,4,10
672,25,78.41526926376713,78.155192465894,KNN Imputation,0.6,most_frequent,wk_10,rbf,0.01,3,10
9635,26,78.4321670970273,79.95751346287923,No Imputation,0.6,most_frequent,wk_10,rbf,0.01,5,1
6871,27,78.4321670970273,79.95751346287923,KNN Imputation,0.6,most_frequent,wk_10,rbf,0.01,3,1
9825,28,78.533102807744,74.97991168227082,KNN Imputation,0.8,most_frequent,wk_9_10,linear,0.01,4,0.01
8355,29,78.533102807744,74.97991168227082,No Imputation,0.8,most_frequent,wk_9_10,linear,0.1,2,0.01
