,rank_test_score,mean_test_score,std_test_score,param_pca__n_components,param_imputer__strategy,param_df_selector__attribute_names,param_SVM__kernel,param_SVM__gamma,param_SVM__degree,param_SVM__C
6117,1,-0.5103020290757618,0.14273529930458945,0.95,median,wk_10,poly,0.01,4,1000
1789,2,-0.5588080171026086,0.12680741747323931,0.6,most_frequent,wk_10,linear,0.1,4,1
1636,3,-0.5638995059859353,0.14937516510183424,0.9,most_frequent,wk_9_10,linear,0.1,2,0.1
3129,4,-0.5640978074124419,0.15592645013590478,0.7,most_frequent,wk_9_10,linear,10,5,0.1
5898,5,-0.5711103615849629,0.15403171125467077,0.85,median,wk_10,poly,10,6,0.1
5191,6,-0.5714791977138953,0.09055180274690347,0.6,most_frequent,wk_10,linear,100,5,10
357,7,-0.5723564531430827,0.17008560984188148,0.95,most_frequent,wk_10,linear,10,4,0.1
588,8,-0.573068676990014,0.10002426636770881,0.85,mean,wk_10,poly,0.01,6,1000
4732,9,-0.5741015015289466,0.12507123741641632,0.6,most_frequent,wk_9_10,linear,1,2,1
6962,10,-0.574402336670703,0.13863922337865617,0.7,most_frequent,wk_9_10,linear,1,2,0.1
1050,11,-0.5748854403773578,0.14163611439532614,0.6,most_frequent,wk_10,linear,10,2,1
4552,12,-0.575037897564441,0.2923529922478509,0.95,most_frequent,wk_10,poly,0.01,5,100
4180,13,-0.5777814439209445,0.16263621376008305,0.95,most_frequent,wk_10,linear,100,5,0.1
5216,14,-0.5778964065660442,0.13841402582972326,0.8,median,wk_10,poly,1,5,0.1
4639,15,-0.5818076446131897,0.10831407692715438,0.6,most_frequent,wk_10,linear,1,3,1
4907,16,-0.5819345525188268,0.15297268842641404,0.6,most_frequent,wk_10,linear,1,4,1
9840,17,-0.5821838645807551,0.10966081313743133,0.6,most_frequent,wk_10,linear,0.01,6,1
1785,18,-0.5823070745311407,0.17236536559932172,0.85,median,wk_10,rbf,0.01,3,1000
1839,19,-0.5828639343772342,0.17043813848940467,0.95,most_frequent,wk_10,linear,0.1,5,0.1
4432,20,-0.5832792558997048,0.12364849215208223,0.7,most_frequent,wk_9_10,linear,0.01,6,1
8157,21,-0.5835174269733974,0.10577905949164826,0.7,most_frequent,wk_9_10,linear,10,3,0.1
7222,22,-0.5846324148298829,0.11544423450570573,0.7,most_frequent,wk_9_10,linear,100,3,1
1564,23,-0.5849137208338574,0.11996059481425457,0.8,median,wk_10,poly,0.1,3,0.1
548,24,-0.5854817446799989,0.17603143804565788,0.95,most_frequent,wk_10,linear,1,6,0.1
6285,25,-0.5858944641747799,0.07522061786352653,0.6,most_frequent,wk_10,linear,0.01,3,10
7292,26,-0.5860785837197744,0.12635333379206684,0.6,most_frequent,wk_9_10,linear,1,5,0.1
651,27,-0.5867981225504137,0.13214092815935052,0.8,most_frequent,wk_10,poly,10,2,10
3904,28,-0.5869604975834938,0.12530614517572744,0.9,most_frequent,wk_9_10,linear,0.01,4,0.1
5714,29,-0.5870757162556608,0.12495296162496654,0.6,most_frequent,wk_10,linear,0.1,6,1
4398,30,-0.5875499057579845,0.18472646821942665,0.9,mean,wk_10,poly,1,2,1000
1123,31,-0.5884657674468305,0.13313050137340934,0.7,most_frequent,wk_9_10,linear,0.01,3,1
1200,32,-0.5885179088310196,0.12446120953873623,0.6,most_frequent,wk_10,linear,10,6,1
4475,33,-0.5894507511058336,0.23888193880768707,0.8,most_frequent,wk_10,poly,10,2,1
3195,34,-0.5900122114144573,0.12181303652163089,0.7,median,wk_10,poly,0.1,4,1000
6686,35,-0.5905102926261684,0.11214700087441261,0.85,most_frequent,wk_10,linear,1,4,100
3742,36,-0.5908340142382393,0.16455916471109475,0.95,most_frequent,wk_10,linear,10,6,0.1
3656,37,-0.590913747840381,0.1683777746543611,0.9,most_frequent,wk_9_10,linear,100,4,0.1
6518,38,-0.5909866373054393,0.12374033857180484,0.85,most_frequent,wk_9_10,linear,10,6,0.1
3188,39,-0.5912075228975477,0.1677115871682243,0.95,most_frequent,wk_10,linear,100,3,0.1
5146,40,-0.5925602346197272,0.12630056307117374,0.6,most_frequent,wk_10,linear,100,4,10
4818,41,-0.5927530233034526,0.08143333929834685,0.7,median,wk_9_10,poly,1,5,100
3506,42,-0.5931234617358068,0.08937577895948692,0.6,median,wk_10,linear,0.01,6,1000
926,43,-0.5931393457925266,0.127960288530994,0.95,median,wk_10,linear,10,6,0.1
2095,44,-0.5934498163635487,0.1576620089859992,0.7,most_frequent,wk_9_10,linear,100,6,0.1
8053,45,-0.5943292861833297,0.10764620915810481,0.9,median,wk_10,poly,1,3,1
6253,46,-0.5943534751023932,0.11450224123202116,0.85,most_frequent,wk_10,linear,100,3,100
6796,47,-0.5944034726904402,0.1465754944392492,0.7,most_frequent,wk_9_10,linear,1,6,0.1
1021,48,-0.5944833481022357,0.0972662450772236,0.7,most_frequent,wk_9_10,linear,1,6,1
973,49,-0.5947464985604336,0.11805770114280266,0.7,most_frequent,wk_9_10,linear,10,6,1
6955,50,-0.5968973720054386,0.1530899153306331,0.85,most_frequent,wk_9_10,linear,100,2,0.1
1601,51,-0.5969682199530484,0.14485674942452648,0.7,most_frequent,wk_9_10,linear,0.01,3,0.1
4872,52,-0.5969814668022886,0.14248615521665542,0.6,most_frequent,wk_10,linear,0.01,6,10
9034,53,-0.598383634113792,0.11667934643503924,0.7,most_frequent,wk_9_10,linear,0.1,4,1
212,54,-0.5985262042838979,0.15740031616295924,0.9,most_frequent,wk_9_10,linear,10,5,100
4763,55,-0.5988910135859056,0.14046227160792682,0.6,most_frequent,wk_9_10,linear,100,3,0.1
3005,56,-0.5989309338414499,0.15282233378664792,0.85,most_frequent,wk_10,linear,0.01,6,1000
7431,57,-0.5992315537322604,0.10868334222513719,0.6,most_frequent,wk_9_10,linear,0.01,5,1
8678,58,-0.5995686090670451,0.2188001865751226,0.8,mean,wk_10,poly,0.1,5,10
1428,59,-0.5996103155905668,0.17640525127346005,0.9,most_frequent,wk_9_10,linear,1,3,1000
9375,60,-0.6011299467654452,0.15370010293793696,0.95,median,wk_10,linear,0.01,6,0.1
8983,61,-0.6013042047793015,0.12305749459053925,0.6,most_frequent,wk_10,linear,100,2,1
5289,62,-0.6016363996091815,0.08545628282139865,0.8,median,wk_10,linear,100,2,1
8116,63,-0.6017425782761477,0.13473752963205546,0.6,most_frequent,wk_10,linear,10,3,10
2953,64,-0.6018517932190537,0.10075121638342716,0.8,mean,wk_10,poly,10,6,0.1
4231,65,-0.6019232171023523,0.11916065763612807,0.6,most_frequent,wk_10,linear,0.01,4,10
443,66,-0.6019580602055827,0.09286794806753206,0.6,most_frequent,wk_9_10,linear,10,2,10
653,67,-0.6019803133902102,0.09660189720944795,0.8,median,wk_10,linear,0.01,2,1
4845,68,-0.6021455994157524,0.11867542580666568,0.7,most_frequent,wk_9_10,linear,10,2,1
2321,69,-0.6022513379064757,0.1444437694715723,0.6,most_frequent,wk_10,linear,1,2,100
545,70,-0.6022988772720164,0.10061941675836882,0.6,most_frequent,wk_9_10,linear,0.01,4,1
5085,71,-0.6025525787526995,0.16367863901327726,0.9,median,wk_10,linear,1,6,0.1
2542,72,-0.6026409140048028,0.08754145092391347,0.6,most_frequent,wk_9_10,linear,0.01,6,0.1
6233,73,-0.6028120988094205,0.11461140585397887,0.85,most_frequent,wk_9_10,linear,0.01,4,0.1
2791,74,-0.6028531184176231,0.09745553245928736,0.6,most_frequent,wk_9_10,linear,10,5,100
7476,75,-0.6028836648229821,0.12277836465969638,0.7,most_frequent,wk_9_10,linear,100,2,1
5559,76,-0.6031765822978128,0.14594595879658537,0.9,median,wk_10,linear,1,3,0.1
1100,77,-0.6032097514799392,0.12617447745985813,0.7,median,wk_10,poly,100,4,1
8351,78,-0.6035522274021823,0.1689076093519726,0.85,mean,wk_10,rbf,0.01,5,1000
6564,79,-0.6042747753951908,0.1362224149185616,0.9,most_frequent,wk_9_10,linear,10,2,0.1
9177,80,-0.604913402697979,0.15412549825279354,0.85,most_frequent,wk_9_10,linear,0.01,2,0.1
3232,81,-0.6053224948152522,0.1054347696532824,0.95,median,wk_10,poly,1,2,0.1
7024,82,-0.6054442301984727,0.16589548190547884,0.9,most_frequent,wk_9_10,linear,0.01,6,0.1
9889,83,-0.6055095206726483,0.1575867602973071,0.6,most_frequent,wk_9_10,linear,0.01,5,0.1
