,rank_test_score,mean_test_score,std_test_score,param_pca__n_components,param_imputer__strategy,param_df_selector__attribute_names,param_SVM__kernel,param_SVM__gamma,param_SVM__degree,param_SVM__C
8068,1,-76.71637004080434,74.41566004156428,0.7,most_frequent,wk_9_10,linear,1,4,0.01
7834,1,-76.71637004080434,74.41566004156428,0.7,most_frequent,wk_9_10,linear,100,4,0.01
4784,1,-76.71637004080434,74.41566004156428,0.7,most_frequent,wk_9_10,linear,100,2,0.01
4910,1,-76.71637004080434,74.41566004156428,0.7,most_frequent,wk_9_10,linear,0.1,2,0.01
9452,1,-76.71637004080434,74.41566004156428,0.7,most_frequent,wk_9_10,linear,1,5,0.01
2804,1,-76.71637004080434,74.41566004156428,0.7,most_frequent,wk_9_10,linear,0.01,2,0.01
4667,1,-76.71637004080434,74.41566004156428,0.7,most_frequent,wk_9_10,linear,10,6,0.01
876,1,-76.71637004080434,74.41566004156428,0.7,most_frequent,wk_9_10,linear,10,3,0.01
9117,9,-78.41526926376713,78.155192465894,0.6,most_frequent,wk_10,rbf,0.01,3,10
1700,9,-78.41526926376713,78.155192465894,0.6,most_frequent,wk_10,rbf,0.01,5,10
6202,9,-78.41526926376713,78.155192465894,0.6,most_frequent,wk_10,rbf,0.01,2,10
5946,9,-78.41526926376713,78.155192465894,0.6,most_frequent,wk_10,rbf,0.01,4,10
9635,13,-78.4321670970273,79.95751346287923,0.6,most_frequent,wk_10,rbf,0.01,5,1
8635,14,-78.533102807744,74.97991168227082,0.8,most_frequent,wk_9_10,linear,0.01,3,0.01
8355,14,-78.533102807744,74.97991168227082,0.8,most_frequent,wk_9_10,linear,0.1,2,0.01
1655,14,-78.533102807744,74.97991168227082,0.8,most_frequent,wk_9_10,linear,10,6,0.01
1266,14,-78.533102807744,74.97991168227082,0.8,most_frequent,wk_9_10,linear,100,6,0.01
528,14,-78.533102807744,74.97991168227082,0.8,most_frequent,wk_9_10,linear,0.1,3,0.01
8742,14,-78.533102807744,74.97991168227082,0.8,most_frequent,wk_9_10,linear,100,2,0.01
1614,14,-78.533102807744,74.97991168227082,0.8,most_frequent,wk_9_10,linear,10,3,0.01
7359,14,-78.533102807744,74.97991168227082,0.8,most_frequent,wk_9_10,linear,1,2,0.01
2326,14,-78.533102807744,74.97991168227082,0.8,most_frequent,wk_9_10,linear,100,5,0.01
4901,23,-79.21688419309598,68.48740065691725,0.7,most_frequent,wk_9_10,rbf,0.01,5,10
2531,23,-79.21688419309598,68.48740065691725,0.7,most_frequent,wk_9_10,rbf,0.01,6,10
7959,23,-79.21688419309598,68.48740065691725,0.7,most_frequent,wk_9_10,rbf,0.01,2,10
6587,26,-79.63458806706916,80.11298473789489,0.7,most_frequent,wk_10,rbf,0.01,6,1
3424,26,-79.63458806706916,80.11298473789489,0.7,most_frequent,wk_10,rbf,0.01,5,1
2441,26,-79.63458806706916,80.11298473789489,0.7,most_frequent,wk_10,rbf,0.01,3,1
6606,29,-80.17317945948824,80.44994824671959,0.85,most_frequent,wk_10,rbf,0.01,2,1
9820,29,-80.17317945948824,80.44994824671959,0.85,most_frequent,wk_10,rbf,0.01,5,1
1929,29,-80.17317945948824,80.44994824671959,0.85,most_frequent,wk_10,rbf,0.01,6,1
5351,29,-80.17317945948824,80.44994824671959,0.85,most_frequent,wk_10,rbf,0.01,4,1
6550,33,-80.17393097755516,78.04721132830602,0.6,most_frequent,all,rbf,0.01,3,100
405,33,-80.17393097755516,78.04721132830602,0.6,most_frequent,all,rbf,0.01,4,100
2309,35,-80.25586087639269,80.2635913807543,0.8,most_frequent,wk_10,rbf,0.01,4,1
5432,35,-80.25586087639269,80.2635913807543,0.8,most_frequent,wk_10,rbf,0.01,2,1
4707,37,-80.42106195063225,80.66993309195962,0.9,most_frequent,wk_10,rbf,0.01,4,1
7765,37,-80.42106195063225,80.66993309195962,0.9,most_frequent,wk_10,rbf,0.01,5,1
1992,37,-80.42106195063225,80.66993309195962,0.9,most_frequent,wk_10,rbf,0.01,3,1
1486,40,-80.42427458223476,80.18988695569429,0.95,most_frequent,wk_10,rbf,0.01,5,1
