,Rank,CV score (mean),CV score (standard deviation),Target imputation,PCA prop. var.,Imputer strategy,Feature subset,SVM kernel,SVM gamma,SVM degree,SVM C
2878,1,0.4587806094609088,0.21121594789362838,No Imputation,0.7,mean,all,rbf,0.01,3,1
7969,2,0.4751141607602478,0.22967152931274654,No Imputation,0.6,mean,all,rbf,0.01,6,1
8873,3,0.47695874129928695,0.2225388029216845,No Imputation,0.6,median,all,rbf,0.01,4,1
5795,4,0.4941189606512517,0.19577821353241384,No Imputation,0.7,mean,all,rbf,0.01,2,1
1326,5,0.49894906682824447,0.1914686759546815,No Imputation,0.6,median,all,rbf,0.01,5,1
5742,6,0.5002491118287242,0.1870920575658016,KNN Imputation,0.6,mean,all,rbf,0.01,5,1
9019,7,0.503513522242465,0.19477590425624433,KNN Imputation,0.7,mean,all,rbf,0.01,5,1
9830,8,0.5046520638051706,0.16446636597422692,No Imputation,0.7,mean,all,rbf,0.01,5,1
3008,9,0.5048621111132101,0.19526680976072266,No Imputation,0.6,mean,all,rbf,0.01,4,1
5519,10,0.5145497463066876,0.15343570303146464,KNN Imputation,0.7,median,all,rbf,0.01,2,1
828,11,0.5241225393723968,0.18412116457420497,KNN Imputation,0.6,median,all,rbf,0.01,5,1
5847,12,0.5268041511092741,0.1718232590420756,No Imputation,0.6,median,all,rbf,0.01,2,1
1523,13,0.5301991246345026,0.14943174508294724,KNN Imputation,0.6,mean,all,rbf,0.01,4,1
2181,14,0.5314887364504541,0.20968387506639483,No Imputation,0.8,mean,all,rbf,0.01,5,1
3863,15,0.5323308267039641,0.2142517126023217,KNN Imputation,0.95,median,wk_10,poly,1,4,1
2330,16,0.5368821875014262,0.2268466455213727,No Imputation,0.8,median,all,rbf,0.01,3,1
2422,17,0.5391280586920913,0.09409068657583382,KNN Imputation,0.9,most_frequent,wk_10,poly,0.1,5,0.01
3018,18,0.5429013187663829,0.16377495772197098,No Imputation,0.95,most_frequent,all,rbf,0.01,5,1000
9235,19,0.5431333601117071,0.22733358534963705,No Imputation,0.85,median,all,rbf,0.01,4,1
3601,20,0.5447324233248461,0.257019387176135,KNN Imputation,0.7,median,all,rbf,0.01,2,1000
1360,21,0.5465939993253429,0.2684616305014484,KNN Imputation,0.7,median,all,rbf,0.01,2,10
2198,22,0.5473220841925472,0.18226955773457335,No Imputation,0.85,most_frequent,all,rbf,0.01,3,1
9615,23,0.5476043870557941,0.10450723912772189,KNN Imputation,0.95,most_frequent,wk_10,poly,0.01,5,1000
635,24,0.5481351898783479,0.2004219471686874,KNN Imputation,0.7,median,all,rbf,0.01,3,0.01
1294,25,0.5482863290913819,0.20929339280821463,No Imputation,0.8,median,all,rbf,0.01,6,1
6196,26,0.5491018376993393,0.15342777465140364,No Imputation,0.85,most_frequent,all,rbf,0.01,5,1
1667,27,0.5495499715489686,0.16831190195223186,No Imputation,0.6,most_frequent,all,rbf,0.01,2,1
8983,28,0.5506006583117772,0.19538771028092575,No Imputation,0.7,most_frequent,wk_10,poly,100,2,10
1307,29,0.5510030456542586,0.22123097602178127,KNN Imputation,0.95,median,wk_10,poly,0.1,6,1000
2816,30,0.551162837170463,0.22671207133963675,No Imputation,0.7,median,all,rbf,0.01,2,1000
7248,31,0.551680818123397,0.17449670016629454,KNN Imputation,0.9,most_frequent,all,rbf,0.01,3,1
4093,32,0.5521039753121568,0.23606130439612094,No Imputation,0.85,most_frequent,all,rbf,0.01,4,1000
4757,33,0.5527561084714347,0.24982021042442767,KNN Imputation,0.7,median,all,rbf,0.01,3,1000
7734,34,0.5530042644401478,0.2080602885550942,No Imputation,0.95,most_frequent,all,rbf,0.01,2,100
1238,35,0.5531905915342581,0.18583348712627004,No Imputation,0.95,most_frequent,all,rbf,0.01,4,1000
6635,36,0.5531968211639086,0.2740377176928237,No Imputation,0.7,most_frequent,all,rbf,0.01,5,100
4426,37,0.5540266938196077,0.19569024504524218,No Imputation,0.8,mean,all,rbf,0.01,4,1
1617,38,0.5543639805457307,0.13986024793203122,No Imputation,0.6,most_frequent,all,rbf,0.01,4,1
6966,39,0.5553440195069184,0.25248241056816195,No Imputation,0.8,mean,all,rbf,0.01,6,10
3051,40,0.5557205913220707,0.1849545800434933,KNN Imputation,0.8,mean,all,rbf,0.01,5,1
683,41,0.5557431757202754,0.10461162122124851,No Imputation,0.95,most_frequent,wk_10,poly,0.1,5,0.01
2244,42,0.5558862699984004,0.16918528903390898,KNN Imputation,0.85,mean,all,rbf,0.01,6,1
5127,43,0.5567222143437383,0.23285311333536485,KNN Imputation,0.7,most_frequent,all,rbf,0.01,6,1
1889,44,0.5584279380105628,0.26640827278505963,No Imputation,0.7,mean,all,rbf,0.01,2,10
2259,45,0.5586887678523181,0.18675190001186287,KNN Imputation,0.95,most_frequent,all,rbf,0.01,3,10
1614,46,0.5588675298283095,0.3170143242809489,KNN Imputation,0.7,most_frequent,all,rbf,0.01,4,1
5815,47,0.5592532865897288,0.21840333737638276,KNN Imputation,0.85,mean,all,rbf,0.01,4,1
3685,48,0.5604107168962531,0.21987139145188012,No Imputation,0.7,mean,all,rbf,0.01,4,1000
8603,49,0.5605517677709041,0.18026025247308214,KNN Imputation,0.6,most_frequent,all,rbf,0.01,5,1
4905,50,0.5610681048698348,0.2190578072650598,KNN Imputation,0.9,most_frequent,all,rbf,0.01,3,100
2948,51,0.561525508453774,0.2023476990434983,KNN Imputation,0.95,most_frequent,all,rbf,0.01,6,100
2257,52,0.5618467847913177,0.16841346723898729,KNN Imputation,0.9,median,wk_10,poly,10,4,0.1
6004,53,0.5626874101077536,0.24677633940128654,No Imputation,0.7,mean,all,rbf,0.01,6,10
9596,54,0.5631784378842579,0.1861625588494716,No Imputation,0.8,median,all,rbf,0.01,5,1
3284,55,0.5637203628134702,0.2241974378009596,KNN Imputation,0.8,mean,all,rbf,0.01,6,1
9951,56,0.5639005961112608,0.14832517826214853,KNN Imputation,0.85,most_frequent,all,rbf,0.01,2,1
4665,57,0.5647422891590017,0.12486600603866185,No Imputation,0.95,most_frequent,all,rbf,0.01,6,1
6141,58,0.5649967501002969,0.1296615391735846,KNN Imputation,0.9,median,wk_10,poly,100,5,0.01
7810,59,0.5652873848988968,0.14978531634600165,KNN Imputation,0.9,most_frequent,all,rbf,0.01,5,1
2432,60,0.5653158383564267,0.20836635731515532,KNN Imputation,0.8,median,all,rbf,0.01,2,1
4139,61,0.5654337659645363,0.19251792381805563,KNN Imputation,0.6,most_frequent,all,rbf,0.01,5,10
2895,62,0.5675259167514609,0.25116183733168573,KNN Imputation,0.7,median,all,rbf,0.01,4,1000
2681,63,0.5678468475966336,0.21276481961408764,No Imputation,0.7,most_frequent,all,rbf,0.01,4,1
8508,64,0.5681681167331072,0.10588752328976941,No Imputation,0.95,most_frequent,all,rbf,0.01,5,1
3781,65,0.56878917537842,0.18134043180695333,KNN Imputation,0.95,most_frequent,all,rbf,0.01,5,1000
3848,66,0.5689910210184357,0.1297804810371447,No Imputation,0.9,most_frequent,all,rbf,0.01,4,1
3314,67,0.569864629355223,0.2858298393259261,No Imputation,0.85,most_frequent,all,rbf,0.01,2,1000
4464,68,0.5700562271565464,0.22966890776995952,KNN Imputation,0.9,most_frequent,all,rbf,0.01,3,1000
6347,69,0.570319397724058,0.19845946970367398,No Imputation,0.95,most_frequent,all,rbf,0.01,3,1000
9774,70,0.5712162966113611,0.17313475366171296,KNN Imputation,0.8,median,wk_10,poly,100,5,0.01
7616,71,0.5719725268037288,0.20060797772638536,No Imputation,0.95,most_frequent,all,rbf,0.01,6,1000
2695,72,0.5723503678265898,0.3071057978882799,No Imputation,0.7,median,all,rbf,0.01,6,100
6193,73,0.5727733998018267,0.23047488661809326,KNN Imputation,0.7,mean,all,rbf,0.01,3,10
7020,74,0.5729653678063789,0.20254995127099099,No Imputation,0.7,mean,all,rbf,0.01,6,100
7228,75,0.5734391792325965,0.22760980643942544,No Imputation,0.8,mean,all,rbf,0.01,6,1
7491,76,0.5737284675012204,0.23476482309713265,No Imputation,0.7,median,all,rbf,0.01,3,10
2621,77,0.5743582085844732,0.15555503337615534,No Imputation,0.7,most_frequent,wk_10,poly,100,2,100
9252,78,0.5743876815191686,0.20300353190565265,KNN Imputation,0.8,median,all,rbf,0.01,4,0.1
9064,79,0.5746885924510916,0.20593704663299933,No Imputation,0.9,most_frequent,all,rbf,0.01,6,10
2822,80,0.5747362606916482,0.20022419005852948,No Imputation,0.9,most_frequent,all,rbf,0.01,4,10
5364,81,0.5747372053462796,0.22982318866641102,No Imputation,0.9,most_frequent,all,rbf,0.01,4,1000
