,rank_test_score,mean_test_score,std_test_score,param_pca__n_components,param_imputer__strategy,param_df_selector__attribute_names,param_SVM__kernel,param_SVM__gamma,param_SVM__degree,param_SVM__C
5742,1,-0.5002491118287242,0.1870920575658016,0.6,mean,all,rbf,0.01,5,1
9019,2,-0.503513522242465,0.19477590425624433,0.7,mean,all,rbf,0.01,5,1
5519,3,-0.5145497463066876,0.15343570303146464,0.7,median,all,rbf,0.01,2,1
828,4,-0.5241225393723968,0.18412116457420497,0.6,median,all,rbf,0.01,5,1
1523,5,-0.5301991246345026,0.14943174508294724,0.6,mean,all,rbf,0.01,4,1
3863,6,-0.5323308267039641,0.2142517126023217,0.95,median,wk_10,poly,1,4,1
2422,7,-0.5391280586920913,0.09409068657583382,0.9,most_frequent,wk_10,poly,0.1,5,0.01
3601,8,-0.5447324233248461,0.257019387176135,0.7,median,all,rbf,0.01,2,1000
1360,9,-0.5465939993253429,0.2684616305014484,0.7,median,all,rbf,0.01,2,10
9615,10,-0.5476043870557941,0.10450723912772189,0.95,most_frequent,wk_10,poly,0.01,5,1000
635,11,-0.5481351898783479,0.2004219471686874,0.7,median,all,rbf,0.01,3,0.01
1307,12,-0.5510030456542586,0.22123097602178127,0.95,median,wk_10,poly,0.1,6,1000
7248,13,-0.551680818123397,0.17449670016629454,0.9,most_frequent,all,rbf,0.01,3,1
4757,14,-0.5527561084714347,0.24982021042442767,0.7,median,all,rbf,0.01,3,1000
3051,15,-0.5557205913220707,0.1849545800434933,0.8,mean,all,rbf,0.01,5,1
2244,16,-0.5558862699984004,0.16918528903390898,0.85,mean,all,rbf,0.01,6,1
5127,17,-0.5567222143437383,0.23285311333536485,0.7,most_frequent,all,rbf,0.01,6,1
2259,18,-0.5586887678523181,0.18675190001186287,0.95,most_frequent,all,rbf,0.01,3,10
1614,19,-0.5588675298283095,0.3170143242809489,0.7,most_frequent,all,rbf,0.01,4,1
5815,20,-0.5592532865897288,0.21840333737638276,0.85,mean,all,rbf,0.01,4,1
8603,21,-0.5605517677709041,0.18026025247308214,0.6,most_frequent,all,rbf,0.01,5,1
4905,22,-0.5610681048698348,0.2190578072650598,0.9,most_frequent,all,rbf,0.01,3,100
2948,23,-0.561525508453774,0.2023476990434983,0.95,most_frequent,all,rbf,0.01,6,100
2257,24,-0.5618467847913177,0.16841346723898729,0.9,median,wk_10,poly,10,4,0.1
3284,25,-0.5637203628134702,0.2241974378009596,0.8,mean,all,rbf,0.01,6,1
9951,26,-0.5639005961112608,0.14832517826214853,0.85,most_frequent,all,rbf,0.01,2,1
6141,27,-0.5649967501002969,0.1296615391735846,0.9,median,wk_10,poly,100,5,0.01
7810,28,-0.5652873848988968,0.14978531634600165,0.9,most_frequent,all,rbf,0.01,5,1
2432,29,-0.5653158383564267,0.20836635731515532,0.8,median,all,rbf,0.01,2,1
4139,30,-0.5654337659645363,0.19251792381805563,0.6,most_frequent,all,rbf,0.01,5,10
2895,31,-0.5675259167514609,0.25116183733168573,0.7,median,all,rbf,0.01,4,1000
3781,32,-0.56878917537842,0.18134043180695333,0.95,most_frequent,all,rbf,0.01,5,1000
4464,33,-0.5700562271565464,0.22966890776995952,0.9,most_frequent,all,rbf,0.01,3,1000
9774,34,-0.5712162966113611,0.17313475366171296,0.8,median,wk_10,poly,100,5,0.01
