,rank_test_score,mean_test_score,std_test_score,param_pca__n_components,param_imputer__strategy,param_df_selector__attribute_names,param_SVM__kernel,param_SVM__gamma,param_SVM__degree,param_SVM__C
404,1,-44.9785112147734,25.253750419031583,0.6,median,wk_10,rbf,0.01,3,10
9206,1,-44.9785112147734,25.253750419031583,0.6,median,wk_10,rbf,0.01,6,10
5078,1,-44.9785112147734,25.253750419031583,0.6,median,wk_10,rbf,0.01,5,10
6643,4,-48.7790948726262,26.644124087845913,0.6,mean,wk_10,rbf,0.01,6,10
8571,4,-48.7790948726262,26.644124087845913,0.6,mean,wk_10,rbf,0.01,3,10
8342,4,-48.7790948726262,26.644124087845913,0.6,mean,wk_10,rbf,0.01,4,10
6831,7,-49.51926744763569,29.794311449545802,0.85,most_frequent,wk_10,rbf,0.1,3,100
1334,7,-49.51926744763569,29.794311449545802,0.85,most_frequent,wk_10,rbf,0.1,4,100
5734,9,-49.51926744763585,29.79431144954591,0.85,most_frequent,wk_10,rbf,0.1,3,1000
940,10,-49.773969451796816,36.99395415254176,0.7,most_frequent,wk_10,rbf,0.01,2,10
4838,10,-49.773969451796816,36.99395415254176,0.7,most_frequent,wk_10,rbf,0.01,6,10
2213,10,-49.773969451796816,36.99395415254176,0.7,most_frequent,wk_10,rbf,0.01,3,10
5016,10,-49.773969451796816,36.99395415254176,0.7,most_frequent,wk_10,rbf,0.01,4,10
1690,14,-51.06376211019349,31.292324001686666,0.8,median,wk_10,rbf,0.01,6,10
468,14,-51.06376211019349,31.292324001686666,0.8,median,wk_10,rbf,0.01,2,10
1186,16,-51.37722792008435,27.399085823972392,0.8,most_frequent,wk_10,rbf,0.01,6,100
3880,16,-51.37722792008435,27.399085823972392,0.8,most_frequent,wk_10,rbf,0.01,2,100
2836,18,-51.65303745654215,27.99658113989192,0.6,median,wk_10,rbf,0.01,6,100
7383,18,-51.65303745654215,27.99658113989192,0.6,median,wk_10,rbf,0.01,2,100
7893,20,-52.521591343707755,34.9072793537309,0.8,most_frequent,wk_10,rbf,0.01,4,10
2706,20,-52.521591343707755,34.9072793537309,0.8,most_frequent,wk_10,rbf,0.01,6,10
5895,22,-53.528333414665916,27.84049201242766,0.9,most_frequent,wk_10,rbf,0.1,2,100
6574,22,-53.528333414665916,27.84049201242766,0.9,most_frequent,wk_10,rbf,0.1,6,100
8891,24,-53.52833341466602,27.8404920124277,0.9,most_frequent,wk_10,rbf,0.1,3,1000
7787,24,-53.52833341466602,27.8404920124277,0.9,most_frequent,wk_10,rbf,0.1,6,1000
2160,24,-53.52833341466602,27.8404920124277,0.9,most_frequent,wk_10,rbf,0.1,4,1000
9837,24,-53.52833341466602,27.8404920124277,0.9,most_frequent,wk_10,rbf,0.1,5,1000
4006,28,-53.83459456450529,32.74375616058023,0.95,most_frequent,wk_10,rbf,0.1,6,100
9205,28,-53.83459456450529,32.74375616058023,0.95,most_frequent,wk_10,rbf,0.1,2,100
9891,30,-54.42410860171282,35.6941591018847,0.6,most_frequent,wk_9_10,rbf,0.1,3,1000
6347,30,-54.42410860171282,35.6941591018847,0.6,most_frequent,wk_9_10,rbf,0.1,2,1000
2604,30,-54.42410860171282,35.6941591018847,0.6,most_frequent,wk_9_10,rbf,0.1,4,100
8678,33,-55.17450921148672,31.22082989451937,0.85,mean,wk_10,rbf,0.1,3,1000
3436,33,-55.17450921148672,31.22082989451937,0.85,mean,wk_10,rbf,0.1,5,1000
2250,33,-55.17450921148672,31.22082989451937,0.85,mean,wk_10,rbf,0.1,6,1000
3147,33,-55.17450921148672,31.22082989451937,0.85,mean,wk_10,rbf,0.1,4,1000
4075,37,-55.174509211486836,31.22082989451965,0.85,mean,wk_10,rbf,0.1,5,100
7085,37,-55.174509211486836,31.22082989451965,0.85,mean,wk_10,rbf,0.1,6,100
5485,37,-55.174509211486836,31.22082989451965,0.85,mean,wk_10,rbf,0.1,2,100
7329,40,-55.19422735866209,35.790382842193154,0.7,most_frequent,wk_10,rbf,0.01,5,100
9605,40,-55.19422735866209,35.790382842193154,0.7,most_frequent,wk_10,rbf,0.01,6,100
4894,42,-55.279028559364384,33.524186462721815,0.85,most_frequent,wk_10,rbf,0.1,3,10
2960,42,-55.279028559364384,33.524186462721815,0.85,most_frequent,wk_10,rbf,0.1,2,10
1199,42,-55.279028559364384,33.524186462721815,0.85,most_frequent,wk_10,rbf,0.1,4,10
5196,45,-55.67373996830774,31.8801105789846,0.8,mean,wk_10,rbf,0.1,2,100
5259,46,-55.67373996830817,31.88011057898468,0.8,mean,wk_10,rbf,0.1,4,1000
423,46,-55.67373996830817,31.88011057898468,0.8,mean,wk_10,rbf,0.1,5,1000
8376,48,-55.70040581128895,32.14320400424601,0.85,median,wk_10,rbf,0.1,6,10
142,48,-55.70040581128895,32.14320400424601,0.85,median,wk_10,rbf,0.1,4,10
9499,48,-55.70040581128895,32.14320400424601,0.85,median,wk_10,rbf,0.1,2,10
5658,51,-55.83246606267081,34.15669755502165,0.95,most_frequent,wk_10,rbf,0.01,3,100
1811,51,-55.83246606267081,34.15669755502165,0.95,most_frequent,wk_10,rbf,0.01,5,100
2078,51,-55.83246606267081,34.15669755502165,0.95,most_frequent,wk_10,rbf,0.01,2,100
9166,51,-55.83246606267081,34.15669755502165,0.95,most_frequent,wk_10,rbf,0.01,6,100
6231,55,-56.045670871221944,31.674208046280057,0.8,mean,wk_10,rbf,0.01,2,10
8253,56,-56.114865734849914,33.15433095681889,0.85,mean,wk_10,rbf,0.1,2,10
9521,56,-56.114865734849914,33.15433095681889,0.85,mean,wk_10,rbf,0.1,6,10
4503,58,-56.292526535648975,41.694521179917636,0.6,most_frequent,wk_10,rbf,0.1,2,10
7223,59,-56.47742089465656,30.096503572607645,0.85,median,wk_10,rbf,0.1,4,100
689,59,-56.47742089465656,30.096503572607645,0.85,median,wk_10,rbf,0.1,5,100
6119,59,-56.47742089465656,30.096503572607645,0.85,median,wk_10,rbf,0.1,6,100
2133,62,-56.47742089465669,30.096503572607645,0.85,median,wk_10,rbf,0.1,4,1000
3943,62,-56.47742089465669,30.096503572607645,0.85,median,wk_10,rbf,0.1,2,1000
2279,62,-56.47742089465669,30.096503572607645,0.85,median,wk_10,rbf,0.1,5,1000
9043,65,-56.49507032007072,33.41035257436986,0.95,median,wk_10,rbf,0.1,4,1000
1295,65,-56.49507032007072,33.41035257436986,0.95,median,wk_10,rbf,0.1,6,1000
4555,65,-56.49507032007072,33.41035257436986,0.95,median,wk_10,rbf,0.1,5,1000
7173,68,-56.499796627004436,32.80614383329094,0.95,most_frequent,wk_10,rbf,0.1,6,10
5724,68,-56.499796627004436,32.80614383329094,0.95,most_frequent,wk_10,rbf,0.1,5,10
279,70,-56.59434065496289,35.64241490961468,0.85,most_frequent,wk_10,rbf,0.01,4,10
9813,71,-57.09028155115652,31.951721581280196,0.9,median,wk_10,rbf,0.1,2,1000
90,71,-57.09028155115652,31.951721581280196,0.9,median,wk_10,rbf,0.1,3,1000
1207,73,-57.095820065420455,32.65180875925623,0.95,most_frequent,wk_10,rbf,0.01,4,10
5376,73,-57.095820065420455,32.65180875925623,0.95,most_frequent,wk_10,rbf,0.01,3,10
3208,73,-57.095820065420455,32.65180875925623,0.95,most_frequent,wk_10,rbf,0.01,2,10
5091,73,-57.095820065420455,32.65180875925623,0.95,most_frequent,wk_10,rbf,0.01,5,10
1489,77,-57.308444221490824,37.39544163402789,0.8,median,wk_10,rbf,0.01,4,100
2044,77,-57.308444221490824,37.39544163402789,0.8,median,wk_10,rbf,0.01,5,100
3519,77,-57.308444221490824,37.39544163402789,0.8,median,wk_10,rbf,0.01,2,100
2365,80,-57.357680846236576,33.128589218197185,0.9,mean,wk_10,rbf,0.1,4,1000
9635,81,-57.35768084623707,33.12858921819727,0.9,mean,wk_10,rbf,0.1,3,100
5784,82,-57.40613232141315,35.014445690745696,0.8,most_frequent,wk_10,rbf,0.1,5,10
7376,83,-57.40637407009471,33.13684683773803,0.7,mean,wk_10,rbf,0.01,6,10
8903,83,-57.40637407009471,33.13684683773803,0.7,mean,wk_10,rbf,0.01,4,10
7628,85,-57.496287910740705,36.21039562903376,0.95,median,wk_10,rbf,0.1,4,10
9688,85,-57.496287910740705,36.21039562903376,0.95,median,wk_10,rbf,0.1,3,10
494,87,-57.597871987592974,34.371757653338236,0.9,median,wk_10,rbf,0.1,3,10
9588,87,-57.597871987592974,34.371757653338236,0.9,median,wk_10,rbf,0.1,5,10
6474,89,-58.04821910978418,35.03168021156551,0.9,mean,wk_10,rbf,0.1,5,10
