,Rank,CV score (mean),CV score (standard deviation),Target imputation,PCA prop. var.,Imputer strategy,Feature subset,SVM kernel,SVM gamma,SVM degree,SVM C
1479,1,44.9785112147734,25.253750419031583,No Imputation,0.6,median,wk_10,rbf,0.01,2,10
404,2,44.9785112147734,25.253750419031583,KNN Imputation,0.6,median,wk_10,rbf,0.01,3,10
8210,3,44.9785112147734,25.253750419031583,No Imputation,0.6,median,wk_10,rbf,0.01,5,10
5078,4,44.9785112147734,25.253750419031583,KNN Imputation,0.6,median,wk_10,rbf,0.01,5,10
9206,5,44.9785112147734,25.253750419031583,KNN Imputation,0.6,median,wk_10,rbf,0.01,6,10
4111,6,44.9785112147734,25.253750419031583,No Imputation,0.6,median,wk_10,rbf,0.01,6,10
5268,7,47.79290158857525,23.77890817408197,No Imputation,0.6,mean,wk_10,rbf,0.01,6,100
1394,8,47.79290158857525,23.77890817408197,No Imputation,0.6,mean,wk_10,rbf,0.01,5,100
3587,9,47.79290158857525,23.77890817408197,No Imputation,0.6,mean,wk_10,rbf,0.01,3,100
7464,10,47.79290158857525,23.77890817408197,No Imputation,0.6,mean,wk_10,rbf,0.01,4,100
6689,11,48.7790948726262,26.644124087845913,No Imputation,0.6,mean,wk_10,rbf,0.01,2,10
8342,12,48.7790948726262,26.644124087845913,KNN Imputation,0.6,mean,wk_10,rbf,0.01,4,10
6643,13,48.7790948726262,26.644124087845913,KNN Imputation,0.6,mean,wk_10,rbf,0.01,6,10
8562,14,48.7790948726262,26.644124087845913,No Imputation,0.6,mean,wk_10,rbf,0.01,4,10
5000,15,48.7790948726262,26.644124087845913,No Imputation,0.6,mean,wk_10,rbf,0.01,5,10
8571,16,48.7790948726262,26.644124087845913,KNN Imputation,0.6,mean,wk_10,rbf,0.01,3,10
1334,17,49.51926744763569,29.794311449545802,KNN Imputation,0.85,most_frequent,wk_10,rbf,0.1,4,100
6831,18,49.51926744763569,29.794311449545802,KNN Imputation,0.85,most_frequent,wk_10,rbf,0.1,3,100
5734,19,49.51926744763585,29.79431144954591,KNN Imputation,0.85,most_frequent,wk_10,rbf,0.1,3,1000
3566,20,49.51926744763585,29.79431144954591,No Imputation,0.85,most_frequent,wk_10,rbf,0.1,3,1000
353,21,49.773969451796816,36.99395415254176,No Imputation,0.7,most_frequent,wk_10,rbf,0.01,3,10
940,22,49.773969451796816,36.99395415254176,KNN Imputation,0.7,most_frequent,wk_10,rbf,0.01,2,10
4838,23,49.773969451796816,36.99395415254176,KNN Imputation,0.7,most_frequent,wk_10,rbf,0.01,6,10
5016,24,49.773969451796816,36.99395415254176,KNN Imputation,0.7,most_frequent,wk_10,rbf,0.01,4,10
2213,25,49.773969451796816,36.99395415254176,KNN Imputation,0.7,most_frequent,wk_10,rbf,0.01,3,10
468,26,51.06376211019349,31.292324001686666,KNN Imputation,0.8,median,wk_10,rbf,0.01,2,10
8442,27,51.06376211019349,31.292324001686666,No Imputation,0.8,median,wk_10,rbf,0.01,2,10
1690,28,51.06376211019349,31.292324001686666,KNN Imputation,0.8,median,wk_10,rbf,0.01,6,10
3452,29,51.37722792008435,27.399085823972392,No Imputation,0.8,most_frequent,wk_10,rbf,0.01,6,100
1186,30,51.37722792008435,27.399085823972392,KNN Imputation,0.8,most_frequent,wk_10,rbf,0.01,6,100
3880,31,51.37722792008435,27.399085823972392,KNN Imputation,0.8,most_frequent,wk_10,rbf,0.01,2,100
5981,32,51.37722792008435,27.399085823972392,No Imputation,0.8,most_frequent,wk_10,rbf,0.01,3,100
8065,33,51.37722792008435,27.399085823972392,No Imputation,0.8,most_frequent,wk_10,rbf,0.01,5,100
2836,34,51.65303745654215,27.99658113989192,KNN Imputation,0.6,median,wk_10,rbf,0.01,6,100
8393,35,51.65303745654215,27.99658113989192,No Imputation,0.6,median,wk_10,rbf,0.01,2,100
7383,36,51.65303745654215,27.99658113989192,KNN Imputation,0.6,median,wk_10,rbf,0.01,2,100
2316,37,52.521591343707755,34.9072793537309,No Imputation,0.8,most_frequent,wk_10,rbf,0.01,3,10
