,rank_test_score,mean_test_score,std_test_score,param_pca__n_components,param_imputer__strategy,param_df_selector__attribute_names,param_SVM__kernel,param_SVM__gamma,param_SVM__degree,param_SVM__C
2878,1,-0.4587806094609088,0.21121594789362838,0.7,mean,all,rbf,0.01,3,1
7969,2,-0.4751141607602478,0.22967152931274654,0.6,mean,all,rbf,0.01,6,1
8873,3,-0.47695874129928695,0.2225388029216845,0.6,median,all,rbf,0.01,4,1
5795,4,-0.4941189606512517,0.19577821353241384,0.7,mean,all,rbf,0.01,2,1
1326,5,-0.49894906682824447,0.1914686759546815,0.6,median,all,rbf,0.01,5,1
9830,6,-0.5046520638051706,0.16446636597422692,0.7,mean,all,rbf,0.01,5,1
3008,7,-0.5048621111132101,0.19526680976072266,0.6,mean,all,rbf,0.01,4,1
5847,8,-0.5268041511092741,0.1718232590420756,0.6,median,all,rbf,0.01,2,1
2181,9,-0.5314887364504541,0.20968387506639483,0.8,mean,all,rbf,0.01,5,1
2330,10,-0.5368821875014262,0.2268466455213727,0.8,median,all,rbf,0.01,3,1
3018,11,-0.5429013187663829,0.16377495772197098,0.95,most_frequent,all,rbf,0.01,5,1000
9235,12,-0.5431333601117071,0.22733358534963705,0.85,median,all,rbf,0.01,4,1
2198,13,-0.5473220841925472,0.18226955773457335,0.85,most_frequent,all,rbf,0.01,3,1
1294,14,-0.5482863290913819,0.20929339280821463,0.8,median,all,rbf,0.01,6,1
6196,15,-0.5491018376993393,0.15342777465140364,0.85,most_frequent,all,rbf,0.01,5,1
1667,16,-0.5495499715489686,0.16831190195223186,0.6,most_frequent,all,rbf,0.01,2,1
8983,17,-0.5506006583117772,0.19538771028092575,0.7,most_frequent,wk_10,poly,100,2,10
2816,18,-0.551162837170463,0.22671207133963675,0.7,median,all,rbf,0.01,2,1000
4093,19,-0.5521039753121568,0.23606130439612094,0.85,most_frequent,all,rbf,0.01,4,1000
7734,20,-0.5530042644401478,0.2080602885550942,0.95,most_frequent,all,rbf,0.01,2,100
1238,21,-0.5531905915342581,0.18583348712627004,0.95,most_frequent,all,rbf,0.01,4,1000
6635,22,-0.5531968211639086,0.2740377176928237,0.7,most_frequent,all,rbf,0.01,5,100
4426,23,-0.5540266938196077,0.19569024504524218,0.8,mean,all,rbf,0.01,4,1
1617,24,-0.5543639805457307,0.13986024793203122,0.6,most_frequent,all,rbf,0.01,4,1
6966,25,-0.5553440195069184,0.25248241056816195,0.8,mean,all,rbf,0.01,6,10
683,26,-0.5557431757202754,0.10461162122124851,0.95,most_frequent,wk_10,poly,0.1,5,0.01
1889,27,-0.5584279380105628,0.26640827278505963,0.7,mean,all,rbf,0.01,2,10
3685,28,-0.5604107168962531,0.21987139145188012,0.7,mean,all,rbf,0.01,4,1000
6004,29,-0.5626874101077536,0.24677633940128654,0.7,mean,all,rbf,0.01,6,10
9596,30,-0.5631784378842579,0.1861625588494716,0.8,median,all,rbf,0.01,5,1
4665,31,-0.5647422891590017,0.12486600603866185,0.95,most_frequent,all,rbf,0.01,6,1
2681,32,-0.5678468475966336,0.21276481961408764,0.7,most_frequent,all,rbf,0.01,4,1
8508,33,-0.5681681167331072,0.10588752328976941,0.95,most_frequent,all,rbf,0.01,5,1
3848,34,-0.5689910210184357,0.1297804810371447,0.9,most_frequent,all,rbf,0.01,4,1
3314,35,-0.569864629355223,0.2858298393259261,0.85,most_frequent,all,rbf,0.01,2,1000
6347,36,-0.570319397724058,0.19845946970367398,0.95,most_frequent,all,rbf,0.01,3,1000
7616,37,-0.5719725268037288,0.20060797772638536,0.95,most_frequent,all,rbf,0.01,6,1000
2695,38,-0.5723503678265898,0.3071057978882799,0.7,median,all,rbf,0.01,6,100
7020,39,-0.5729653678063789,0.20254995127099099,0.7,mean,all,rbf,0.01,6,100
7228,40,-0.5734391792325965,0.22760980643942544,0.8,mean,all,rbf,0.01,6,1
7491,41,-0.5737284675012204,0.23476482309713265,0.7,median,all,rbf,0.01,3,10
2621,42,-0.5743582085844732,0.15555503337615534,0.7,most_frequent,wk_10,poly,100,2,100
9064,43,-0.5746885924510916,0.20593704663299933,0.9,most_frequent,all,rbf,0.01,6,10
2822,44,-0.5747362606916482,0.20022419005852948,0.9,most_frequent,all,rbf,0.01,4,10
5364,45,-0.5747372053462796,0.22982318866641102,0.9,most_frequent,all,rbf,0.01,4,1000
7288,46,-0.5748938224642848,0.11906286773734659,0.95,most_frequent,all,rbf,0.01,3,1
3765,47,-0.5751446829020389,0.19036794458520728,0.85,median,all,rbf,0.01,2,1
1736,48,-0.5764282150832079,0.10240936002178765,0.85,most_frequent,wk_10,poly,0.01,5,1000
5958,49,-0.5775041537767664,0.2424791912694014,0.85,most_frequent,all,rbf,0.01,5,100
7845,50,-0.5776657182169788,0.24279120983443495,0.6,mean,all,rbf,0.01,2,1000
2635,51,-0.5777737471150848,0.09999783541464397,0.9,most_frequent,wk_10,poly,0.01,5,1000
4652,52,-0.5780907964877489,0.2669446198099485,0.6,median,all,rbf,0.01,5,10
4493,53,-0.5783588823562651,0.1878457622068322,0.85,mean,all,rbf,0.01,3,1
529,54,-0.5794037347306078,0.22428245894627766,0.85,most_frequent,all,rbf,0.01,4,0.1
2283,55,-0.580307951246868,0.19974884623849407,0.85,median,all,rbf,0.01,3,1
74,56,-0.5807255409048225,0.16031759797704867,0.85,mean,wk_10,poly,100,6,1000
9103,57,-0.5828874010742437,0.26849754940075554,0.85,most_frequent,all,rbf,0.01,4,10
2061,58,-0.5829629029675599,0.13713421822590185,0.95,mean,wk_10,poly,0.01,6,10
3381,59,-0.5833509524576838,0.14985856213911844,0.95,most_frequent,all,rbf,0.01,6,10
6535,60,-0.5840262818390385,0.15904059884948618,0.85,mean,all,rbf,0.01,2,1
3051,61,-0.5843628174995535,0.18662987464060796,0.7,most_frequent,all,rbf,0.01,4,100
8071,62,-0.5847372960526844,0.13150454934809,0.85,most_frequent,wk_10,poly,1,5,1
4814,63,-0.5851084432041735,0.2824288880347575,0.7,most_frequent,all,rbf,0.01,5,1000
2581,64,-0.5863018310597485,0.06210472765972188,0.8,most_frequent,wk_9_10,poly,0.01,6,1000
8550,65,-0.5863949378936566,0.2902012644252129,0.85,most_frequent,all,rbf,0.01,4,100
348,66,-0.5879645133544935,0.19439090678358922,0.95,most_frequent,all,rbf,0.01,5,10
