,rank_test_score,mean_test_score,std_test_score,param_pca__n_components,param_imputer__strategy,param_df_selector__attribute_names,param_SVM__kernel,param_SVM__gamma,param_SVM__degree,param_SVM__C
1479,1,-44.9785112147734,25.253750419031583,0.6,median,wk_10,rbf,0.01,2,10
8210,1,-44.9785112147734,25.253750419031583,0.6,median,wk_10,rbf,0.01,5,10
4111,1,-44.9785112147734,25.253750419031583,0.6,median,wk_10,rbf,0.01,6,10
7464,4,-47.79290158857525,23.77890817408197,0.6,mean,wk_10,rbf,0.01,4,100
1394,4,-47.79290158857525,23.77890817408197,0.6,mean,wk_10,rbf,0.01,5,100
5268,4,-47.79290158857525,23.77890817408197,0.6,mean,wk_10,rbf,0.01,6,100
3587,4,-47.79290158857525,23.77890817408197,0.6,mean,wk_10,rbf,0.01,3,100
5000,8,-48.7790948726262,26.644124087845913,0.6,mean,wk_10,rbf,0.01,5,10
6689,8,-48.7790948726262,26.644124087845913,0.6,mean,wk_10,rbf,0.01,2,10
8562,8,-48.7790948726262,26.644124087845913,0.6,mean,wk_10,rbf,0.01,4,10
3566,11,-49.51926744763585,29.79431144954591,0.85,most_frequent,wk_10,rbf,0.1,3,1000
353,12,-49.773969451796816,36.99395415254176,0.7,most_frequent,wk_10,rbf,0.01,3,10
8442,13,-51.06376211019349,31.292324001686666,0.8,median,wk_10,rbf,0.01,2,10
8065,14,-51.37722792008435,27.399085823972392,0.8,most_frequent,wk_10,rbf,0.01,5,100
3452,14,-51.37722792008435,27.399085823972392,0.8,most_frequent,wk_10,rbf,0.01,6,100
5981,14,-51.37722792008435,27.399085823972392,0.8,most_frequent,wk_10,rbf,0.01,3,100
8393,17,-51.65303745654215,27.99658113989192,0.6,median,wk_10,rbf,0.01,2,100
4312,18,-52.521591343707755,34.9072793537309,0.8,most_frequent,wk_10,rbf,0.01,2,10
2316,18,-52.521591343707755,34.9072793537309,0.8,most_frequent,wk_10,rbf,0.01,3,10
1432,20,-53.40933422678639,30.744539280074317,0.7,median,wk_10,rbf,0.01,5,10
5949,20,-53.40933422678639,30.744539280074317,0.7,median,wk_10,rbf,0.01,3,10
4100,20,-53.40933422678639,30.744539280074317,0.7,median,wk_10,rbf,0.01,2,10
9887,23,-53.528333414665916,27.84049201242766,0.9,most_frequent,wk_10,rbf,0.1,2,100
7547,23,-53.528333414665916,27.84049201242766,0.9,most_frequent,wk_10,rbf,0.1,6,100
9115,23,-53.528333414665916,27.84049201242766,0.9,most_frequent,wk_10,rbf,0.1,5,100
1097,26,-53.52833341466602,27.8404920124277,0.9,most_frequent,wk_10,rbf,0.1,5,1000
5564,26,-53.52833341466602,27.8404920124277,0.9,most_frequent,wk_10,rbf,0.1,3,1000
9603,28,-53.83459456450529,32.74375616058023,0.95,most_frequent,wk_10,rbf,0.1,4,100
4079,28,-53.83459456450529,32.74375616058023,0.95,most_frequent,wk_10,rbf,0.1,6,100
4678,28,-53.83459456450529,32.74375616058023,0.95,most_frequent,wk_10,rbf,0.1,2,100
6574,31,-53.834594564505586,32.74375616058011,0.95,most_frequent,wk_10,rbf,0.1,2,1000
5444,32,-54.42410860171282,35.6941591018847,0.6,most_frequent,wk_9_10,rbf,0.1,5,100
5254,32,-54.42410860171282,35.6941591018847,0.6,most_frequent,wk_9_10,rbf,0.1,6,1000
9567,32,-54.42410860171282,35.6941591018847,0.6,most_frequent,wk_9_10,rbf,0.1,2,100
193,32,-54.42410860171282,35.6941591018847,0.6,most_frequent,wk_9_10,rbf,0.1,2,1000
8725,36,-55.17450921148672,31.22082989451937,0.85,mean,wk_10,rbf,0.1,4,1000
2794,36,-55.17450921148672,31.22082989451937,0.85,mean,wk_10,rbf,0.1,2,1000
117,38,-55.174509211486836,31.22082989451965,0.85,mean,wk_10,rbf,0.1,6,100
8673,38,-55.174509211486836,31.22082989451965,0.85,mean,wk_10,rbf,0.1,5,100
9617,38,-55.174509211486836,31.22082989451965,0.85,mean,wk_10,rbf,0.1,3,100
1214,38,-55.174509211486836,31.22082989451965,0.85,mean,wk_10,rbf,0.1,4,100
5258,38,-55.174509211486836,31.22082989451965,0.85,mean,wk_10,rbf,0.1,2,100
9581,43,-55.19422735866209,35.790382842193154,0.7,most_frequent,wk_10,rbf,0.01,3,100
6253,43,-55.19422735866209,35.790382842193154,0.7,most_frequent,wk_10,rbf,0.01,5,100
4804,45,-55.279028559364384,33.524186462721815,0.85,most_frequent,wk_10,rbf,0.1,2,10
7249,46,-55.67373996830774,31.8801105789846,0.8,mean,wk_10,rbf,0.1,4,100
9886,46,-55.67373996830774,31.8801105789846,0.8,mean,wk_10,rbf,0.1,5,100
1701,46,-55.67373996830774,31.8801105789846,0.8,mean,wk_10,rbf,0.1,6,100
1024,49,-55.67373996830817,31.88011057898468,0.8,mean,wk_10,rbf,0.1,5,1000
9553,49,-55.67373996830817,31.88011057898468,0.8,mean,wk_10,rbf,0.1,6,1000
6013,51,-55.70040581128895,32.14320400424601,0.85,median,wk_10,rbf,0.1,5,10
2009,51,-55.70040581128895,32.14320400424601,0.85,median,wk_10,rbf,0.1,3,10
2945,53,-55.83246606267081,34.15669755502165,0.95,most_frequent,wk_10,rbf,0.01,2,100
4036,53,-55.83246606267081,34.15669755502165,0.95,most_frequent,wk_10,rbf,0.01,4,100
3286,53,-55.83246606267081,34.15669755502165,0.95,most_frequent,wk_10,rbf,0.01,6,100
4825,56,-56.29013469994137,34.014739726926,0.8,mean,wk_10,rbf,0.1,6,10
7724,57,-56.292526535648975,41.694521179917636,0.6,most_frequent,wk_10,rbf,0.1,4,10
8920,57,-56.292526535648975,41.694521179917636,0.6,most_frequent,wk_10,rbf,0.1,6,10
5272,59,-56.47742089465656,30.096503572607645,0.85,median,wk_10,rbf,0.1,3,100
4321,59,-56.47742089465656,30.096503572607645,0.85,median,wk_10,rbf,0.1,4,100
7552,59,-56.47742089465656,30.096503572607645,0.85,median,wk_10,rbf,0.1,2,100
7863,59,-56.47742089465656,30.096503572607645,0.85,median,wk_10,rbf,0.1,5,100
3717,63,-56.47742089465669,30.096503572607645,0.85,median,wk_10,rbf,0.1,3,1000
4633,64,-56.49507032007072,33.41035257436986,0.95,median,wk_10,rbf,0.1,2,1000
7351,64,-56.49507032007072,33.41035257436986,0.95,median,wk_10,rbf,0.1,5,1000
6657,64,-56.49507032007072,33.41035257436986,0.95,median,wk_10,rbf,0.1,3,1000
148,67,-56.49507032007076,33.41035257437002,0.95,median,wk_10,rbf,0.1,4,100
4699,67,-56.49507032007076,33.41035257437002,0.95,median,wk_10,rbf,0.1,5,100
225,67,-56.49507032007076,33.41035257437002,0.95,median,wk_10,rbf,0.1,2,100
355,70,-56.499796627004436,32.80614383329094,0.95,most_frequent,wk_10,rbf,0.1,2,10
6921,70,-56.499796627004436,32.80614383329094,0.95,most_frequent,wk_10,rbf,0.1,5,10
311,70,-56.499796627004436,32.80614383329094,0.95,most_frequent,wk_10,rbf,0.1,3,10
4089,73,-56.59434065496289,35.64241490961468,0.85,most_frequent,wk_10,rbf,0.01,2,10
8473,74,-57.09028155115652,31.951721581280196,0.9,median,wk_10,rbf,0.1,3,1000
5761,75,-57.090281551156565,31.9517215812802,0.9,median,wk_10,rbf,0.1,5,100
515,75,-57.090281551156565,31.9517215812802,0.9,median,wk_10,rbf,0.1,6,100
3842,75,-57.090281551156565,31.9517215812802,0.9,median,wk_10,rbf,0.1,3,100
5863,78,-57.095820065420455,32.65180875925623,0.95,most_frequent,wk_10,rbf,0.01,3,10
5409,79,-57.308444221490824,37.39544163402789,0.8,median,wk_10,rbf,0.01,3,100
3360,80,-57.357680846236576,33.128589218197185,0.9,mean,wk_10,rbf,0.1,2,1000
9563,80,-57.357680846236576,33.128589218197185,0.9,mean,wk_10,rbf,0.1,3,1000
1308,82,-57.35768084623707,33.12858921819727,0.9,mean,wk_10,rbf,0.1,3,100
884,82,-57.35768084623707,33.12858921819727,0.9,mean,wk_10,rbf,0.1,4,100
9791,82,-57.35768084623707,33.12858921819727,0.9,mean,wk_10,rbf,0.1,5,100
4640,82,-57.35768084623707,33.12858921819727,0.9,mean,wk_10,rbf,0.1,6,100
6436,86,-57.40613232141315,35.014445690745696,0.8,most_frequent,wk_10,rbf,0.1,6,10
7669,86,-57.40613232141315,35.014445690745696,0.8,most_frequent,wk_10,rbf,0.1,4,10
2735,86,-57.40613232141315,35.014445690745696,0.8,most_frequent,wk_10,rbf,0.1,2,10
3578,89,-57.40637407009471,33.13684683773803,0.7,mean,wk_10,rbf,0.01,3,10
6854,90,-57.597871987592974,34.371757653338236,0.9,median,wk_10,rbf,0.1,4,10
2385,90,-57.597871987592974,34.371757653338236,0.9,median,wk_10,rbf,0.1,2,10
3467,90,-57.597871987592974,34.371757653338236,0.9,median,wk_10,rbf,0.1,3,10
5898,90,-57.597871987592974,34.371757653338236,0.9,median,wk_10,rbf,0.1,5,10
4358,90,-57.597871987592974,34.371757653338236,0.9,median,wk_10,rbf,0.1,6,10
8489,95,-57.890745405810456,35.32673246013651,0.95,mean,wk_10,rbf,0.1,6,1000
3690,96,-57.89074540581051,35.3267324601364,0.95,mean,wk_10,rbf,0.1,3,100
9168,97,-58.04821910978418,35.03168021156551,0.9,mean,wk_10,rbf,0.1,2,10
8118,98,-58.106896331478346,39.28991703082977,0.7,most_frequent,wk_10,rbf,0.1,4,10
5249,98,-58.106896331478346,39.28991703082977,0.7,most_frequent,wk_10,rbf,0.1,2,10
538,100,-58.22307209805861,31.80308190800447,0.8,median,wk_10,rbf,0.1,3,1000
9440,100,-58.22307209805861,31.80308190800447,0.8,median,wk_10,rbf,0.1,2,1000
2104,100,-58.22307209805861,31.80308190800447,0.8,median,wk_10,rbf,0.1,4,1000
120,103,-58.70193430311845,33.24821403753386,0.8,median,wk_10,rbf,0.1,2,10
8477,104,-58.82164745342933,54.386340292122476,0.6,most_frequent,wk_10,rbf,0.01,5,10
5549,104,-58.82164745342933,54.386340292122476,0.6,most_frequent,wk_10,rbf,0.01,4,10
5795,104,-58.82164745342933,54.386340292122476,0.6,most_frequent,wk_10,rbf,0.01,2,10
7240,104,-58.82164745342933,54.386340292122476,0.6,most_frequent,wk_10,rbf,0.01,6,10
