,Rank,CV score (mean),CV score (standard deviation),Target imputation,PCA prop. var.,Imputer strategy,Feature subset,SVM kernel,SVM gamma,SVM degree,SVM C
4157,1,0.565061160003187,0.13589732836658405,No Imputation,0.95,most_frequent,wk_10,rbf,100,6,10
7270,2,0.5650858557973357,0.12551052980318783,KNN Imputation,0.6,median,wk_10,poly,100,5,1
2500,3,0.5676911635681069,0.1919807387934243,No Imputation,0.85,most_frequent,wk_10,poly,10,5,100
5235,4,0.5693157029202137,0.1318048024744168,No Imputation,0.6,median,wk_10,rbf,100,2,1000
5282,5,0.5693529914964313,0.14455390725515307,No Imputation,0.6,mean,wk_10,rbf,100,2,1000
1089,6,0.5697575401281147,0.132904443852407,No Imputation,0.95,median,wk_10,rbf,10,3,1
278,7,0.5719271061789464,0.13370295384898814,No Imputation,0.95,most_frequent,wk_10,rbf,10,5,1000
138,8,0.5728073855856591,0.13537181696656939,No Imputation,0.95,mean,wk_10,rbf,10,5,1
3282,9,0.5736748921126618,0.13374233257060691,No Imputation,0.6,median,wk_10,rbf,100,6,100
8170,10,0.5744446114259193,0.14314617235602364,No Imputation,0.95,median,wk_10,rbf,1,4,1
6030,11,0.5746503386157971,0.13203355035761657,No Imputation,0.95,mean,wk_10,rbf,1,4,1
9790,12,0.5747650093196288,0.12775028672078334,No Imputation,0.85,mean,wk_10,rbf,1,3,1
8060,13,0.5748656542842252,0.12808900940042633,No Imputation,0.9,most_frequent,wk_10,rbf,10,2,10
6837,14,0.5753644774618744,0.12755629066652843,No Imputation,0.7,most_frequent,wk_10,rbf,10,4,1000
3184,15,0.5759533389710955,0.13195498702350802,No Imputation,0.8,median,wk_10,rbf,100,5,10
606,16,0.5768841472737103,0.13328265500866274,No Imputation,0.6,median,wk_10,rbf,100,4,1
8879,17,0.5768879868877671,0.15908247747099313,KNN Imputation,0.7,mean,wk_10,poly,0.01,2,10
2831,18,0.5785475147536764,0.12094711956635759,No Imputation,0.6,mean,wk_10,rbf,10,4,100
5208,19,0.5789057622399105,0.12621223509684457,No Imputation,0.9,most_frequent,wk_10,rbf,10,4,10
2476,20,0.5793825616540685,0.12579610203714064,No Imputation,0.85,median,wk_10,rbf,100,3,10
807,21,0.5795362119349589,0.13248549487536904,No Imputation,0.6,most_frequent,wk_10,rbf,100,2,10
2716,22,0.5795992393017937,0.13704639169083493,No Imputation,0.6,median,wk_10,rbf,10,2,1000
7524,23,0.5797390262404172,0.1259302429978105,No Imputation,0.85,most_frequent,wk_10,rbf,100,6,10
23,24,0.5798812107843,0.12649424214032187,No Imputation,0.9,mean,wk_10,rbf,100,3,1
2726,25,0.5801373060951909,0.12540250971739328,No Imputation,0.9,most_frequent,wk_10,rbf,100,6,100
7285,26,0.5803024454373364,0.1250908971002334,No Imputation,0.9,mean,wk_10,rbf,10,3,100
1964,27,0.580597834690155,0.14002747850079403,No Imputation,0.95,most_frequent,wk_10,rbf,1,4,1000
9400,28,0.5806486263603342,0.1406537013221642,No Imputation,0.85,median,wk_10,rbf,10,3,1
3154,29,0.5807583071273343,0.1376484254241702,No Imputation,0.7,median,wk_10,rbf,100,6,1
9985,30,0.581144836186526,0.13454469691478946,No Imputation,0.8,median,wk_10,rbf,1,4,1
3888,31,0.581284128299028,0.12263295725581107,No Imputation,0.9,most_frequent,wk_10,rbf,100,3,1
2018,32,0.581592982303754,0.135430025558037,No Imputation,0.8,median,wk_10,rbf,1,5,1
7402,33,0.5819750632257756,0.13268992802911683,No Imputation,0.8,median,wk_10,rbf,100,5,1
4631,34,0.5820644624474773,0.1400174004578854,No Imputation,0.6,most_frequent,wk_10,rbf,10,5,100
8998,35,0.5828326143793612,0.13426197287457797,No Imputation,0.85,mean,wk_10,rbf,10,3,1
7287,36,0.5829500672936263,0.13272567391150322,No Imputation,0.95,median,wk_10,rbf,1,3,1
5364,37,0.5833261741816691,0.12953728602971046,No Imputation,0.85,median,wk_10,rbf,10,2,1
9576,38,0.5836044435377687,0.12659268733355977,No Imputation,0.7,mean,wk_10,rbf,100,4,1
4192,39,0.583845897495091,0.12416203729883003,No Imputation,0.85,most_frequent,wk_10,rbf,10,4,1000
4182,40,0.5842615816492982,0.13072481630668564,No Imputation,0.85,median,wk_10,rbf,1,4,1000
6464,41,0.5851385795147291,0.12369882081705434,No Imputation,0.95,most_frequent,wk_10,rbf,10,2,1
4004,42,0.5852033028964377,0.12966383716886673,No Imputation,0.6,mean,wk_10,rbf,10,4,1
8511,43,0.5856771593049996,0.11401818747012477,No Imputation,0.6,most_frequent,wk_10,rbf,100,2,100
6447,44,0.5858132316792557,0.12154717203810085,No Imputation,0.85,median,wk_10,rbf,10,6,1
3117,45,0.5858318733992735,0.13166149890332884,No Imputation,0.6,most_frequent,wk_10,rbf,10,5,1
6581,46,0.586160933340702,0.1314525574873616,No Imputation,0.95,most_frequent,wk_10,rbf,10,3,1
2042,47,0.5864152277768291,0.11639277069229842,No Imputation,0.95,median,wk_10,rbf,1,4,100
3023,48,0.5865567655155832,0.16684833184713474,KNN Imputation,0.9,mean,wk_10,poly,10,5,0.01
3448,49,0.586656732321536,0.11667806257991306,No Imputation,0.9,mean,wk_10,rbf,100,6,100
6225,50,0.5868442990792817,0.1533820206445421,KNN Imputation,0.7,most_frequent,wk_10,rbf,100,6,100
7128,51,0.5869385134257936,0.14294933693780273,KNN Imputation,0.9,median,wk_10,rbf,100,4,1000
9073,52,0.5872732155980643,0.12115948923281912,No Imputation,0.9,median,wk_10,rbf,100,2,1
1710,53,0.5875475430351963,0.13073317583037442,No Imputation,0.95,most_frequent,wk_10,rbf,1,3,1000
7229,54,0.5877630014018802,0.12212551539862351,No Imputation,0.6,most_frequent,wk_10,rbf,100,5,100
8979,55,0.5877936485464675,0.11370238607426493,No Imputation,0.9,median,wk_10,rbf,1,3,1
1038,56,0.5879566052340912,0.11737237285923559,KNN Imputation,0.95,most_frequent,wk_10,poly,100,3,10
5961,57,0.5879736183113022,0.11230068438486664,No Imputation,0.95,most_frequent,wk_10,rbf,100,6,1
7707,58,0.588173063270281,0.12431814620443521,No Imputation,0.85,most_frequent,wk_10,rbf,100,2,1
7009,59,0.5884486713323016,0.11376204346332296,No Imputation,0.6,most_frequent,wk_10,rbf,100,5,1
6986,60,0.5885477826490226,0.1188058915644659,No Imputation,0.85,most_frequent,wk_10,rbf,100,3,10
8361,61,0.5887690239331949,0.14840916535587542,KNN Imputation,0.6,most_frequent,wk_9_10,linear,0.01,6,1000
8205,62,0.5889621181053546,0.1275425931363374,KNN Imputation,0.95,mean,wk_10,poly,10,5,100
4377,63,0.5894059465159575,0.10961813539357596,No Imputation,0.7,most_frequent,wk_10,rbf,100,6,10
9709,64,0.5895484809329304,0.12133916121449137,No Imputation,0.9,mean,wk_10,rbf,100,5,1000
1083,65,0.5901224469931614,0.11444182206220412,No Imputation,0.6,mean,wk_10,rbf,100,4,10
6072,66,0.5904520176958951,0.11606957126859772,No Imputation,0.9,median,wk_10,rbf,10,5,1000
6104,67,0.5904557845443097,0.11881589914301384,No Imputation,0.8,median,wk_10,rbf,1,6,1
4710,68,0.5907595774285712,0.10605688516430489,No Imputation,0.95,mean,wk_10,rbf,100,2,1
6725,69,0.5909239253907806,0.11467415767283143,No Imputation,0.9,median,wk_10,rbf,10,2,1
3436,70,0.5909686882030674,0.1139853774718523,No Imputation,0.95,median,wk_10,rbf,10,5,1
1127,71,0.5910562818639803,0.11472743059162123,No Imputation,0.7,most_frequent,wk_10,rbf,100,4,1
6588,72,0.5914152675479476,0.11796644488350325,No Imputation,0.7,most_frequent,wk_10,rbf,10,6,1000
5343,73,0.5915263969628369,0.11901605459797727,No Imputation,0.8,median,wk_10,rbf,10,5,1
5056,74,0.5915755242756776,0.11150145994829333,No Imputation,0.7,median,wk_10,rbf,10,5,1000
2353,75,0.5915939721282133,0.10788093726759827,No Imputation,0.9,mean,wk_10,rbf,1,4,1
891,76,0.5916296587241181,0.1431796168086497,No Imputation,0.7,most_frequent,wk_10,poly,0.1,3,10
5652,77,0.5917287754873333,0.11391604102075763,No Imputation,0.7,most_frequent,wk_10,rbf,10,2,1
4221,78,0.5918887364804626,0.11434111364748462,No Imputation,0.85,most_frequent,wk_10,rbf,100,4,1
1610,79,0.5920465693495249,0.11143481540556417,No Imputation,0.8,median,wk_10,rbf,10,2,1
1768,80,0.592327158759202,0.11370031237612238,No Imputation,0.85,median,wk_10,rbf,1,3,1
4925,81,0.5923777090745724,0.11756409698173728,No Imputation,0.85,median,wk_10,rbf,10,3,1000
4386,82,0.5924667819302413,0.12639329420007497,No Imputation,0.9,mean,wk_10,rbf,10,5,1
7664,83,0.5926914762010886,0.12178430353182827,No Imputation,0.95,most_frequent,wk_10,rbf,100,5,1
197,84,0.5928448872987395,0.1267632966744345,No Imputation,0.95,median,wk_10,rbf,100,5,1
7989,85,0.5928567167246305,0.14709698987034486,KNN Imputation,0.6,mean,wk_10,rbf,100,3,1
8169,86,0.5929340200183927,0.20243913050559545,No Imputation,0.95,mean,wk_9_10,rbf,0.1,6,100
4349,87,0.593457146997868,0.11507723594099623,No Imputation,0.85,median,wk_10,rbf,100,2,100
634,88,0.5938780673295824,0.11563916821005515,No Imputation,0.85,most_frequent,wk_10,rbf,10,2,1
4783,89,0.594386783611793,0.13152787892336681,No Imputation,0.6,most_frequent,wk_10,rbf,10,4,10
7172,90,0.5944008396877221,0.11825558273545693,No Imputation,0.85,median,wk_10,rbf,1,6,10
6895,91,0.5944145440338963,0.10866420799002202,No Imputation,0.8,median,wk_10,rbf,10,5,100
8860,92,0.5944707431689963,0.20281400680374392,KNN Imputation,0.9,most_frequent,wk_10,poly,100,3,10
9010,93,0.5945555139141978,0.1258655203901197,No Imputation,0.7,mean,wk_10,rbf,100,4,10
442,94,0.5948612414173221,0.11594828826440234,No Imputation,0.85,mean,wk_10,rbf,100,4,10
1628,95,0.5951903905271708,0.11299745667429004,No Imputation,0.6,median,wk_10,rbf,100,3,1
5174,96,0.595192568016506,0.14024229325147528,KNN Imputation,0.6,median,wk_10,rbf,10,6,1
4365,97,0.59539190366055,0.11299451466760002,No Imputation,0.85,mean,wk_10,rbf,100,6,1
2890,98,0.5955077132522965,0.11612698389368095,No Imputation,0.8,median,wk_10,rbf,10,6,1
5567,99,0.595733419681441,0.12226665277985117,No Imputation,0.6,mean,wk_10,rbf,10,3,10
6917,100,0.5957614577670693,0.1065659395991719,No Imputation,0.8,mean,wk_10,rbf,10,6,1
