,rank_test_score,mean_test_score,std_test_score,param_pca__n_components,param_imputer__strategy,param_df_selector__attribute_names,param_SVM__kernel,param_SVM__gamma,param_SVM__degree,param_SVM__C
7270,1,-0.5650858557973357,0.12551052980318783,0.6,median,wk_10,poly,100,5,1
8879,2,-0.5768879868877671,0.15908247747099313,0.7,mean,wk_10,poly,0.01,2,10
3023,3,-0.5865567655155832,0.16684833184713474,0.9,mean,wk_10,poly,10,5,0.01
6225,4,-0.5868442990792817,0.1533820206445421,0.7,most_frequent,wk_10,rbf,100,6,100
7128,5,-0.5869385134257936,0.14294933693780273,0.9,median,wk_10,rbf,100,4,1000
1038,6,-0.5879566052340912,0.11737237285923559,0.95,most_frequent,wk_10,poly,100,3,10
8361,7,-0.5887690239331949,0.14840916535587542,0.6,most_frequent,wk_9_10,linear,0.01,6,1000
8205,8,-0.5889621181053546,0.1275425931363374,0.95,mean,wk_10,poly,10,5,100
7989,9,-0.5928567167246305,0.14709698987034486,0.6,mean,wk_10,rbf,100,3,1
8860,10,-0.5944707431689963,0.20281400680374392,0.9,most_frequent,wk_10,poly,100,3,10
5174,11,-0.595192568016506,0.14024229325147528,0.6,median,wk_10,rbf,10,6,1
4000,12,-0.5966423003956348,0.16562777975033677,0.85,median,wk_10,linear,1,4,1000
6748,13,-0.5999168922111279,0.11946606196195077,0.85,most_frequent,wk_10,poly,10,6,1
1408,14,-0.6010608818420762,0.12310894155453089,0.8,median,wk_10,rbf,100,3,10
4784,15,-0.6011390196243351,0.13972578211467787,0.85,median,wk_10,rbf,1,3,1
3413,16,-0.6040641591664573,0.12274046879816929,0.95,most_frequent,wk_10,rbf,10,4,10
6334,17,-0.6046050125786289,0.10178971600282773,0.9,mean,wk_9_10,poly,10,4,100
9439,18,-0.6051163089928444,0.12319189652597216,0.95,most_frequent,wk_10,rbf,100,5,1
5022,19,-0.6063411743782712,0.2050971992859823,0.85,median,wk_10,linear,1,5,100
2819,20,-0.6069509338217701,0.11145707112695587,0.6,mean,wk_10,rbf,10,3,1000
6722,21,-0.6074254214350577,0.13654851602132262,0.8,mean,wk_10,rbf,1,5,1
6470,22,-0.607469770079767,0.14395743720600818,0.8,median,wk_10,poly,1,3,10
2958,23,-0.6077732538677931,0.12600264433775335,0.85,most_frequent,wk_10,rbf,100,2,1
3481,24,-0.6082350523619566,0.08860440731487562,0.7,median,wk_10,poly,100,5,100
386,25,-0.6086819317333253,0.12080142238644602,0.9,mean,wk_10,rbf,10,3,100
6160,26,-0.6088723574912598,0.12364810172036628,0.6,median,wk_10,poly,1,3,1
7334,27,-0.6090950051531029,0.09753708934984787,0.85,most_frequent,wk_10,poly,10,5,0.01
2179,28,-0.6098969680884287,0.12044392664786283,0.6,mean,wk_10,poly,0.1,3,10
8062,29,-0.6111865827340356,0.11527149155628595,0.6,median,wk_10,rbf,100,5,1
2544,30,-0.6117009128996589,0.18034925647649422,0.9,mean,wk_9_10,rbf,0.1,4,100
3878,31,-0.6117587239159631,0.12578887798101723,0.9,mean,wk_10,rbf,10,4,1000
973,32,-0.6120661448817792,0.11669282800197651,0.8,mean,wk_10,poly,0.1,5,1000
3879,33,-0.6124037330892496,0.17379434053912493,0.9,most_frequent,wk_9_10,poly,10,5,1000
8144,34,-0.6127345369316478,0.11194830874613876,0.95,mean,wk_10,rbf,100,5,100
8414,35,-0.6139018315567724,0.10780740214366935,0.7,median,wk_10,rbf,10,4,10
395,36,-0.6139561543860975,0.12598805396346424,0.95,median,wk_10,rbf,10,3,1
7525,37,-0.6140145770974437,0.10148900966279097,0.6,mean,wk_9_10,linear,1,2,1000
508,38,-0.6140251263301783,0.11829055962376035,0.7,median,wk_10,poly,0.1,3,10
3410,39,-0.6140911505345933,0.11741701568332731,0.85,median,wk_10,rbf,1,2,10
6371,40,-0.6142843231491215,0.09015963027138624,0.8,most_frequent,wk_9_10,poly,0.01,2,100
8445,41,-0.6143695280192996,0.09455454578905577,0.8,most_frequent,all,poly,100,4,1
7932,42,-0.6144275501678583,0.1094689206987446,0.6,mean,wk_10,rbf,10,4,1
7538,43,-0.6144883947624091,0.11144352950370065,0.8,median,wk_10,rbf,1,2,1
5782,44,-0.6144955142869051,0.1282070389302426,0.85,mean,wk_9_10,rbf,0.1,6,1
9384,45,-0.6145814975887275,0.12600566833949087,0.85,most_frequent,wk_10,poly,0.1,3,1
5735,46,-0.6148387009746248,0.11278764503962194,0.9,median,wk_10,rbf,100,6,1000
5643,47,-0.6150362765092591,0.10193602788345238,0.6,median,wk_10,poly,100,3,1
4044,48,-0.6158447384281408,0.1113325721121536,0.95,most_frequent,wk_10,poly,1,3,1000
4948,49,-0.6161481048891517,0.13363133944296815,0.9,most_frequent,wk_10,rbf,100,6,100
6740,50,-0.6164693531302544,0.1277402169523766,0.95,mean,wk_9_10,rbf,0.1,2,10
5797,51,-0.6164814121336276,0.09352287845313074,0.85,median,wk_10,poly,0.1,5,1
6510,52,-0.6165334552564008,0.11214793822986725,0.9,mean,wk_10,rbf,1,5,100
425,53,-0.6166811154664538,0.13712815689410432,0.95,mean,wk_9_10,rbf,0.1,3,10
4826,54,-0.616971909050703,0.13277250000375823,0.7,median,wk_10,poly,1,3,1000
6798,55,-0.6172476484243117,0.06788103938753776,0.8,mean,wk_10,poly,10,5,10
8034,56,-0.6176131946473676,0.13845086888150987,0.95,mean,wk_9_10,rbf,0.1,3,100
4890,57,-0.6176308961003556,0.09461470412070697,0.95,median,wk_10,rbf,10,4,1
6967,58,-0.6178721533107165,0.11850083466669739,0.6,median,wk_10,poly,100,3,0.01
1342,59,-0.6190850334565978,0.18856495043842936,0.85,mean,wk_9_10,rbf,0.1,2,1000
2690,60,-0.6192665365068639,0.13413287192592496,0.6,mean,wk_10,poly,1,3,0.01
1256,61,-0.619384611283286,0.2212177806630798,0.85,median,wk_10,linear,10,4,1000
5570,62,-0.6194312172241172,0.10515803990241643,0.8,median,wk_10,rbf,100,5,100
7652,63,-0.6194511942438968,0.12884463477248903,0.95,most_frequent,wk_10,rbf,10,5,10
1686,64,-0.6198074132449853,0.10000870251454543,0.7,mean,wk_10,poly,0.1,2,0.1
6956,65,-0.6201299974920735,0.12911717033416137,0.95,mean,wk_9_10,rbf,0.1,3,1000
8471,66,-0.6203217724640874,0.1570701389852387,0.8,median,wk_10,poly,100,3,0.01
5685,67,-0.6209031639338382,0.17129490960129137,0.9,mean,wk_9_10,rbf,0.1,3,10
2066,68,-0.6209535903544549,0.08724740046765112,0.7,most_frequent,wk_9_10,poly,0.1,5,10
3884,69,-0.6210551259657334,0.14755522244912775,0.7,median,wk_10,poly,100,5,1000
2283,70,-0.6212340350919098,0.09596005177461038,0.7,most_frequent,wk_10,rbf,10,3,1
32,71,-0.6214616526439001,0.09116562890176065,0.95,most_frequent,wk_10,rbf,10,6,10
4400,72,-0.6215585746347123,0.09337241647165673,0.6,median,wk_10,poly,10,3,0.01
3846,73,-0.6215670208537687,0.09892144916400614,0.7,most_frequent,wk_10,poly,10,3,0.1
8580,74,-0.6221388830823319,0.10007165388379878,0.6,mean,wk_10,poly,0.1,5,100
7479,75,-0.6221937890875759,0.19326393910392897,0.9,mean,wk_9_10,rbf,0.1,6,100
9217,76,-0.6225153190501407,0.11671578597041006,0.9,mean,wk_9_10,rbf,0.1,6,1
6766,77,-0.6225306947300403,0.09576564977481214,0.6,median,wk_10,rbf,10,3,1
6182,78,-0.6226299264812886,0.09956218754718049,0.7,mean,wk_10,rbf,100,5,1
5588,79,-0.6226623868717468,0.19877551023978107,0.85,mean,wk_9_10,rbf,0.1,6,10
6077,80,-0.622805717427552,0.0728389324282794,0.95,mean,wk_10,poly,1,5,0.1
2244,81,-0.6228480546590676,0.098141750593666,0.6,most_frequent,wk_10,rbf,100,4,100
5133,82,-0.6228497913601476,0.10145798372120265,0.85,median,wk_10,rbf,100,3,1000
8421,83,-0.6229145989261228,0.08761548530682475,0.6,median,wk_10,poly,0.1,3,1000
2884,84,-0.6229526109030415,0.22276730229986966,0.9,mean,wk_9_10,rbf,0.1,6,1000
254,85,-0.6230913688243958,0.08884322352705375,0.6,median,wk_10,poly,100,3,1000
1225,86,-0.6233066476854231,0.12325229438528873,0.95,median,wk_10,rbf,1,6,1
2899,87,-0.6240353744248798,0.11908406318143355,0.7,most_frequent,wk_10,rbf,100,4,1000
9636,88,-0.624356943197814,0.09550607165693151,0.8,mean,wk_10,rbf,10,2,1
5745,89,-0.6250906633071562,0.092430300159599,0.85,mean,wk_10,rbf,100,2,10
1603,90,-0.6251948911342897,0.09493103128667091,0.6,mean,wk_10,rbf,10,2,1
735,91,-0.6255391105445602,0.11234043517789447,0.95,median,wk_10,rbf,100,2,1
3173,92,-0.6259070037312457,0.10749866336336908,0.6,most_frequent,wk_10,linear,0.01,3,1
5798,93,-0.6260054974265257,0.11306270109481914,0.85,mean,wk_9_10,rbf,0.1,2,1
6318,94,-0.626172561634948,0.14194655320483227,0.9,most_frequent,wk_10,poly,10,3,10
2062,95,-0.6265602176106244,0.09833543325829418,0.6,mean,all,poly,10,5,0.1
3110,96,-0.6266484757262829,0.1197151306552319,0.6,mean,wk_10,poly,0.1,5,1
58,97,-0.6267882372537302,0.09862104662632752,0.6,mean,wk_10,rbf,100,6,100
7883,98,-0.6270653482907936,0.10136376249217571,0.85,most_frequent,wk_10,rbf,100,6,1000
9432,99,-0.627174895359175,0.10409238410879738,0.8,mean,wk_10,rbf,10,3,10
464,100,-0.6272072615225703,0.10536260845512048,0.6,most_frequent,wk_10,poly,0.1,3,10
2961,101,-0.6272120553647481,0.09002496423700489,0.6,mean,wk_10,poly,0.1,5,1000
2182,102,-0.6273273395856622,0.09097720151773697,0.9,most_frequent,wk_10,rbf,100,6,1
1764,103,-0.627475686729555,0.17920063656465934,0.9,mean,wk_9_10,rbf,0.1,3,100
7778,104,-0.6274930023900049,0.09835010152650425,0.9,mean,wk_10,poly,1,3,10
4070,105,-0.6277590436529651,0.2696006845736347,0.95,most_frequent,all,rbf,0.01,3,10
1683,106,-0.627817520766743,0.21378269591532933,0.6,mean,wk_10,linear,100,5,1000
5653,107,-0.6279133990855403,0.14374608304037145,0.9,median,wk_10,rbf,100,6,1
7640,108,-0.6279243174146599,0.13319265031675045,0.95,median,wk_9_10,rbf,0.1,4,1
6682,109,-0.6280748751378368,0.10470624361748332,0.6,median,wk_10,rbf,100,6,1
2560,110,-0.6281529242041837,0.08334873735634483,0.9,mean,wk_10,rbf,10,4,100
6137,111,-0.6281925032714788,0.11037100167775,0.85,mean,wk_10,rbf,10,2,100
3344,112,-0.6283092781319976,0.12587658354073597,0.85,mean,wk_10,rbf,100,2,1
1700,113,-0.6286711829823141,0.0928880005319248,0.6,median,wk_10,poly,0.1,3,100
4392,114,-0.6288098283865644,0.11030655968694078,0.6,mean,wk_10,rbf,100,5,1
6131,115,-0.6291985781273273,0.1720819057911706,0.85,median,wk_10,linear,0.01,6,100
468,116,-0.6294228224032757,0.13408626980126748,0.95,mean,wk_10,rbf,100,4,100
5073,117,-0.6295281592593627,0.08403882088532141,0.6,most_frequent,wk_10,linear,10,3,1
