,rank_test_score,mean_test_score,std_test_score,param_pca__n_components,param_imputer__strategy,param_df_selector__attribute_names,param_SVM__kernel,param_SVM__gamma,param_SVM__degree,param_SVM__C
9158,1,-41.75513749601443,46.261432475243396,0.6,median,wk_9_10,rbf,0.01,2,10
302,1,-41.75513749601443,46.261432475243396,0.6,median,wk_9_10,rbf,0.01,4,10
7994,1,-41.75513749601443,46.261432475243396,0.6,median,wk_9_10,rbf,0.01,6,10
859,4,-42.098585592584605,42.5286515720169,0.7,median,wk_9_10,rbf,0.01,3,10
1597,4,-42.098585592584605,42.5286515720169,0.7,median,wk_9_10,rbf,0.01,4,10
7588,4,-42.098585592584605,42.5286515720169,0.7,median,wk_9_10,rbf,0.01,2,10
3177,4,-42.098585592584605,42.5286515720169,0.7,median,wk_9_10,rbf,0.01,6,10
3762,8,-42.26214366575924,44.29969459996165,0.6,mean,wk_9_10,rbf,0.01,3,10
3467,8,-42.26214366575924,44.29969459996165,0.6,mean,wk_9_10,rbf,0.01,4,10
3668,8,-42.26214366575924,44.29969459996165,0.6,mean,wk_9_10,rbf,0.01,5,10
2511,8,-42.26214366575924,44.29969459996165,0.6,mean,wk_9_10,rbf,0.01,2,10
7689,12,-42.66776775665441,29.679033840561573,0.6,median,wk_10,rbf,0.01,6,10
6172,12,-42.66776775665441,29.679033840561573,0.6,median,wk_10,rbf,0.01,2,10
5398,12,-42.66776775665441,29.679033840561573,0.6,median,wk_10,rbf,0.01,4,10
8334,12,-42.66776775665441,29.679033840561573,0.6,median,wk_10,rbf,0.01,3,10
2459,16,-43.85969241189058,29.852295137600876,0.6,mean,wk_10,rbf,0.01,6,10
2100,16,-43.85969241189058,29.852295137600876,0.6,mean,wk_10,rbf,0.01,3,10
1345,18,-44.21299675598797,40.39706327936424,0.7,mean,wk_9_10,rbf,0.01,5,10
7023,18,-44.21299675598797,40.39706327936424,0.7,mean,wk_9_10,rbf,0.01,4,10
224,18,-44.21299675598797,40.39706327936424,0.7,mean,wk_9_10,rbf,0.01,3,10
6764,21,-46.477069191546285,26.354378457349696,0.7,mean,wk_10,rbf,0.1,6,10
990,22,-46.67080421021685,46.69117332528512,0.7,most_frequent,wk_9_10,rbf,0.01,6,10
4727,22,-46.67080421021685,46.69117332528512,0.7,most_frequent,wk_9_10,rbf,0.01,5,10
9754,24,-46.69670785634061,34.85326275785288,0.7,median,wk_10,rbf,0.01,5,10
6677,24,-46.69670785634061,34.85326275785288,0.7,median,wk_10,rbf,0.01,3,10
1451,26,-46.84186707784471,33.22883872488884,0.6,median,wk_9_10,rbf,0.1,3,10
5827,26,-46.84186707784471,33.22883872488884,0.6,median,wk_9_10,rbf,0.1,2,10
444,28,-46.879421154719346,35.80579082134076,0.7,mean,wk_10,rbf,0.01,2,10
4374,28,-46.879421154719346,35.80579082134076,0.7,mean,wk_10,rbf,0.01,4,10
2980,28,-46.879421154719346,35.80579082134076,0.7,mean,wk_10,rbf,0.01,6,10
3760,28,-46.879421154719346,35.80579082134076,0.7,mean,wk_10,rbf,0.01,3,10
5923,32,-46.95830776004091,26.49305343117561,0.7,mean,wk_9_10,rbf,0.1,5,1000
772,32,-46.95830776004091,26.49305343117561,0.7,mean,wk_9_10,rbf,0.1,6,100
7103,32,-46.95830776004091,26.49305343117561,0.7,mean,wk_9_10,rbf,0.1,4,100
4235,35,-46.98795933801387,27.2458723724162,0.6,mean,wk_10,rbf,0.1,6,10
901,36,-47.066828905155624,37.763822400423386,0.6,mean,wk_10,rbf,0.01,3,100
8574,36,-47.066828905155624,37.763822400423386,0.6,mean,wk_10,rbf,0.01,2,100
3764,36,-47.066828905155624,37.763822400423386,0.6,mean,wk_10,rbf,0.01,5,100
3614,36,-47.066828905155624,37.763822400423386,0.6,mean,wk_10,rbf,0.01,6,100
2779,40,-47.14604921000238,25.80771200357079,0.7,mean,wk_9_10,rbf,0.1,6,10
3523,40,-47.14604921000238,25.80771200357079,0.7,mean,wk_9_10,rbf,0.1,3,10
4926,40,-47.14604921000238,25.80771200357079,0.7,mean,wk_9_10,rbf,0.1,2,10
4441,43,-47.41590044124824,31.459646251748794,0.6,mean,wk_9_10,rbf,0.1,6,10
9472,43,-47.41590044124824,31.459646251748794,0.6,mean,wk_9_10,rbf,0.1,3,10
2656,43,-47.41590044124824,31.459646251748794,0.6,mean,wk_9_10,rbf,0.1,5,10
752,46,-47.7441987681489,27.837938977971728,0.7,median,wk_9_10,rbf,0.1,6,1000
5445,46,-47.7441987681489,27.837938977971728,0.7,median,wk_9_10,rbf,0.1,3,100
8609,46,-47.7441987681489,27.837938977971728,0.7,median,wk_9_10,rbf,0.1,3,1000
