,Rank,CV score (mean),CV score (standard deviation),Target imputation,PCA prop. var.,Imputer strategy,Feature subset,SVM kernel,SVM gamma,SVM degree,SVM C
302,1,41.75513749601443,46.261432475243396,KNN Imputation,0.6,median,wk_9_10,rbf,0.01,4,10
9158,2,41.75513749601443,46.261432475243396,KNN Imputation,0.6,median,wk_9_10,rbf,0.01,2,10
7994,3,41.75513749601443,46.261432475243396,KNN Imputation,0.6,median,wk_9_10,rbf,0.01,6,10
646,4,42.02818489750282,26.758605265131724,No Imputation,0.7,median,wk_10,rbf,0.1,3,10
4252,5,42.02818489750282,26.758605265131724,No Imputation,0.7,median,wk_10,rbf,0.1,4,10
5643,6,42.02818489750282,26.758605265131724,No Imputation,0.7,median,wk_10,rbf,0.1,6,10
9771,7,42.02837747420711,26.860295137928496,No Imputation,0.7,median,wk_9_10,rbf,0.1,2,1000
9726,8,42.02837747420711,26.860295137928496,No Imputation,0.7,median,wk_9_10,rbf,0.1,4,1000
4154,9,42.02837747420711,26.860295137928496,No Imputation,0.7,median,wk_9_10,rbf,0.1,6,100
3565,10,42.02837747420711,26.860295137928496,No Imputation,0.7,median,wk_9_10,rbf,0.1,2,100
1899,11,42.02837747420711,26.860295137928496,No Imputation,0.7,median,wk_9_10,rbf,0.1,3,1000
1597,12,42.098585592584605,42.5286515720169,KNN Imputation,0.7,median,wk_9_10,rbf,0.01,4,10
7588,13,42.098585592584605,42.5286515720169,KNN Imputation,0.7,median,wk_9_10,rbf,0.01,2,10
3177,14,42.098585592584605,42.5286515720169,KNN Imputation,0.7,median,wk_9_10,rbf,0.01,6,10
859,15,42.098585592584605,42.5286515720169,KNN Imputation,0.7,median,wk_9_10,rbf,0.01,3,10
3668,16,42.26214366575924,44.29969459996165,KNN Imputation,0.6,mean,wk_9_10,rbf,0.01,5,10
3762,17,42.26214366575924,44.29969459996165,KNN Imputation,0.6,mean,wk_9_10,rbf,0.01,3,10
3467,18,42.26214366575924,44.29969459996165,KNN Imputation,0.6,mean,wk_9_10,rbf,0.01,4,10
2511,19,42.26214366575924,44.29969459996165,KNN Imputation,0.6,mean,wk_9_10,rbf,0.01,2,10
6619,20,42.630316397660174,30.43228526236616,No Imputation,0.6,median,wk_9_10,rbf,0.1,2,100
5637,21,42.630316397660174,30.43228526236616,No Imputation,0.6,median,wk_9_10,rbf,0.1,3,100
3389,22,42.630316397660174,30.43228526236616,No Imputation,0.6,median,wk_9_10,rbf,0.1,5,100
6172,23,42.66776775665441,29.679033840561573,KNN Imputation,0.6,median,wk_10,rbf,0.01,2,10
7689,24,42.66776775665441,29.679033840561573,KNN Imputation,0.6,median,wk_10,rbf,0.01,6,10
5398,25,42.66776775665441,29.679033840561573,KNN Imputation,0.6,median,wk_10,rbf,0.01,4,10
8334,26,42.66776775665441,29.679033840561573,KNN Imputation,0.6,median,wk_10,rbf,0.01,3,10
9403,27,42.720847322160665,40.07599481245062,No Imputation,0.6,mean,wk_9_10,rbf,0.01,3,10
4493,28,42.720847322160665,40.07599481245062,No Imputation,0.6,mean,wk_9_10,rbf,0.01,2,10
4839,29,43.36269081625499,26.93350647406129,No Imputation,0.7,median,wk_9_10,rbf,0.1,4,10
3522,30,43.36269081625499,26.93350647406129,No Imputation,0.7,median,wk_9_10,rbf,0.1,6,10
4733,31,43.36269081625499,26.93350647406129,No Imputation,0.7,median,wk_9_10,rbf,0.1,5,10
978,32,43.36269081625499,26.93350647406129,No Imputation,0.7,median,wk_9_10,rbf,0.1,2,10
809,33,43.37797830057781,25.915458693806578,No Imputation,0.6,median,wk_10,rbf,0.01,6,10
8139,34,43.37797830057781,25.915458693806578,No Imputation,0.6,median,wk_10,rbf,0.01,3,10
2028,35,43.37797830057781,25.915458693806578,No Imputation,0.6,median,wk_10,rbf,0.01,4,10
2100,36,43.85969241189058,29.852295137600876,KNN Imputation,0.6,mean,wk_10,rbf,0.01,3,10
2459,37,43.85969241189058,29.852295137600876,KNN Imputation,0.6,mean,wk_10,rbf,0.01,6,10
9749,38,43.86339492456479,28.642575763159847,No Imputation,0.6,median,wk_9_10,rbf,0.1,5,10
6313,39,43.86339492456479,28.642575763159847,No Imputation,0.6,median,wk_9_10,rbf,0.1,6,10
2163,40,43.91481282608686,26.87695144286902,No Imputation,0.7,median,wk_10,rbf,0.1,2,100
1808,41,43.91481282608686,26.87695144286902,No Imputation,0.7,median,wk_10,rbf,0.1,6,100
4126,42,43.91481282608686,26.87695144286902,No Imputation,0.7,median,wk_10,rbf,0.1,4,100
7358,43,43.91538284114852,26.87782712110286,No Imputation,0.7,median,wk_10,rbf,0.1,6,1000
