,rank_test_score,mean_test_score,std_test_score,param_pca__n_components,param_imputer__strategy,param_df_selector__attribute_names,param_SVM__kernel,param_SVM__gamma,param_SVM__degree,param_SVM__C
4157,1,-0.565061160003187,0.13589732836658405,0.95,most_frequent,wk_10,rbf,100,6,10
2500,2,-0.5676911635681069,0.1919807387934243,0.85,most_frequent,wk_10,poly,10,5,100
5235,3,-0.5693157029202137,0.1318048024744168,0.6,median,wk_10,rbf,100,2,1000
5282,4,-0.5693529914964313,0.14455390725515307,0.6,mean,wk_10,rbf,100,2,1000
1089,5,-0.5697575401281147,0.132904443852407,0.95,median,wk_10,rbf,10,3,1
278,6,-0.5719271061789464,0.13370295384898814,0.95,most_frequent,wk_10,rbf,10,5,1000
138,7,-0.5728073855856591,0.13537181696656939,0.95,mean,wk_10,rbf,10,5,1
3282,8,-0.5736748921126618,0.13374233257060691,0.6,median,wk_10,rbf,100,6,100
8170,9,-0.5744446114259193,0.14314617235602364,0.95,median,wk_10,rbf,1,4,1
6030,10,-0.5746503386157971,0.13203355035761657,0.95,mean,wk_10,rbf,1,4,1
9790,11,-0.5747650093196288,0.12775028672078334,0.85,mean,wk_10,rbf,1,3,1
8060,12,-0.5748656542842252,0.12808900940042633,0.9,most_frequent,wk_10,rbf,10,2,10
6837,13,-0.5753644774618744,0.12755629066652843,0.7,most_frequent,wk_10,rbf,10,4,1000
3184,14,-0.5759533389710955,0.13195498702350802,0.8,median,wk_10,rbf,100,5,10
606,15,-0.5768841472737103,0.13328265500866274,0.6,median,wk_10,rbf,100,4,1
2831,16,-0.5785475147536764,0.12094711956635759,0.6,mean,wk_10,rbf,10,4,100
5208,17,-0.5789057622399105,0.12621223509684457,0.9,most_frequent,wk_10,rbf,10,4,10
2476,18,-0.5793825616540685,0.12579610203714064,0.85,median,wk_10,rbf,100,3,10
807,19,-0.5795362119349589,0.13248549487536904,0.6,most_frequent,wk_10,rbf,100,2,10
2716,20,-0.5795992393017937,0.13704639169083493,0.6,median,wk_10,rbf,10,2,1000
7524,21,-0.5797390262404172,0.1259302429978105,0.85,most_frequent,wk_10,rbf,100,6,10
23,22,-0.5798812107843,0.12649424214032187,0.9,mean,wk_10,rbf,100,3,1
2726,23,-0.5801373060951909,0.12540250971739328,0.9,most_frequent,wk_10,rbf,100,6,100
7285,24,-0.5803024454373364,0.1250908971002334,0.9,mean,wk_10,rbf,10,3,100
1964,25,-0.580597834690155,0.14002747850079403,0.95,most_frequent,wk_10,rbf,1,4,1000
9400,26,-0.5806486263603342,0.1406537013221642,0.85,median,wk_10,rbf,10,3,1
3154,27,-0.5807583071273343,0.1376484254241702,0.7,median,wk_10,rbf,100,6,1
9985,28,-0.581144836186526,0.13454469691478946,0.8,median,wk_10,rbf,1,4,1
3888,29,-0.581284128299028,0.12263295725581107,0.9,most_frequent,wk_10,rbf,100,3,1
2018,30,-0.581592982303754,0.135430025558037,0.8,median,wk_10,rbf,1,5,1
7402,31,-0.5819750632257756,0.13268992802911683,0.8,median,wk_10,rbf,100,5,1
4631,32,-0.5820644624474773,0.1400174004578854,0.6,most_frequent,wk_10,rbf,10,5,100
8998,33,-0.5828326143793612,0.13426197287457797,0.85,mean,wk_10,rbf,10,3,1
7287,34,-0.5829500672936263,0.13272567391150322,0.95,median,wk_10,rbf,1,3,1
5364,35,-0.5833261741816691,0.12953728602971046,0.85,median,wk_10,rbf,10,2,1
9576,36,-0.5836044435377687,0.12659268733355977,0.7,mean,wk_10,rbf,100,4,1
4192,37,-0.583845897495091,0.12416203729883003,0.85,most_frequent,wk_10,rbf,10,4,1000
4182,38,-0.5842615816492982,0.13072481630668564,0.85,median,wk_10,rbf,1,4,1000
6464,39,-0.5851385795147291,0.12369882081705434,0.95,most_frequent,wk_10,rbf,10,2,1
4004,40,-0.5852033028964377,0.12966383716886673,0.6,mean,wk_10,rbf,10,4,1
8511,41,-0.5856771593049996,0.11401818747012477,0.6,most_frequent,wk_10,rbf,100,2,100
6447,42,-0.5858132316792557,0.12154717203810085,0.85,median,wk_10,rbf,10,6,1
3117,43,-0.5858318733992735,0.13166149890332884,0.6,most_frequent,wk_10,rbf,10,5,1
6581,44,-0.586160933340702,0.1314525574873616,0.95,most_frequent,wk_10,rbf,10,3,1
2042,45,-0.5864152277768291,0.11639277069229842,0.95,median,wk_10,rbf,1,4,100
