,rank_test_score,mean_test_score,std_test_score,param_pca__n_components,param_imputer__strategy,param_df_selector__attribute_names,param_SVM__kernel,param_SVM__gamma,param_SVM__degree,param_SVM__C
5643,1,-42.02818489750282,26.758605265131724,0.7,median,wk_10,rbf,0.1,6,10
646,1,-42.02818489750282,26.758605265131724,0.7,median,wk_10,rbf,0.1,3,10
4252,1,-42.02818489750282,26.758605265131724,0.7,median,wk_10,rbf,0.1,4,10
9771,4,-42.02837747420711,26.860295137928496,0.7,median,wk_9_10,rbf,0.1,2,1000
1899,4,-42.02837747420711,26.860295137928496,0.7,median,wk_9_10,rbf,0.1,3,1000
9726,4,-42.02837747420711,26.860295137928496,0.7,median,wk_9_10,rbf,0.1,4,1000
3565,4,-42.02837747420711,26.860295137928496,0.7,median,wk_9_10,rbf,0.1,2,100
4154,4,-42.02837747420711,26.860295137928496,0.7,median,wk_9_10,rbf,0.1,6,100
6619,9,-42.630316397660174,30.43228526236616,0.6,median,wk_9_10,rbf,0.1,2,100
3389,9,-42.630316397660174,30.43228526236616,0.6,median,wk_9_10,rbf,0.1,5,100
5637,9,-42.630316397660174,30.43228526236616,0.6,median,wk_9_10,rbf,0.1,3,100
4493,12,-42.720847322160665,40.07599481245062,0.6,mean,wk_9_10,rbf,0.01,2,10
9403,12,-42.720847322160665,40.07599481245062,0.6,mean,wk_9_10,rbf,0.01,3,10
4839,14,-43.36269081625499,26.93350647406129,0.7,median,wk_9_10,rbf,0.1,4,10
978,14,-43.36269081625499,26.93350647406129,0.7,median,wk_9_10,rbf,0.1,2,10
3522,14,-43.36269081625499,26.93350647406129,0.7,median,wk_9_10,rbf,0.1,6,10
4733,14,-43.36269081625499,26.93350647406129,0.7,median,wk_9_10,rbf,0.1,5,10
8139,18,-43.37797830057781,25.915458693806578,0.6,median,wk_10,rbf,0.01,3,10
2028,18,-43.37797830057781,25.915458693806578,0.6,median,wk_10,rbf,0.01,4,10
809,18,-43.37797830057781,25.915458693806578,0.6,median,wk_10,rbf,0.01,6,10
9749,21,-43.86339492456479,28.642575763159847,0.6,median,wk_9_10,rbf,0.1,5,10
6313,21,-43.86339492456479,28.642575763159847,0.6,median,wk_9_10,rbf,0.1,6,10
2163,23,-43.91481282608686,26.87695144286902,0.7,median,wk_10,rbf,0.1,2,100
1808,23,-43.91481282608686,26.87695144286902,0.7,median,wk_10,rbf,0.1,6,100
4126,23,-43.91481282608686,26.87695144286902,0.7,median,wk_10,rbf,0.1,4,100
7358,26,-43.91538284114852,26.87782712110286,0.7,median,wk_10,rbf,0.1,6,1000
9746,26,-43.91538284114852,26.87782712110286,0.7,median,wk_10,rbf,0.1,4,1000
1807,28,-44.13822405400488,28.031322340339226,0.7,mean,wk_9_10,rbf,0.1,2,1000
5164,28,-44.13822405400488,28.031322340339226,0.7,mean,wk_9_10,rbf,0.1,5,1000
