,rank_test_score,mean_test_score,std_test_score,param_pca__n_components,param_imputer__strategy,param_df_selector__attribute_names,param_knn__n_neighbors,param_knn__weights,param_knn__metric
8,1,-73.92141203703703,60.658074512913934,0.6,mean,wk_9_10,12,uniform,manhattan
7,2,-81.97128027681661,73.62534438063115,0.6,most_frequent,all,17,uniform,manhattan
5,3,-84.69796316906044,78.28208356031992,0.9,median,all,19,distance,euclidean
4,4,-85.4290182384379,65.35375125759438,0.8,mean,wk_9_10,19,distance,manhattan
9,5,-86.20466666666665,84.52144206846764,0.7,median,all,5,uniform,euclidean
6,6,-88.17687074829931,78.24049719785353,0.95,most_frequent,all,21,uniform,manhattan
1,7,-88.9745221167054,78.50967473709886,0.8,mean,all,22,distance,manhattan
3,8,-90.91122448979594,89.91449803529596,0.85,median,wk_9_10,7,uniform,euclidean
2,9,-104.83333333333333,94.72198037694046,0.6,mean,wk_9_10,3,uniform,euclidean
0,10,-142.7,106.16027714943306,0.9,median,all,1,distance,manhattan
